region;route;county
AB;AB41;Acadia
AB;AB562;Acadia
AB;AB570;Acadia
AB;AB899;Acadia
AB;AB2;Athabasca
AB;AB55;Athabasca
AB;AB63;Athabasca
AB;AB661;Athabasca
AB;AB663;Athabasca
AB;AB812;Athabasca
AB;AB813;Athabasca
AB;AB827;Athabasca
AB;AB831;Athabasca
AB;AB855;Athabasca
AB;TCHAB;Banff National Park
AB;AB1;Banff National Park
AB;AB1A;Banff National Park
AB;AB11;Banff National Park
AB;AB93;Banff National Park
AB;AB18;Barrhead
AB;AB33;Barrhead
AB;AB651;Barrhead
AB;AB654;Barrhead
AB;AB655;Barrhead
AB;AB661;Barrhead
AB;AB763;Barrhead
AB;AB764;Barrhead
AB;AB769;Barrhead
AB;AB777;Barrhead
AB;AB14;Beaver
AB;AB26;Beaver
AB;AB36;Beaver
AB;AB617;Beaver
AB;AB619;Beaver
AB;AB626;Beaver
AB;AB630;Beaver
AB;AB833;Beaver
AB;AB834;Beaver
AB;AB854;Beaver
AB;AB855;Beaver
AB;AB857;Beaver
AB;AB870;Beaver
AB;AB2;Big Lakes
AB;AB2A;Big Lakes
AB;AB32;Big Lakes
AB;AB33;Big Lakes
AB;AB679;Big Lakes
AB;AB747;Big Lakes
AB;AB749;Big Lakes
AB;AB750;Big Lakes
AB;TCHAB;Bighorn
AB;AB1;Bighorn
AB;AB1A;Bighorn
AB;AB40;Bighorn
AB;AB68;Bighorn
AB;AB579;Bighorn
AB;AB742;Bighorn
AB;AB49;Birch Hills
AB;AB677;Birch Hills
AB;AB733;Birch Hills
AB;AB739;Birch Hills
AB;AB740;Birch Hills
AB;AB28;Bonnyville
AB;AB41;Bonnyville
AB;AB55;Bonnyville
AB;AB657;Bonnyville
AB;AB659;Bonnyville
AB;AB660;Bonnyville
AB;AB881;Bonnyville
AB;AB882;Bonnyville
AB;AB892;Bonnyville
AB;AB897;Bonnyville
AB;AB20;Brazeau
AB;AB22;Brazeau
AB;AB39;Brazeau
AB;AB616;Brazeau
AB;AB620;Brazeau
AB;AB621;Brazeau
AB;AB753;Brazeau
AB;AB759;Brazeau
AB;AB761;Brazeau
AB;AB13;Camrose
AB;AB13A;Camrose
AB;AB21;Camrose
AB;AB26;Camrose
AB;AB53;Camrose
AB;AB56;Camrose
AB;AB605;Camrose
AB;AB609;Camrose
AB;AB611;Camrose
AB;AB616;Camrose
AB;AB617;Camrose
AB;AB623;Camrose
AB;AB833;Camrose
AB;AB834;Camrose
AB;AB854;Camrose
AB;AB2;Cardston
AB;AB5;Cardston
AB;AB52;Cardston
AB;AB62;Cardston
AB;AB501;Cardston
AB;AB503;Cardston
AB;AB505;Cardston
AB;AB506;Cardston
AB;AB509;Cardston
AB;AB511;Cardston
AB;AB800;Cardston
AB;AB810;Cardston
AB;AB820;Cardston
AB;TCHAB;City of Calgary
AB;AB1;City of Calgary
AB;AB1A;City of Calgary
AB;AB2;City of Calgary
AB;AB2A;City of Calgary
AB;AB8;City of Calgary
AB;AB22X;City of Calgary
AB;AB201;City of Calgary
AB;AB560;City of Calgary
AB;AB564;City of Calgary
AB;TCHAB;City of Edmonton
AB;AB2;City of Edmonton
AB;AB14;City of Edmonton
AB;AB15;City of Edmonton
AB;AB16;City of Edmonton
AB;AB16A;City of Edmonton
AB;AB28;City of Edmonton
AB;AB28A;City of Edmonton
AB;AB216;City of Edmonton
AB;AB64;Clear Hills
AB;AB685;Clear Hills
AB;AB717;Clear Hills
AB;AB726;Clear Hills
AB;AB729;Clear Hills
AB;AB730;Clear Hills
AB;AB732;Clear Hills
AB;AB735;Clear Hills
AB;AB11;Clearwater
AB;AB12;Clearwater
AB;AB22;Clearwater
AB;AB40;Clearwater
AB;AB53;Clearwater
AB;AB54;Clearwater
AB;AB584;Clearwater
AB;AB587;Clearwater
AB;AB591;Clearwater
AB;AB598;Clearwater
AB;AB734;Clearwater
AB;AB752;Clearwater
AB;AB756;Clearwater
AB;AB761;Clearwater
AB;AB3;Crowsnest Pass
AB;AB40;Crowsnest Pass
AB;TCHAB;Cypress
AB;AB1;Cypress
AB;AB3;Cypress
AB;AB41;Cypress
AB;AB41A;Cypress
AB;AB501;Cypress
AB;AB514;Cypress
AB;AB515;Cypress
