region;route;county
AK;AK1;Anchorage
AK;AK3;Denali Borough
AK;AK8;Denali Borough
AK;AK2;Fairbanks North Star Borough
AK;AK3;Fairbanks North Star Borough
AK;AK6;Fairbanks North Star Borough
AK;AK7;Haines Borough
AK;AK7;Hoonah-Angoon Census Area
AK;AK7;Juneau
AK;AK1;Kenai Peninsula Borough
AK;AK9;Kenai Peninsula Borough
AK;AK7;Ketchikan Gateway Borough
AK;AK1;Matanuska-Susitna Borough
AK;AK3;Matanuska-Susitna Borough
AK;AK8;Matanuska-Susitna Borough
AK;AK11;North Slope Borough
AK;AK7;Petersburg Borough
AK;AK98;Skagway
AK;AK1;Southeast Fairbanks Census Area
AK;AK2;Southeast Fairbanks Census Area
AK;AK4;Southeast Fairbanks Census Area
AK;AK5;Southeast Fairbanks Census Area
AK;AK1;Valdez-Cordova Census Area
AK;AK4;Valdez-Cordova Census Area
AK;AK8;Valdez-Cordova Census Area
AK;AK10;Valdez-Cordova Census Area
AK;AK2;Yukon-Koyukuk Census Area
AK;AK6;Yukon-Koyukuk Census Area
AK;AK11;Yukon-Koyukuk Census Area
