region;route;county
AL;I-65;Autauga
AL;US31;Autauga
AL;US82;Autauga
AL;AL14;Autauga
AL;AL111;Autauga
AL;AL143;Autauga
AL;I-10;Baldwin
AL;I-65;Baldwin
AL;US31;Baldwin
AL;US90;Baldwin
AL;US98;Baldwin
AL;AL59;Baldwin
AL;AL104;Baldwin
AL;AL161;Baldwin
AL;AL180;Baldwin
AL;AL181;Baldwin
AL;AL182;Baldwin
AL;AL225;Baldwin
AL;AL287;Baldwin
AL;AL306;Baldwin
AL;AL307;Baldwin
AL;AL308;Baldwin
AL;US82;Barbour
AL;US431;Barbour
AL;AL10;Barbour
AL;AL30;Barbour
AL;AL51;Barbour
AL;AL95;Barbour
AL;AL105;Barbour
AL;AL130;Barbour
AL;AL131;Barbour
AL;AL165;Barbour
AL;AL198;Barbour
AL;AL239;Barbour
AL;AL285;Barbour
AL;US11;Bibb
AL;US82;Bibb
AL;AL5;Bibb
AL;AL25;Bibb
AL;AL139;Bibb
AL;AL219;Bibb
AL;AL382;Bibb
AL;I-65;Blount
AL;US31;Blount
AL;US231;Blount
AL;US278;Blount
AL;AL67;Blount
AL;AL75;Blount
AL;AL79;Blount
AL;AL132;Blount
AL;AL160;Blount
AL;US29;Bullock
AL;US82;Bullock
AL;AL51;Bullock
AL;AL110;Bullock
AL;AL197;Bullock
AL;AL223;Bullock
AL;AL239;Bullock
AL;I-65;Butler
AL;US31;Butler
AL;AL10;Butler
AL;AL55;Butler
AL;AL106;Butler
AL;AL185;Butler
AL;AL245;Butler
AL;AL263;Butler
AL;I-20;Calhoun
AL;US78;Calhoun
AL;US278;Calhoun
AL;US431;Calhoun
AL;AL9;Calhoun
AL;AL21;Calhoun
AL;AL77;Calhoun
AL;AL144;Calhoun
AL;AL202;Calhoun
AL;AL204;Calhoun
AL;AL301;Calhoun
AL;I-85;Chambers
AL;US29;Chambers
AL;US280;Chambers
AL;US431;Chambers
AL;AL22;Chambers
AL;AL50;Chambers
AL;AL77;Chambers
AL;AL147;Chambers
AL;US278;Cherokee
AL;US411;Cherokee
AL;AL9;Cherokee
AL;AL25;Cherokee
AL;AL35;Cherokee
AL;AL68;Cherokee
AL;AL273;Cherokee
AL;AL283;Cherokee
AL;I-65;Chilton
AL;US31;Chilton
AL;US82;Chilton
AL;AL22;Chilton
AL;AL139;Chilton
AL;AL143;Chilton
AL;AL145;Chilton
AL;AL155;Chilton
AL;AL183;Chilton
AL;AL191;Chilton
AL;US84;Choctaw
AL;AL10;Choctaw
AL;AL17;Choctaw
AL;AL114;Choctaw
AL;AL156;Choctaw
AL;US43;Clarke
AL;US84;Clarke
AL;AL5;Clarke
AL;AL69;Clarke
AL;AL154;Clarke
AL;AL177;Clarke
AL;AL178;Clarke
AL;AL295;Clarke
AL;AL9;Clay
AL;AL48;Clay
AL;AL49;Clay
AL;AL63;Clay
AL;AL77;Clay
AL;AL148;Clay
AL;AL281;Clay
AL;I-20;Cleburne
AL;US78;Cleburne
AL;US278;Cleburne
AL;US431;Cleburne
AL;AL9;Cleburne
AL;AL46;Cleburne
AL;AL49;Cleburne
AL;AL281;Cleburne
AL;US84;Coffee
AL;US231;Coffee
AL;AL27;Coffee
AL;AL51;Coffee
AL;AL52;Coffee
AL;AL87;Coffee
AL;AL88;Coffee
AL;AL92;Coffee
AL;AL122;Coffee
AL;AL125;Coffee
AL;AL134;Coffee
AL;AL141;Coffee
AL;AL166;Coffee
AL;AL167;Coffee
AL;AL189;Coffee
AL;AL192;Coffee
AL;AL203;Coffee
AL;AL248;Coffee
AL;AL302;Coffee
AL;US43;Colbert
AL;US72;Colbert
AL;AL17;Colbert
AL;AL20;Colbert
AL;AL133;Colbert
AL;AL157;Colbert
AL;AL184;Colbert
AL;AL247;Colbert
AL;I-65;Conecuh
AL;US31;Conecuh
AL;US84;Conecuh
AL;AL41;Conecuh
AL;AL55;Conecuh
AL;AL83;Conecuh
AL;US231;Coosa
AL;US280;Coosa
AL;AL9;Coosa
AL;AL21;Coosa
AL;AL22;Coosa
AL;AL115;Coosa
AL;AL259;Coosa
AL;US29;Covington
AL;US84;Covington
AL;US331;Covington
AL;AL15;Covington
AL;AL52;Covington
AL;AL54;Covington
AL;AL55;Covington
AL;AL100;Covington
AL;AL134;Covington
AL;AL137;Covington
AL;US29;Crenshaw
AL;US331;Crenshaw
AL;AL10;Crenshaw
AL;AL97;Crenshaw
AL;AL106;Crenshaw
AL;AL141;Crenshaw
AL;AL189;Crenshaw
AL;I-65;Cullman
AL;US31;Cullman
AL;US231;Cullman
AL;US278;Cullman
AL;AL67;Cullman
AL;AL69;Cullman
AL;AL74;Cullman
AL;AL91;Cullman
AL;AL157;Cullman
AL;US84;Dale
AL;US231;Dale
AL;AL27;Dale
AL;AL37;Dale
AL;AL51;Dale
AL;AL85;Dale
AL;AL92;Dale
AL;AL103;Dale
AL;AL105;Dale
AL;AL123;Dale
AL;AL134;Dale
AL;AL167;Dale
AL;AL248;Dale
AL;AL249;Dale
AL;AL605;Dale
AL;US80;Dallas
AL;AL5;Dallas
AL;AL14;Dallas
AL;AL22;Dallas
AL;AL41;Dallas
AL;AL66;Dallas
AL;AL89;Dallas
AL;AL140;Dallas
AL;AL219;Dallas
AL;I-59;DeKalb
AL;US11;DeKalb
AL;AL35;DeKalb
AL;AL40;DeKalb
AL;AL68;DeKalb
AL;AL75;DeKalb
AL;AL117;DeKalb
AL;AL168;DeKalb
AL;AL176;DeKalb
AL;AL227;DeKalb
AL;I-65;Elmore
AL;US31;Elmore
AL;US231;Elmore
AL;AL9;Elmore
AL;AL14;Elmore
AL;AL21;Elmore
AL;AL50;Elmore
AL;AL63;Elmore
AL;AL111;Elmore
AL;AL143;Elmore
AL;AL170;Elmore
AL;AL212;Elmore
AL;AL229;Elmore
AL;I-65;Escambia
AL;US29;Escambia
AL;US31;Escambia
AL;AL21;Escambia
AL;AL41;Escambia
AL;AL113;Escambia
AL;I-59;Etowah
AL;I-759;Etowah
AL;US11;Etowah
AL;US278;Etowah
AL;US411;Etowah
AL;US431;Etowah
AL;AL25;Etowah
AL;AL77;Etowah
AL;AL132;Etowah
AL;AL179;Etowah
AL;AL205;Etowah
AL;AL211;Etowah
AL;AL291;Etowah
AL;AL759;Etowah
AL;US43;Fayette
AL;AL13;Fayette
AL;AL18;Fayette
AL;AL96;Fayette
AL;AL102;Fayette
AL;AL107;Fayette
AL;AL159;Fayette
AL;AL171;Fayette
AL;AL233;Fayette
AL;US43;Franklin
AL;AL13;Franklin
AL;AL17;Franklin
AL;AL19;Franklin
AL;AL24;Franklin
AL;AL172;Franklin
AL;AL187;Franklin
AL;AL237;Franklin
AL;AL241;Franklin
AL;AL243;Franklin
AL;AL247;Franklin
AL;AL27;Geneva
AL;AL52;Geneva
AL;AL54;Geneva
