region;route;county
BC;BC4;Alberni-Clayoquot
BC;TCHBC;Bulkley-Nechako
BC;BC16;Bulkley-Nechako
BC;BC27;Bulkley-Nechako
BC;BC35;Bulkley-Nechako
BC;BC118;Bulkley-Nechako
BC;TCHBC;Capital
BC;BC1;Capital
BC;BC14;Capital
BC;BC17;Capital
BC;BC20;Cariboo
BC;BC24;Cariboo
BC;BC26;Cariboo
BC;BC97;Cariboo
BC;BC20;Central Coast
BC;BC3;Central Kootenay
BC;BC3A;Central Kootenay
BC;BC3B;Central Kootenay
BC;BC6;Central Kootenay
BC;BC21;Central Kootenay
BC;BC22;Central Kootenay
BC;BC23;Central Kootenay
BC;BC31;Central Kootenay
BC;BC31A;Central Kootenay
BC;BC95;Central Kootenay
BC;BC33;Central Okanagan
BC;BC97;Central Okanagan
BC;BC97C;Central Okanagan
BC;TCHBC;Columbia-Shuswap
BC;BC1;Columbia-Shuswap
BC;BC23;Columbia-Shuswap
BC;BC31;Columbia-Shuswap
BC;BC95;Columbia-Shuswap
BC;BC97;Columbia-Shuswap
BC;BC97A;Columbia-Shuswap
BC;BC97B;Columbia-Shuswap
BC;BC19;Comox Valley
BC;BC19A;Comox Valley
BC;TCHBC;Cowichan Valley
BC;BC1;Cowichan Valley
BC;BC18;Cowichan Valley
BC;BC3;East Kootenay
BC;BC43;East Kootenay
BC;BC93;East Kootenay
BC;BC95;East Kootenay
BC;BC95A;East Kootenay
BC;TCHBC;Fraser Valley
BC;BC1;Fraser Valley
BC;BC3;Fraser Valley
BC;BC5;Fraser Valley
BC;BC7;Fraser Valley
BC;BC9;Fraser Valley
BC;BC11;Fraser Valley
BC;BC5;Fraser-Fort George
BC;TCHBC;Fraser-Fort George
BC;BC16;Fraser-Fort George
BC;BC39;Fraser-Fort George
BC;BC97;Fraser-Fort George
BC;TCHBC;Kitimat-Stikine
BC;BC16;Kitimat-Stikine
BC;BC37;Kitimat-Stikine
BC;BC37A;Kitimat-Stikine
BC;BC113;Kitimat-Stikine
BC;BC3;Kootenay Boundary
BC;BC3B;Kootenay Boundary
BC;BC22;Kootenay Boundary
BC;BC33;Kootenay Boundary
BC;BC41;Kootenay Boundary
BC;BC395;Kootenay Boundary
BC;TCHBC;Metro Vancouver
BC;BC1;Metro Vancouver
BC;BC7;Metro Vancouver
BC;BC7A;Metro Vancouver
BC;BC10;Metro Vancouver
BC;BC13;Metro Vancouver
BC;BC15;Metro Vancouver
BC;BC17;Metro Vancouver
BC;BC17A;Metro Vancouver
BC;BC91;Metro Vancouver
BC;BC91A;Metro Vancouver
BC;BC99;Metro Vancouver
BC;BC19;Mount Waddington
BC;BC30;Mount Waddington
BC;TCHBC;Nanaimo
BC;BC1;Nanaimo
BC;BC4;Nanaimo
BC;BC4A;Nanaimo
BC;BC19;Nanaimo
BC;BC19A;Nanaimo
BC;TCHBC;North Coast
BC;BC16;North Coast
BC;BC6;North Okanagan
BC;BC97;North Okanagan
BC;BC97A;North Okanagan
BC;BC97B;North Okanagan
BC;BC77;Northern Rockies
BC;BC97;Northern Rockies
BC;BC3;Okanagan-Similkameen
BC;BC3A;Okanagan-Similkameen
BC;BC5A;Okanagan-Similkameen
BC;BC97;Okanagan-Similkameen
BC;BC97C;Okanagan-Similkameen
BC;BC2;Peace River
BC;BC29;Peace River
BC;BC49;Peace River
BC;BC52;Peace River
BC;BC97;Peace River
BC;BC101;Qathet
BC;BC12;Squamish-Lillooet
BC;BC99;Squamish-Lillooet
BC;BC19;Srathcona
BC;BC19A;Srathcona
BC;BC28;Srathcona
BC;BC37;Stikine Region
BC;BC97;Stikine Region
BC;BC101;Sunshine Coast
BC;TCHBC;Thompson-Nicola
BC;BC1;Thompson-Nicola
BC;BC5;Thompson-Nicola
BC;BC5A;Thompson-Nicola
BC;BC8;Thompson-Nicola
BC;BC12;Thompson-Nicola
BC;BC24;Thompson-Nicola
BC;BC97;Thompson-Nicola
BC;BC97C;Thompson-Nicola
BC;BC97D;Thompson-Nicola
BC;BC99;Thompson-Nicola
