region;route;county
FL;I-75;Alachua
FL;US27;Alachua
FL;US41;Alachua
FL;US301;Alachua
FL;US441;Alachua
FL;FL20;Alachua
FL;FL24;Alachua
FL;FL24A;Alachua
FL;FL26;Alachua
FL;FL26A;Alachua
FL;FL120;Alachua
FL;FL121;Alachua
FL;FL222;Alachua
FL;FL226;Alachua
FL;FL231;Alachua
FL;FL235;Alachua
FL;FL331;Alachua
FL;I-10;Baker
FL;US90;Baker
FL;FL2;Baker
FL;FL121;Baker
FL;FL228;Baker
FL;US98;Bay
FL;US231;Bay
FL;FL20;Bay
FL;FL22;Bay
FL;FL30;Bay
FL;FL77;Bay
FL;FL79;Bay
FL;FL327;Bay
FL;FL368;Bay
FL;FL388;Bay
FL;FL389;Bay
FL;FL390;Bay
FL;FL391;Bay
FL;FL392A;Bay
FL;US301;Bradford
FL;FL16;Bradford
FL;FL18;Bradford
FL;FL21;Bradford
FL;FL100;Bradford
FL;FL230;Bradford
FL;FL231;Bradford
FL;FL235;Bradford
FL;I-95;Brevard
FL;US1;Brevard
FL;US192;Brevard
FL;FLA1A;Brevard
FL;FL3;Brevard
FL;FL46;Brevard
FL;FL50;Brevard
FL;FL321;Brevard
FL;FL401;Brevard
FL;FL404;Brevard
FL;FL405;Brevard
FL;FL406;Brevard
FL;FL407;Brevard
FL;FL501;Brevard
FL;FL507;Brevard
FL;FL508;Brevard
FL;FL513;Brevard
FL;FL514;Brevard
FL;FL518;Brevard
FL;FL519;Brevard
FL;FL520;Brevard
FL;FL524;Brevard
FL;FL528;Brevard
FL;I-75;Broward
FL;I-95;Broward
FL;I-595;Broward
FL;US1;Broward
FL;US27;Broward
FL;US441;Broward
FL;FLA1A;Broward
FL;FL84;Broward
FL;FL736;Broward
FL;FL809;Broward
FL;FL810;Broward
FL;FL811;Broward
FL;FL814;Broward
FL;FL816;Broward
FL;FL817;Broward
FL;FL818;Broward
FL;FL820;Broward
FL;FL822;Broward
FL;FL823;Broward
FL;FL824;Broward
FL;FL834;Broward
FL;FL838;Broward
FL;FL842;Broward
FL;FL844;Broward
FL;FL845;Broward
FL;FL848;Broward
FL;FL849;Broward
FL;FL852;Broward
FL;FL858;Broward
FL;FL869;Broward
FL;FL870;Broward
FL;FL20;Calhoun
FL;FL69;Calhoun
FL;FL71;Calhoun
FL;FL73;Calhoun
FL;I-75;Charlotte
FL;US17;Charlotte
FL;US41;Charlotte
FL;FL31;Charlotte
FL;FL776;Charlotte
FL;US19;Citrus
FL;US41;Citrus
FL;US98;Citrus
FL;FL44;Citrus
FL;FL200;Citrus
FL;US17;Clay
FL;US301;Clay
FL;FL16;Clay
FL;FL21;Clay
FL;FL23;Clay
FL;FL100;Clay
FL;FL224;Clay
FL;FL230;Clay
