region;route;county
GA;US1;Appling
GA;US23;Appling
GA;US341;Appling
GA;GA4;Appling
GA;GA15;Appling
GA;GA19;Appling
GA;GA27;Appling
GA;GA121;Appling
GA;GA144;Appling
GA;GA169;Appling
GA;GA203;Appling
GA;US82;Atkinson
GA;US221;Atkinson
GA;US441;Atkinson
GA;GA31;Atkinson
GA;GA64;Atkinson
GA;GA89;Atkinson
GA;GA90;Atkinson
GA;GA135;Atkinson
GA;GA520;Atkinson
GA;US1;Bacon
GA;US23;Bacon
GA;GA4;Bacon
GA;GA19;Bacon
GA;GA32;Bacon
GA;GA203;Bacon
GA;GA37;Baker
GA;GA91;Baker
GA;GA200;Baker
GA;GA216;Baker
GA;GA253;Baker
GA;US441;Baldwin
GA;GA22;Baldwin
GA;GA24;Baldwin
GA;GA29;Baldwin
GA;GA49;Baldwin
GA;GA112;Baldwin
GA;GA212;Baldwin
GA;GA540;Baldwin
GA;I-85;Banks
GA;US441;Banks
GA;GA15;Banks
GA;GA51;Banks
GA;GA52;Banks
GA;GA59;Banks
GA;GA63;Banks
GA;GA98;Banks
GA;GA105;Banks
GA;GA164;Banks
GA;GA184;Banks
GA;GA198;Banks
GA;GA323;Banks
GA;GA326;Banks
GA;I-85;Barrow
GA;US29;Barrow
GA;GA8;Barrow
GA;GA11;Barrow
GA;GA53;Barrow
GA;GA81;Barrow
GA;GA82;Barrow
GA;GA124;Barrow
GA;GA211;Barrow
GA;GA316;Barrow
GA;GA324;Barrow
GA;GA330;Barrow
GA;I-75;Bartow
GA;US41;Bartow
GA;US411;Bartow
GA;GA20;Bartow
GA;GA61;Bartow
GA;GA89;Bartow
GA;GA113;Bartow
GA;GA140;Bartow
GA;GA293;Bartow
GA;US129;Ben Hill
GA;US319;Ben Hill
GA;GA11;Ben Hill
GA;GA90;Ben Hill
GA;GA107;Ben Hill
GA;GA125;Ben Hill
GA;GA182;Ben Hill
GA;GA206;Ben Hill
GA;GA215;Ben Hill
GA;GA233;Ben Hill
GA;US82;Berrien
