region;route;county
HI;HI11;Hawai'i
HI;HI19;Hawai'i
HI;HI130;Hawai'i
HI;HI139;Hawai'i
HI;HI160;Hawai'i
HI;HI190;Hawai'i
HI;HI200;Hawai'i
HI;HI220;Hawai'i
HI;HI240;Hawai'i
HI;HI250;Hawai'i
HI;HI270;Hawai'i
HI;HI2000;Hawai'i
HI;HI50;Kaua'i
HI;HI51;Kaua'i
HI;HI56;Kaua'i
HI;HI58;Kaua'i
HI;HI540;Kaua'i
HI;HI541;Kaua'i
HI;HI550;Kaua'i
HI;HI552;Kaua'i
HI;HI560;Kaua'i
HI;HI570;Kaua'i
HI;HI580;Kaua'i
HI;HI583;Kaua'i
HI;HI440;Lana'i
HI;HI30;Maui
HI;HI31;Maui
HI;HI32;Maui
HI;HI32A;Maui
HI;HI36;Maui
HI;HI36A;Maui
HI;HI37;Maui
HI;HI310;Maui
HI;HI311;Maui
HI;HI340;Maui
HI;HI360;Maui
HI;HI377;Maui
HI;HI378;Maui
HI;HI3000;Maui
HI;HI3400;Maui
HI;HI3500;Maui
HI;HI3800;Maui
HI;HI450;Moloka'i
HI;HI460;Moloka'i
HI;HI470;Moloka'i
HI;HI480;Moloka'i
HI;I-H1;O'ahu
HI;I-H2;O'ahu
HI;I-H3;O'ahu
HI;I-H201;O'ahu
HI;HI61;O'ahu
HI;HI63;O'ahu
HI;HI64;O'ahu
HI;HI65;O'ahu
HI;HI71;O'ahu
HI;HI76;O'ahu
HI;HI78;O'ahu
HI;HI80;O'ahu
HI;HI83;O'ahu
HI;HI92;O'ahu
HI;HI93;O'ahu
HI;HI98;O'ahu
HI;HI99;O'ahu
HI;HI750;O'ahu
HI;HI930;O'ahu
HI;HI7012;O'ahu
HI;HI7101;O'ahu
HI;HI7110;O'ahu
HI;HI7310;O'ahu
HI;HI8930;O'ahu
