region;route;county
ID;I-84;Ada
ID;I-184;Ada
ID;US20;Ada
ID;US26;Ada
ID;US30;Ada
ID;ID16;Ada
ID;ID21;Ada
ID;ID44;Ada
ID;ID55;Ada
ID;ID69;Ada
ID;US95;Adams
ID;ID55;Adams
ID;ID71;Adams
ID;I-15;Bannock
ID;I-86;Bannock
ID;US30;Bannock
ID;US91;Bannock
ID;ID40;Bannock
ID;US30;Bear Lake
ID;US89;Bear Lake
ID;ID36;Bear Lake
ID;ID61;Bear Lake
ID;US95;Benewah
ID;ID3;Benewah
ID;ID5;Benewah
ID;ID6;Benewah
ID;ID58;Benewah
ID;ID60;Benewah
ID;I-15;Bingham
ID;US20;Bingham
ID;US26;Bingham
ID;US91;Bingham
ID;ID39;Bingham
ID;US20;Blaine
ID;US26;Blaine
ID;US93;Blaine
ID;ID75;Blaine
ID;ID21;Boise
ID;ID52;Boise
ID;ID55;Boise
ID;US2;Bonner
ID;US95;Bonner
ID;ID41;Bonner
ID;ID57;Bonner
ID;ID200;Bonner
ID;I-15;Bonneville
ID;US20;Bonneville
ID;US26;Bonneville
ID;US91;Bonneville
ID;ID31;Bonneville
ID;ID43;Bonneville
ID;US2;Boundary
ID;US95;Boundary
ID;ID1;Boundary
ID;US20;Butte
ID;US26;Butte
ID;US93;Butte
ID;ID22;Butte
ID;ID33;Butte
ID;US20;Camas
ID;ID46;Camas
ID;I-84;Canyon
ID;US20;Canyon
ID;US26;Canyon
ID;US30;Canyon
ID;US95;Canyon
ID;ID19;Canyon
ID;ID44;Canyon
ID;ID45;Canyon
ID;ID55;Canyon
ID;US30;Caribou
ID;ID34;Caribou
ID;I-84;Cassia
ID;I-86;Cassia
ID;US30;Cassia
ID;ID27;Cassia
ID;ID77;Cassia
ID;ID81;Cassia
ID;I-15;Clark
ID;ID22;Clark
ID;ID28;Clark
ID;US12;Clearwater
ID;ID7;Clearwater
ID;ID8;Clearwater
ID;ID11;Clearwater
ID;US93;Custer
ID;ID21;Custer
ID;ID75;Custer
ID;I-84;Elmore
ID;US20;Elmore
ID;US26;Elmore
ID;US30;Elmore
ID;ID51;Elmore
ID;ID67;Elmore
ID;ID78;Elmore
ID;ID167;Elmore
ID;US91;Franklin
ID;ID34;Franklin
ID;ID36;Franklin
ID;US20;Fremont
ID;ID32;Fremont
ID;ID33;Fremont
ID;ID47;Fremont
ID;ID87;Fremont
ID;ID19;Gem
ID;ID52;Gem
ID;I-84;Gooding
ID;US20;Gooding
ID;US26;Gooding
ID;ID46;Gooding
ID;US12;Idaho
ID;US95;Idaho
ID;ID13;Idaho
ID;ID14;Idaho
ID;ID62;Idaho
ID;ID64;Idaho
ID;I-15;Jefferson
ID;US20;Jefferson
ID;ID22;Jefferson
ID;ID28;Jefferson
ID;ID33;Jefferson
ID;ID48;Jefferson
ID;I-84;Jerome
ID;US93;Jerome
ID;ID25;Jerome
ID;ID79;Jerome
ID;I-90;Kootenai
ID;US95;Kootenai
ID;ID3;Kootenai
ID;ID41;Kootenai
ID;ID53;Kootenai
ID;ID54;Kootenai
ID;ID97;Kootenai
ID;US95;Latah
ID;ID3;Latah
ID;ID6;Latah
ID;ID8;Latah
ID;ID9;Latah
ID;ID66;Latah
ID;ID99;Latah
ID;US93;Lemhi
ID;ID28;Lemhi
ID;ID29;Lemhi
ID;US12;Lewis
ID;US95;Lewis
ID;ID11;Lewis
ID;ID62;Lewis
ID;ID64;Lewis
ID;ID162;Lewis
ID;US26;Lincoln
ID;US93;Lincoln
ID;ID24;Lincoln
ID;ID75;Lincoln
ID;US20;Madison
ID;ID33;Madison
ID;I-84;Minidoka
ID;US30;Minidoka
ID;ID24;Minidoka
ID;ID25;Minidoka
ID;ID27;Minidoka
ID;US12;Nez Perce
ID;US95;Nez Perce
ID;US195;Nez Perce
ID;ID3;Nez Perce
ID;ID128;Nez Perce
ID;I-15;Oneida
ID;I-84;Oneida
ID;ID36;Oneida
ID;ID38;Oneida
ID;US95;Owyhee
ID;ID19;Owyhee
ID;ID45;Owyhee
ID;ID51;Owyhee
ID;ID78;Owyhee
ID;ID167;Owyhee
ID;I-84;Payette
ID;US26;Payette
ID;US30;Payette
ID;US95;Payette
ID;ID52;Payette
ID;ID72;Payette
ID;I-86;Power
ID;US30;Power
ID;ID37;Power
ID;ID39;Power
ID;I-90;Shoshone
ID;ID3;Shoshone
ID;ID4;Shoshone
ID;ID31;Teton
ID;ID32;Teton
ID;ID33;Teton
ID;US30;Twin Falls
ID;US93;Twin Falls
ID;ID50;Twin Falls
ID;ID74;Twin Falls
ID;ID55;Valley
ID;US95;Washington
ID;ID71;Washington
