region;route;county
IN;US27;Adams
IN;US33;Adams
IN;US224;Adams
IN;IN101;Adams
IN;IN116;Adams
IN;IN124;Adams
IN;IN218;Adams
IN;I-69;Allen
IN;I-469;Allen
IN;US24;Allen
IN;US27;Allen
IN;US30;Allen
IN;US33;Allen
IN;IN1;Allen
IN;IN3;Allen
IN;IN14;Allen
IN;IN37;Allen
IN;IN101;Allen
IN;IN205;Allen
IN;IN930;Allen
IN;I-65;Bartholomew
IN;US31;Bartholomew
IN;IN7;Bartholomew
IN;IN9;Bartholomew
IN;IN11;Bartholomew
IN;IN46;Bartholomew
IN;IN58;Bartholomew
IN;US41;Benton
IN;US52;Benton
IN;IN18;Benton
IN;IN55;Benton
IN;IN71;Benton
IN;IN352;Benton
IN;IN3;Blackford
IN;IN18;Blackford
IN;IN26;Blackford
IN;IN167;Blackford
IN;I-65;Boone
IN;I-74;Boone
IN;I-465;Boone
IN;I-865;Boone
IN;US52;Boone
IN;US136;Boone
IN;US421;Boone
IN;IN32;Boone
IN;IN39;Boone
IN;IN47;Boone
IN;IN75;Boone
IN;IN234;Boone
IN;IN267;Boone
IN;IN45;Brown
IN;IN46;Brown
IN;IN135;Brown
IN;US421;Carroll
IN;IN18;Carroll
IN;IN22;Carroll
IN;IN25;Carroll
IN;IN29;Carroll
IN;IN29;Carroll
IN;IN39;Carroll
IN;IN75;Carroll
IN;IN218;Carroll
IN;US24;Cass
IN;US35;Cass
IN;IN16;Cass
IN;IN17;Cass
IN;IN18;Cass
IN;IN25;Cass
IN;IN29;Cass
IN;IN218;Cass
IN;IN329;Cass
IN;I-65;Clark
IN;I-265;Clark
IN;US31;Clark
IN;IN3;Clark
IN;IN60;Clark
IN;IN62;Clark
IN;IN111;Clark
IN;IN160;Clark
IN;IN203;Clark
IN;IN265;Clark
IN;IN362;Clark
IN;I-70;Clay
IN;US40;Clay
IN;IN42;Clay
IN;IN46;Clay
IN;IN48;Clay
IN;IN59;Clay
IN;IN157;Clay
IN;IN159;Clay
IN;IN246;Clay
IN;IN340;Clay
IN;I-65;Clinton
IN;US52;Clinton
IN;US421;Clinton
IN;IN26;Clinton
IN;IN28;Clinton
IN;IN29;Clinton
IN;IN29;Clinton
IN;IN38;Clinton
IN;IN39;Clinton
IN;IN75;Clinton
IN;I-64;Crawford
IN;IN37;Crawford
IN;IN62;Crawford
IN;IN64;Crawford
IN;IN66;Crawford
IN;IN145;Crawford
IN;IN164;Crawford
IN;IN237;Crawford
IN;I-69;Daviess
IN;US50;Daviess
IN;US150;Daviess
IN;US231;Daviess
IN;IN57;Daviess
IN;IN58;Daviess
IN;IN257;Daviess
IN;IN358;Daviess
IN;IN558;Daviess
IN;IN645;Daviess
IN;I-74;Dearborn
IN;I-275;Dearborn
IN;US50;Dearborn
IN;US52;Dearborn
IN;IN1;Dearborn
IN;IN46;Dearborn
IN;IN48;Dearborn
IN;IN56;Dearborn
IN;IN62;Dearborn
IN;IN148;Dearborn
IN;IN262;Dearborn
IN;IN350;Dearborn
IN;I-74;Decatur
IN;US421;Decatur
IN;IN3;Decatur
IN;IN46;Decatur
IN;I-69;DeKalb
IN;US6;DeKalb
IN;IN1;DeKalb
IN;IN3;DeKalb
IN;IN4;DeKalb
IN;IN8;DeKalb
IN;IN101;DeKalb
IN;IN205;DeKalb
IN;IN327;DeKalb
IN;IN427;DeKalb
IN;I-69;Delaware
IN;US35;Delaware
IN;IN3;Delaware
IN;IN28;Delaware
IN;IN32;Delaware
IN;IN67;Delaware
IN;IN167;Delaware
IN;IN332;Delaware
IN;I-64;Dubois
IN;US231;Dubois
IN;IN56;Dubois
IN;IN64;Dubois
IN;IN145;Dubois
IN;IN161;Dubois
IN;IN162;Dubois
IN;IN164;Dubois
IN;IN264;Dubois
IN;IN545;Dubois
IN;I-80;Elkhart
IN;I-90;Elkhart
IN;US6;Elkhart
IN;US20;Elkhart
IN;US33;Elkhart
IN;US131;Elkhart
IN;IN4;Elkhart
IN;IN13;Elkhart
IN;IN15;Elkhart
IN;IN19;Elkhart
IN;IN119;Elkhart
IN;IN120;Elkhart
IN;IN1;Fayette
IN;IN44;Fayette
IN;IN121;Fayette
IN;I-64;Floyd
IN;I-265;Floyd
IN;US150;Floyd
IN;IN11;Floyd
IN;IN62;Floyd
IN;IN64;Floyd
IN;IN111;Floyd
IN;IN335;Floyd
IN;I-74;Fountain
IN;US41;Fountain
IN;US136;Fountain
IN;IN28;Fountain
IN;IN32;Fountain
IN;IN55;Fountain
IN;IN234;Fountain
IN;IN341;Fountain
IN;I-74;Franklin
IN;US52;Franklin
IN;IN1;Franklin
IN;IN101;Franklin
IN;IN121;Franklin
IN;IN229;Franklin
IN;IN244;Franklin
IN;IN252;Franklin
IN;US31;Fulton
IN;IN14;Fulton
IN;IN17;Fulton
IN;IN19;Fulton
IN;IN25;Fulton
IN;IN110;Fulton
IN;IN114;Fulton
IN;I-64;Gibson
IN;I-69;Gibson
IN;US41;Gibson
IN;IN57;Gibson
IN;IN57;Gibson
IN;IN64;Gibson
IN;IN65;Gibson
IN;IN68;Gibson
IN;IN165;Gibson
IN;IN168;Gibson
IN;IN357;Gibson
IN;I-69;Grant
IN;US35;Grant
IN;IN5;Grant
IN;IN9;Grant
IN;IN13;Grant
IN;IN15;Grant
IN;IN18;Grant
IN;IN22;Grant
IN;IN26;Grant
IN;IN37;Grant
IN;I-69;Greene
IN;US231;Greene
IN;IN43;Greene
IN;IN45;Greene
IN;IN48;Greene
IN;IN54;Greene
IN;IN57;Greene
IN;IN58;Greene
IN;IN59;Greene
IN;IN67;Greene
IN;IN157;Greene
IN;IN445;Greene
IN;I-69;Hamilton
IN;I-465;Hamilton
IN;US31;Hamilton
IN;US421;Hamilton
IN;IN19;Hamilton
IN;IN32;Hamilton
IN;IN37;Hamilton
IN;IN38;Hamilton
IN;IN47;Hamilton
IN;IN213;Hamilton
IN;I-70;Hancock
IN;US36;Hancock
IN;US40;Hancock
IN;US52;Hancock
IN;IN9;Hancock
IN;IN13;Hancock
IN;IN67;Hancock
IN;IN109;Hancock
IN;IN234;Hancock
IN;I-64;Harrison
IN;US150;Harrison
IN;IN11;Harrison
IN;IN62;Harrison
IN;IN64;Harrison
IN;IN111;Harrison
IN;IN135;Harrison
IN;IN211;Harrison
IN;IN335;Harrison
IN;IN337;Harrison
IN;IN462;Harrison
IN;I-65;Hendricks
IN;I-70;Hendricks
IN;I-74;Hendricks
IN;US36;Hendricks
IN;US40;Hendricks
IN;US136;Hendricks
IN;IN39;Hendricks
IN;IN75;Hendricks
IN;IN236;Hendricks
IN;IN267;Hendricks
IN;I-70;Henry
IN;US35;Henry
IN;US36;Henry
IN;US40;Henry
IN;IN3;Henry
IN;IN38;Henry
IN;IN103;Henry
IN;IN109;Henry
IN;IN140;Henry
IN;IN234;Henry
IN;IN236;Henry
IN;US31;Howard
IN;US35;Howard
IN;IN19;Howard
IN;IN22;Howard
IN;IN26;Howard
IN;IN213;Howard
IN;IN931;Howard
IN;I-69;Huntington
IN;US24;Huntington
