region;route;county
MB;MB11;Alexander
MB;MB12;Alexander
MB;MB59;Alexander
MB;MB304;Alexander
MB;MB313;Alexander
MB;MB315;Alexander
MB;MB50;Alonsa
MB;MB68;Alonsa
MB;MB261;Alonsa
MB;MB278;Alonsa
MB;MB481;Alonsa
MB;MB5;Argyle
MB;MB23;Argyle
MB;MB245;Argyle
MB;MB253;Argyle
MB;MB342;Argyle
MB;MB440;Argyle
MB;MB7;Armstrong
MB;MB17;Armstrong
MB;MB68;Armstrong
MB;MB229;Armstrong
MB;MB231;Armstrong
MB;MB415;Armstrong
MB;MB416;Armstrong
MB;MB419;Armstrong
MB;MB512;Armstrong
MB;MB7;Bifrost-Riverton
MB;MB8;Bifrost-Riverton
MB;MB68;Bifrost-Riverton
MB;MB222;Bifrost-Riverton
MB;MB233;Bifrost-Riverton
MB;MB234;Bifrost-Riverton
MB;MB325;Bifrost-Riverton
MB;MB326;Bifrost-Riverton
MB;MB329;Bifrost-Riverton
MB;MB3;Boissevain-Morton
MB;MB10;Boissevain-Morton
MB;MB341;Boissevain-Morton
MB;MB343;Boissevain-Morton
MB;MB348;Boissevain-Morton
MB;MB443;Boissevain-Morton
MB;MB444;Boissevain-Morton
MB;MB448;Boissevain-Morton
MB;MB3;Brenda-Waskada
MB;MB21;Brenda-Waskada
MB;MB251;Brenda-Waskada
MB;MB254;Brenda-Waskada
MB;MB452;Brenda-Waskada
MB;MB12;Brokenhead
MB;MB44;Brokenhead
MB;MB215;Brokenhead
MB;MB302;Brokenhead
MB;MB317;Brokenhead
MB;MB435;Brokenhead
MB;TCHMB;Cartier
MB;MB1;Cartier
MB;MB241;Cartier
MB;MB248;Cartier
MB;MB332;Cartier
MB;MB424;Cartier
MB;MB427;Cartier
MB;MB3;Cartwright-Roblin
MB;MB4;Cartwright-Roblin
MB;MB253;Cartwright-Roblin
MB;MB442;Cartwright-Roblin
MB;MB458;Cartwright-Roblin
MB;TCHMB;City of Winnipeg
MB;MB1;City of Winnipeg
MB;MB59;City of Winnipeg
MB;MB75;City of Winnipeg
MB;MB100;City of Winnipeg
MB;MB101;City of Winnipeg
MB;MB190;City of Winnipeg
MB;MB200;City of Winnipeg
MB;WR17;City of Winnipeg
MB;WR20;City of Winnipeg
MB;WR23;City of Winnipeg
MB;WR25;City of Winnipeg
MB;WR30;City of Winnipeg
MB;WR37;City of Winnipeg
MB;WR42;City of Winnipeg
MB;WR47;City of Winnipeg
MB;WR52;City of Winnipeg
MB;WR57;City of Winnipeg
MB;WR62;City of Winnipeg
MB;WR70;City of Winnipeg
MB;WR80;City of Winnipeg
MB;WR85;City of Winnipeg
MB;WR90;City of Winnipeg
MB;WR95;City of Winnipeg
MB;WR96;City of Winnipeg
MB;WR105;City of Winnipeg
MB;WR115;City of Winnipeg
MB;WR125;City of Winnipeg
MB;WR135;City of Winnipeg
MB;WR145;City of Winnipeg
MB;WR150;City of Winnipeg
MB;WR155;City of Winnipeg
MB;WR165;City of Winnipeg
MB;WR180;City of Winnipeg
MB;MB10;Clanwilliam-Erickson
MB;MB45;Clanwilliam-Erickson
MB;MB357;Clanwilliam-Erickson
MB;MB363;Clanwilliam-Erickson
MB;MB6;Coldwell
MB;MB229;Coldwell
MB;MB418;Coldwell
MB;MB419;Coldwell
MB;TCHMB;Cornwallis
MB;MB1;Cornwallis
MB;MB10;Cornwallis
MB;MB110;Cornwallis
MB;MB340;Cornwallis
MB;MB348;Cornwallis
MB;MB349;Cornwallis
MB;MB457;Cornwallis
MB;MB459;Cornwallis
MB;MB468;Cornwallis
MB;MB5;Dauphin
MB;MB10;Dauphin
MB;MB20;Dauphin
MB;MB267;Dauphin
MB;MB273;Dauphin
MB;MB274;Dauphin
MB;MB362;Dauphin
MB;MB491;Dauphin
MB;MB23;De Salaberry
MB;MB52;De Salaberry
MB;MB59;De Salaberry
MB;MB200;De Salaberry
MB;MB205;De Salaberry
MB;MB216;De Salaberry
MB;MB218;De Salaberry
MB;MB403;De Salaberry
MB;MB3;Deloraine-Winchester
MB;MB21;Deloraine-Winchester
MB;MB450;Deloraine-Winchester
MB;MB57;Duck Mountain Provincial Park
MB;MB83;Duck Mountain Provincial Park
MB;MB366;Duck Mountain Provincial Park
MB;MB367;Duck Mountain Provincial Park
MB;MB3;Dufferin
MB;MB240;Dufferin
MB;MB245;Dufferin
MB;MB248;Dufferin
MB;MB305;Dufferin
MB;MB338;Dufferin
MB;MB59;East St. Paul
MB;MB101;East St. Paul
MB;MB202;East St. Paul
MB;MB204;East St. Paul
MB;MB213;East St. Paul
MB;TCHMB;Ellice-Archie
MB;MB16;Ellice-Archie
MB;MB41;Ellice-Archie
MB;MB256;Ellice-Archie
MB;MB359;Ellice-Archie
MB;MB467;Ellice-Archie
MB;MB475;Ellice-Archie
MB;MB545;Ellice-Archie
MB;MB568;Ellice-Archie
MB;MB571;Ellice-Archie
MB;TCHMB;Elton
MB;MB1;Elton
MB;MB10;Elton
MB;MB25;Elton
MB;MB270;Elton
MB;MB340;Elton
MB;MB353;Elton
MB;MB468;Elton
MB;MB59;Emerson-Franklin
MB;MB75;Emerson-Franklin
MB;MB200;Emerson-Franklin
MB;MB201;Emerson-Franklin
MB;MB209;Emerson-Franklin
MB;MB216;Emerson-Franklin
MB;MB217;Emerson-Franklin
MB;MB218;Emerson-Franklin
MB;MB243;Emerson-Franklin
MB;MB10;Ethelbert
MB;MB267;Ethelbert
MB;MB269;Ethelbert
MB;MB273;Ethelbert
MB;MB274;Ethelbert
MB;MB366;Ethelbert
MB;MB367;Ethelbert
MB;MB489;Ethelbert
MB;MB280;Far Northern Manitoba Unorganized
MB;MB290;Far Northern Manitoba Unorganized
MB;MB391;Far Northern Manitoba Unorganized
MB;MB394;Far Northern Manitoba Unorganized
MB;MB395;Far Northern Manitoba Unorganized
MB;MB396;Far Northern Manitoba Unorganized
MB;MB397;Far Northern Manitoba Unorganized
MB;MB399;Far Northern Manitoba Unorganized
MB;MB493;Far Northern Manitoba Unorganized
MB;MB636;Far Northern Manitoba Unorganized
MB;MB17;Fisher
MB;MB68;Fisher
MB;MB233;Fisher
MB;MB325;Fisher
MB;MB329;Fisher
MB;MB512;Fisher
MB;MB6;Flin Flon-Snow Lake-Kelsey
MB;MB10;Flin Flon-Snow Lake-Kelsey
MB;MB39;Flin Flon-Snow Lake-Kelsey
MB;MB60;Flin Flon-Snow Lake-Kelsey
MB;MB282;Flin Flon-Snow Lake-Kelsey
MB;MB283;Flin Flon-Snow Lake-Kelsey
MB;MB285;Flin Flon-Snow Lake-Kelsey
MB;MB287;Flin Flon-Snow Lake-Kelsey
MB;MB289;Flin Flon-Snow Lake-Kelsey
MB;MB291;Flin Flon-Snow Lake-Kelsey
MB;MB327;Flin Flon-Snow Lake-Kelsey
MB;MB384;Flin Flon-Snow Lake-Kelsey
MB;MB392;Flin Flon-Snow Lake-Kelsey
MB;MB393;Flin Flon-Snow Lake-Kelsey
MB;MB395;Flin Flon-Snow Lake-Kelsey
MB;MB5;Gilbert Plains
MB;MB10;Gilbert Plains
MB;MB267;Gilbert Plains
MB;MB274;Gilbert Plains
MB;MB8;Gimli
MB;MB9;Gimli
MB;MB222;Gimli
MB;MB229;Gimli
MB;MB231;Gimli
MB;MB324;Gimli
MB;MB519;Gimli
MB;MB2;Glenboro-South Cypress
MB;MB5;Glenboro-South Cypress
MB;MB18;Glenboro-South Cypress
MB;MB340;Glenboro-South Cypress
MB;MB342;Glenboro-South Cypress
MB;MB530;Glenboro-South Cypress
MB;TCHMB;Glenella-Lansdowne
MB;MB16;Glenella-Lansdowne
MB;MB260;Glenella-Lansdowne
MB;MB261;Glenella-Lansdowne
MB;MB265;Glenella-Lansdowne
MB;MB352;Glenella-Lansdowne
MB;MB462;Glenella-Lansdowne
MB;MB575;Glenella-Lansdowne
MB;MB6;Grahamdale
MB;MB68;Grahamdale
MB;MB237;Grahamdale
MB;MB239;Grahamdale
MB;MB325;Grahamdale
MB;MB328;Grahamdale
MB;MB513;Grahamdale
MB;MB12;Grand Marais
MB;MB5;Grandview
MB;MB366;Grandview
MB;MB10;Grassland
MB;MB21;Grassland
MB;MB22;Grassland
MB;MB23;Grassland
MB;MB254;Grassland
MB;MB345;Grassland
MB;MB347;Grassland
MB;MB348;Grassland
MB;MB444;Grassland
MB;MB448;Grassland
MB;MB541;Grassland
MB;MB2;Grey
MB;MB13;Grey
MB;MB240;Grey
MB;MB247;Grey
MB;MB248;Grey
MB;MB338;Grey
MB;MB8;Grindstone National Park
MB;MB21;Hamiota
MB;MB24;Hamiota
MB;MB264;Hamiota
MB;MB355;Hamiota
MB;MB469;Hamiota
MB;MB12;Hanover
MB;MB52;Hanover
MB;MB59;Hanover
MB;MB205;Hanover
MB;MB206;Hanover
MB;MB216;Hanover
MB;MB303;Hanover
MB;MB305;Hanover
MB;MB311;Hanover
MB;MB403;Hanover
MB;TCHMB;Harrison Park
MB;MB10;Harrison Park
MB;MB16;Harrison Park
MB;MB45;Harrison Park
MB;MB250;Harrison Park
MB;MB262;Harrison Park
MB;MB270;Harrison Park
MB;MB354;Harrison Park
MB;MB470;Harrison Park
MB;MB566;Harrison Park
MB;TCHMB;Headingley
MB;MB1;Headingley
MB;MB100;Headingley
MB;MB101;Headingley
MB;MB241;Headingley
MB;MB334;Headingley
MB;MB425;Headingley
MB;MB427;Headingley
MB;MB3;Killarney-Turtle Mountain
MB;MB18;Killarney-Turtle Mountain
MB;MB253;Killarney-Turtle Mountain
MB;MB341;Killarney-Turtle Mountain
MB;MB346;Killarney-Turtle Mountain
MB;MB443;Killarney-Turtle Mountain
MB;MB458;Killarney-Turtle Mountain
MB;MB12;La Broquerie
MB;MB52;La Broquerie
MB;MB210;La Broquerie
MB;MB302;La Broquerie
