region;route;county
ME;I-95;Androscoggin
ME;US202;Androscoggin
ME;ME4;Androscoggin
ME;ME11;Androscoggin
ME;ME17;Androscoggin
ME;ME26;Androscoggin
ME;ME100;Androscoggin
ME;ME106;Androscoggin
ME;ME108;Androscoggin
ME;ME117;Androscoggin
ME;ME119;Androscoggin
ME;ME121;Androscoggin
ME;ME122;Androscoggin
ME;ME124;Androscoggin
ME;ME125;Androscoggin
ME;ME126;Androscoggin
ME;ME132;Androscoggin
ME;ME133;Androscoggin
ME;ME136;Androscoggin
ME;ME196;Androscoggin
ME;ME197;Androscoggin
ME;ME219;Androscoggin
ME;I-95;Aroostook
ME;US1;Aroostook
ME;US2;Aroostook
ME;ME10;Aroostook
ME;ME11;Aroostook
ME;ME89;Aroostook
ME;ME157;Aroostook
ME;ME158;Aroostook
ME;ME159;Aroostook
ME;ME161;Aroostook
ME;ME161B;Aroostook
ME;ME162;Aroostook
ME;ME163;Aroostook
ME;ME164;Aroostook
ME;ME167;Aroostook
ME;ME170;Aroostook
ME;ME171;Aroostook
ME;ME205;Aroostook
ME;ME212;Aroostook
ME;ME223;Aroostook
ME;ME227;Aroostook
ME;ME228;Aroostook
ME;ME229;Aroostook
ME;I-95;Cumberland
ME;I-295;Cumberland
ME;US1;Cumberland
ME;US201;Cumberland
ME;US202;Cumberland
ME;US302;Cumberland
ME;ME4;Cumberland
ME;ME5;Cumberland
ME;ME9;Cumberland
ME;ME11;Cumberland
ME;ME22;Cumberland
ME;ME24;Cumberland
ME;ME25;Cumberland
ME;ME26;Cumberland
ME;ME35;Cumberland
ME;ME37;Cumberland
ME;ME77;Cumberland
ME;ME85;Cumberland
ME;ME88;Cumberland
ME;ME100;Cumberland
ME;ME107;Cumberland
ME;ME113;Cumberland
ME;ME114;Cumberland
ME;ME115;Cumberland
ME;ME117;Cumberland
ME;ME121;Cumberland
ME;ME122;Cumberland
ME;ME123;Cumberland
ME;ME125;Cumberland
ME;ME136;Cumberland
ME;ME196;Cumberland
ME;ME207;Cumberland
ME;ME231;Cumberland
ME;ME237;Cumberland
ME;US2;Franklin
ME;ME4;Franklin
ME;ME16;Franklin
ME;ME17;Franklin
ME;ME27;Franklin
ME;ME41;Franklin
ME;ME43;Franklin
ME;ME133;Franklin
ME;ME134;Franklin
ME;ME140;Franklin
ME;ME142;Franklin
ME;ME145;Franklin
ME;ME148;Franklin
ME;ME149;Franklin
ME;ME156;Franklin
ME;ME234;Franklin
ME;US1;Hancock
ME;ME3;Hancock
ME;ME9;Hancock
ME;ME15;Hancock
ME;ME46;Hancock
ME;ME102;Hancock
ME;ME102A;Hancock
ME;ME166;Hancock
ME;ME166A;Hancock
ME;ME172;Hancock
ME;ME175;Hancock
ME;ME176;Hancock
ME;ME177;Hancock
ME;ME179;Hancock
ME;ME180;Hancock
ME;ME181;Hancock
ME;ME182;Hancock
ME;ME183;Hancock
ME;ME184;Hancock
ME;ME185;Hancock
ME;ME186;Hancock
ME;ME193;Hancock
ME;ME195;Hancock
ME;ME198;Hancock
ME;ME199;Hancock
ME;ME200;Hancock
ME;ME204;Hancock
ME;ME230;Hancock
ME;ME233;Hancock
ME;I-95;Kennebec
ME;I-295;Kennebec
ME;US201;Kennebec
ME;US202;Kennebec
ME;ME3;Kennebec
ME;ME8;Kennebec
ME;ME9;Kennebec
ME;ME11;Kennebec
ME;ME17;Kennebec
ME;ME23;Kennebec
ME;ME24;Kennebec
ME;ME27;Kennebec
ME;ME32;Kennebec
ME;ME41;Kennebec
ME;ME100;Kennebec
ME;ME100A;Kennebec
ME;ME104;Kennebec
ME;ME105;Kennebec
ME;ME126;Kennebec
ME;ME132;Kennebec
ME;ME133;Kennebec
ME;ME135;Kennebec
ME;ME137;Kennebec
ME;ME139;Kennebec
ME;ME194;Kennebec
ME;ME197;Kennebec
ME;ME219;Kennebec
ME;ME225;Kennebec
ME;ME226;Kennebec
ME;US1;Knox
ME;ME17;Knox
ME;ME52;Knox
ME;ME73;Knox
ME;ME90;Knox
ME;ME97;Knox
ME;ME105;Knox
ME;ME126;Knox
ME;ME131;Knox
ME;ME206;Knox
ME;ME220;Knox
ME;ME235;Knox
ME;US1;Lincoln
ME;ME17;Lincoln
ME;ME27;Lincoln
ME;ME32;Lincoln
ME;ME96;Lincoln
ME;ME105;Lincoln
ME;ME126;Lincoln
ME;ME127;Lincoln
ME;ME128;Lincoln
ME;ME129;Lincoln
ME;ME130;Lincoln
ME;ME144;Lincoln
ME;ME194;Lincoln
ME;ME197;Lincoln
ME;ME213;Lincoln
ME;ME215;Lincoln
ME;ME218;Lincoln
ME;ME220;Lincoln
ME;ME235;Lincoln
ME;ME238;Lincoln
ME;US2;Oxford
ME;US302;Oxford
ME;ME5;Oxford
ME;ME16;Oxford
ME;ME17;Oxford
ME;ME25;Oxford
ME;ME26;Oxford
ME;ME35;Oxford
ME;ME37;Oxford
ME;ME93;Oxford
ME;ME108;Oxford
ME;ME113;Oxford
ME;ME117;Oxford
ME;ME118;Oxford
ME;ME119;Oxford
ME;ME120;Oxford
ME;ME121;Oxford
ME;ME124;Oxford
ME;ME140;Oxford
ME;ME142;Oxford
ME;ME160;Oxford
ME;ME219;Oxford
ME;ME232;Oxford
ME;I-95;Penobscot
ME;I-395;Penobscot
ME;US2;Penobscot
ME;US202;Penobscot
ME;ME6;Penobscot
ME;ME7;Penobscot
ME;ME9;Penobscot
ME;ME11;Penobscot
ME;ME11A;Penobscot
ME;ME11B;Penobscot
ME;ME15;Penobscot
