region;route;county
MN;US2;Aitkin
MN;US169;Aitkin
MN;MN18;Aitkin
MN;MN27;Aitkin
MN;MN47;Aitkin
MN;MN65;Aitkin
MN;MN200;Aitkin
MN;MN210;Aitkin
MN;I-35;Anoka
MN;I-35E;Anoka
MN;I-35W;Anoka
MN;I-694;Anoka
MN;US10;Anoka
MN;US169;Anoka
MN;MN47;Anoka
MN;MN65;Anoka
MN;MN97;Anoka
MN;MN610;Anoka
MN;US10;Becker
MN;US59;Becker
MN;MN34;Becker
MN;MN87;Becker
MN;MN113;Becker
MN;US2;Beltrami
MN;US71;Beltrami
MN;MN1;Beltrami
MN;MN72;Beltrami
MN;MN89;Beltrami
MN;MN197;Beltrami
MN;US10;Benton
MN;MN15;Benton
MN;MN23;Benton
MN;MN25;Benton
MN;MN95;Benton
MN;US12;Big Stone
MN;US75;Big Stone
MN;MN7;Big Stone
MN;MN28;Big Stone
MN;US14;Blue Earth
MN;US169;Blue Earth
MN;MN22;Blue Earth
MN;MN30;Blue Earth
MN;MN60;Blue Earth
MN;MN68;Blue Earth
MN;MN83;Blue Earth
MN;US14;Brown
MN;MN4;Brown
MN;MN15;Brown
MN;MN68;Brown
MN;MN257;Brown
MN;I-35;Carlton
MN;MN23;Carlton
MN;MN27;Carlton
MN;MN33;Carlton
MN;MN45;Carlton
MN;MN73;Carlton
MN;MN210;Carlton
MN;US212;Carver
MN;MN5;Carver
MN;MN7;Carver
MN;MN25;Carver
MN;MN41;Carver
MN;MN101;Carver
MN;MN284;Carver
MN;US2;Cass
MN;MN6;Cass
MN;MN34;Cass
MN;MN64;Cass
MN;MN84;Cass
MN;MN87;Cass
MN;MN200;Cass
MN;MN210;Cass
MN;MN371;Cass
MN;US59;Chippewa
MN;US212;Chippewa
MN;MN7;Chippewa
MN;MN23;Chippewa
MN;MN29;Chippewa
MN;MN40;Chippewa
MN;I-35;Chisago
MN;US8;Chisago
MN;US61;Chisago
MN;MN95;Chisago
MN;MN243;Chisago
MN;I-94;Clay
MN;US10;Clay
MN;US52;Clay
MN;US75;Clay
MN;MN9;Clay
MN;MN32;Clay
MN;MN34;Clay
MN;MN336;Clay
MN;US2;Clearwater
MN;MN1;Clearwater
MN;MN89;Clearwater
MN;MN92;Clearwater
