region;route;county
MS;US61;Adams
MS;US98;Adams
MS;US425;Adams
MS;MS553;Adams
MS;MS554;Adams
MS;MS555;Adams
MS;MS930;Adams
MS;US45;Alcorn
MS;US72;Alcorn
MS;MS2;Alcorn
MS;MS145;Alcorn
MS;MS350;Alcorn
MS;MS356;Alcorn
MS;MS367;Alcorn
MS;MS785;Alcorn
MS;US98;Amite
MS;MS24;Amite
MS;MS33;Amite
MS;MS48;Amite
MS;MS567;Amite
MS;MS568;Amite
MS;MS569;Amite
MS;MS570;Amite
MS;MS571;Amite
MS;MS584;Amite
MS;MS923;Amite
MS;MS12;Attala
MS;MS14;Attala
MS;MS19;Attala
MS;MS25;Attala
MS;MS43;Attala
MS;MS407;Attala
MS;MS411;Attala
MS;MS429;Attala
MS;MS431;Attala
MS;MS440;Attala
MS;MS731;Attala
MS;MS735;Attala
MS;MS736;Attala
MS;MS739;Attala
MS;MS741;Attala
MS;I-22;Benton
MS;US72;Benton
MS;US78;Benton
MS;MS2;Benton
MS;MS4;Benton
MS;MS5;Benton
MS;MS7;Benton
MS;MS178;Benton
MS;MS370;Benton
MS;MS704;Benton
MS;US61;Bolivar
MS;US278;Bolivar
MS;MS1;Bolivar
MS;MS8;Bolivar
MS;MS32;Bolivar
MS;MS161;Bolivar
MS;MS444;Bolivar
MS;MS446;Bolivar
MS;MS448;Bolivar
MS;MS450;Bolivar
MS;MS802;Bolivar
MS;MS804;Bolivar
MS;MS817;Bolivar
MS;I-55;Carroll
MS;US51;Carroll
MS;US82;Carroll
MS;MS7;Carroll
MS;MS17;Carroll
MS;MS35;Carroll
MS;MS404;Carroll
MS;MS407;Carroll
MS;MS430;Carroll
MS;MS8;Calhoun
MS;MS9;Calhoun
MS;MS9W;Calhoun
MS;MS32;Calhoun
MS;MS330;Calhoun
MS;MS331;Calhoun
MS;MS341;Calhoun
MS;MS8;Chickasaw
MS;MS15;Chickasaw
MS;MS32;Chickasaw
MS;MS41;Chickasaw
MS;MS47;Chickasaw
MS;MS245;Chickasaw
MS;MS340;Chickasaw
MS;MS341;Chickasaw
MS;MS385;Chickasaw
MS;MS389;Chickasaw
MS;MS9;Choctaw
MS;MS12;Choctaw
MS;MS15;Choctaw
MS;MS407;Choctaw
MS;MS413;Choctaw
MS;MS415;Choctaw
MS;MS790;Choctaw
MS;US61;Claiborne
MS;MS18;Claiborne
MS;MS462;Claiborne
MS;MS547;Claiborne
MS;MS548;Claiborne
MS;MS552;Claiborne
MS;I-55;Clarke
MS;US11;Clarke
MS;US45;Clarke
