region;route;county
NB;NB112;Albert
NB;NB114;Albert
NB;NB895;Albert
NB;NB905;Albert
NB;NB910;Albert
NB;NB915;Albert
NB;NB2;Carleton
NB;NB95;Carleton
NB;NB103;Carleton
NB;NB104;Carleton
NB;NB105;Carleton
NB;NB107;Carleton
NB;NB110;Carleton
NB;NB130;Carleton
NB;NB165;Carleton
NB;NB540;Carleton
NB;NB550;Carleton
NB;NB555;Carleton
NB;NB560;Carleton
NB;NB565;Carleton
NB;NB570;Carleton
NB;NB575;Carleton
NB;NB580;Carleton
NB;NB585;Carleton
NB;NB590;Carleton
NB;NB595;Carleton
NB;TCHNB;Carleton
NB;NB1;Charlotte
NB;NB3;Charlotte
NB;NB127;Charlotte
NB;NB170;Charlotte
NB;NB172;Charlotte
NB;NB175;Charlotte
NB;NB176;Charlotte
NB;NB630;Charlotte
NB;NB725;Charlotte
NB;NB730;Charlotte
NB;NB735;Charlotte
NB;NB740;Charlotte
NB;NB745;Charlotte
NB;NB750;Charlotte
NB;NB755;Charlotte
NB;NB760;Charlotte
NB;NB770;Charlotte
NB;NB772;Charlotte
NB;NB774;Charlotte
NB;NB776;Charlotte
NB;NB778;Charlotte
NB;NB780;Charlotte
NB;NB785;Charlotte
NB;NB8;Gloucester
NB;NB11;Gloucester
NB;NB113;Gloucester
NB;NB134;Gloucester
NB;NB135;Gloucester
NB;NB145;Gloucester
NB;NB150;Gloucester
NB;NB160;Gloucester
NB;NB180;Gloucester
NB;NB303;Gloucester
NB;NB305;Gloucester
NB;NB310;Gloucester
NB;NB315;Gloucester
NB;NB320;Gloucester
NB;NB322;Gloucester
NB;NB325;Gloucester
NB;NB330;Gloucester
NB;NB335;Gloucester
NB;NB340;Gloucester
NB;NB345;Gloucester
NB;NB350;Gloucester
NB;NB355;Gloucester
NB;NB360;Gloucester
NB;NB363;Gloucester
NB;NB365;Gloucester
NB;NB370;Gloucester
NB;NB430;Gloucester
NB;NB11;Kent
NB;NB115;Kent
NB;NB116;Kent
NB;NB117;Kent
NB;NB126;Kent
NB;NB134;Kent
NB;NB465;Kent
NB;NB470;Kent
NB;NB475;Kent
NB;NB480;Kent
NB;NB485;Kent
NB;NB490;Kent
NB;NB495;Kent
NB;NB505;Kent
NB;NB510;Kent
NB;NB515;Kent
NB;NB525;Kent
NB;NB530;Kent
NB;NB535;Kent
NB;NB1;Kings
NB;NB2;Kings
NB;NB7;Kings
NB;NB10;Kings
NB;NB100;Kings
NB;NB102;Kings
NB;NB111;Kings
NB;NB119;Kings
NB;NB114;Kings
NB;NB121;Kings
NB;NB124;Kings
NB;NB177;Kings
NB;NB705;Kings
NB;NB710;Kings
NB;NB820;Kings
NB;NB845;Kings
NB;NB850;Kings
NB;NB855;Kings
NB;NB860;Kings
NB;NB865;Kings
NB;NB870;Kings
NB;NB875;Kings
NB;NB880;Kings
NB;NB885;Kings
NB;NB890;Kings
NB;NB895;Kings
NB;TCHNB;Kings
NB;NB2;Madawaska
NB;NB17;Madawaska
NB;NB120;Madawaska
NB;NB144;Madawaska
NB;NB161;Madawaska
NB;NB205;Madawaska
NB;NB215;Madawaska
NB;NB255;Madawaska
NB;TCHNB;Madawaska
NB;NB8;Northumberland
NB;NB11;Northumberland
NB;NB108;Northumberland
NB;NB117;Northumberland
NB;NB118;Northumberland
NB;NB123;Northumberland
NB;NB126;Northumberland
NB;NB134;Northumberland
NB;NB385;Northumberland
NB;NB415;Northumberland
NB;NB420;Northumberland
NB;NB425;Northumberland
NB;NB430;Northumberland
NB;NB440;Northumberland
NB;NB445;Northumberland
NB;NB450;Northumberland
NB;NB455;Northumberland
NB;NB460;Northumberland
NB;NB625;Northumberland
NB;NB2;Queens
NB;NB7;Queens
NB;NB10;Queens
NB;NB101;Queens
NB;NB102;Queens
NB;NB105;Queens
NB;NB112;Queens
NB;NB116;Queens
NB;NB123;Queens
NB;NB690;Queens
NB;NB695;Queens
NB;NB705;Queens
NB;NB710;Queens
NB;NB715;Queens
NB;TCHNB;Queens
NB;NB11;Restigouche
NB;NB17;Restigouche
NB;NB134;Restigouche
NB;NB180;Restigouche
NB;NB260;Restigouche
NB;NB265;Restigouche
NB;NB270;Restigouche
NB;NB275;Restigouche
NB;NB280;Restigouche
NB;NB385;Restigouche
NB;NB1;St. John County
NB;NB7;St. John County
NB;NB100;St. John County
NB;NB111;St. John County
NB;NB175;St. John County
NB;NB177;St. John County
NB;NB790;St. John County
NB;NB795;St. John County
NB;NB820;St. John County
NB;NB825;St. John County
NB;NB2;Sunbury
NB;NB7;Sunbury
NB;NB10;Sunbury
NB;NB101;Sunbury
NB;NB102;Sunbury
NB;NB105;Sunbury
NB;NB123;Sunbury
NB;NB645;Sunbury
NB;NB655;Sunbury
NB;NB670;Sunbury
NB;NB690;Sunbury
NB;NB785;Sunbury
NB;TCHNB;Sunbury
NB;NB2;Victoria
NB;NB17;Victoria
NB;NB105;Victoria
NB;NB108;Victoria
NB;NB109;Victoria
NB;NB130;Victoria
NB;NB190;Victoria
NB;NB218;Victoria
NB;NB375;Victoria
NB;NB380;Victoria
NB;NB385;Victoria
NB;NB390;Victoria
NB;NB395;Victoria
NB;NB560;Victoria
NB;TCHNB;Victoria
NB;NB2;Westmorland
NB;NB11;Westmorland
NB;NB15;Westmorland
NB;NB16;Westmorland
NB;NB106;Westmorland
NB;NB112;Westmorland
NB;NB114;Westmorland
NB;NB126;Westmorland
NB;NB128;Westmorland
NB;NB132;Westmorland
NB;NB133;Westmorland
NB;NB134;Westmorland
NB;NB490;Westmorland
NB;NB880;Westmorland
NB;NB885;Westmorland
NB;NB890;Westmorland
NB;NB905;Westmorland
NB;NB925;Westmorland
NB;NB933;Westmorland
NB;NB935;Westmorland
NB;NB940;Westmorland
NB;NB945;Westmorland
NB;NB950;Westmorland
NB;NB955;Westmorland
NB;NB960;Westmorland
NB;NB970;Westmorland
NB;TCHNB;Westmorland
NB;TCHNB;York
NB;NB2;York
NB;NB3;York
NB;NB4;York
NB;NB7;York
NB;NB8;York
NB;NB10;York
NB;NB101;York
NB;NB102;York
NB;NB104;York
NB;NB105;York
NB;NB107;York
NB;NB108;York
NB;NB122;York
NB;NB148;York
NB;NB540;York
NB;NB585;York
NB;NB595;York
NB;NB605;York
NB;NB610;York
NB;NB615;York
NB;NB616;York
NB;NB617;York
NB;NB620;York
NB;NB625;York
NB;NB630;York
NB;NB635;York
NB;NB636;York
NB;NB640;York
NB;NB645;York
NB;NB655;York
