region;route;county
NC;I-40;Alamance
NC;I-85;Alamance
NC;US70;Alamance
NC;NC49;Alamance
NC;NC54;Alamance
NC;NC62;Alamance
NC;NC87;Alamance
NC;NC100;Alamance
NC;NC119;Alamance
NC;US64;Alexander
NC;NC16;Alexander
NC;NC90;Alexander
NC;NC127;Alexander
NC;US21;Alleghany
NC;US221;Alleghany
NC;NC18;Alleghany
NC;NC88;Alleghany
NC;NC93;Alleghany
NC;NC113;Alleghany
NC;US52;Anson
NC;US74;Anson
NC;NC109;Anson
NC;NC145;Anson
NC;NC218;Anson
NC;NC742;Anson
NC;US221;Ashe
NC;NC16;Ashe
NC;NC88;Ashe
NC;NC113;Ashe
NC;NC163;Ashe
NC;NC194;Ashe
NC;US19E;Avery
NC;US221;Avery
NC;NC105;Avery
NC;NC181;Avery
NC;NC184;Avery
NC;NC194;Avery
NC;US17;Beaufort
NC;US264;Beaufort
NC;NC32;Beaufort
NC;NC33;Beaufort
NC;NC45;Beaufort
NC;NC92;Beaufort
NC;NC99;Beaufort
NC;NC102;Beaufort
NC;NC171;Beaufort
NC;NC306;Beaufort
NC;US13;Bertie
NC;US17;Bertie
NC;NC11;Bertie
NC;NC42;Bertie
NC;NC45;Bertie
NC;NC305;Bertie
NC;NC308;Bertie
NC;US701;Bladen
NC;NC11;Bladen
NC;NC20;Bladen
NC;NC41;Bladen
NC;NC53;Bladen
NC;NC87;Bladen
NC;NC131;Bladen
NC;NC210;Bladen
NC;NC211;Bladen
NC;NC242;Bladen
NC;NC410;Bladen
NC;I-140;Brunswick
NC;US17;Brunswick
NC;US74;Brunswick
NC;US76;Brunswick
NC;US421;Brunswick
NC;NC87;Brunswick
NC;NC130;Brunswick
NC;NC133;Brunswick
NC;NC179;Brunswick
NC;NC211;Brunswick
NC;NC904;Brunswick
NC;NC906;Brunswick
NC;I-26;Buncombe
NC;I-40;Buncombe
NC;I-240;Buncombe
NC;US19;Buncombe
NC;US23;Buncombe
NC;US25;Buncombe
NC;US70;Buncombe
NC;NC9;Buncombe
NC;NC63;Buncombe
NC;NC81;Buncombe
NC;NC112;Buncombe
NC;NC146;Buncombe
NC;NC151;Buncombe
NC;NC191;Buncombe
NC;NC197;Buncombe
NC;NC251;Buncombe
NC;NC280;Buncombe
NC;NC694;Buncombe
NC;I-40;Burke
NC;US64;Burke
NC;US70;Burke
NC;US221;Burke
NC;NC18;Burke
NC;NC114;Burke
NC;NC126;Burke
NC;NC181;Burke
NC;NC183;Burke
NC;I-85;Cabarrus
NC;US29;Cabarrus
NC;US52;Cabarrus
NC;US601;Cabarrus
NC;NC3;Cabarrus
NC;NC24;Cabarrus
NC;NC27;Cabarrus
NC;NC49;Cabarrus
NC;NC73;Cabarrus
NC;NC200;Cabarrus
NC;US64;Caldwell
NC;US221;Caldwell
NC;NC18;Caldwell
NC;NC90;Caldwell
NC;NC268;Caldwell
NC;US17;Camden
NC;US158;Camden
NC;NC34;Camden
NC;NC343;Camden
NC;US70;Carteret
NC;NC12;Carteret
NC;NC24;Carteret
NC;NC58;Carteret
NC;NC101;Carteret
NC;US29;Caswell
NC;US158;Caswell
NC;NC49;Caswell
NC;NC57;Caswell
NC;NC62;Caswell
NC;NC86;Caswell
NC;NC87;Caswell
NC;NC119;Caswell
NC;NC150;Caswell
NC;NC700;Caswell
NC;I-40;Catawba
NC;US70;Catawba
NC;NC10;Catawba
NC;NC16;Catawba
NC;NC18;Catawba
NC;NC127;Catawba
NC;NC150;Catawba
NC;US1;Chatham
NC;US15;Chatham
NC;US64;Chatham
NC;US421;Chatham
NC;US501;Chatham
NC;NC22;Chatham
NC;NC42;Chatham
NC;NC87;Chatham
NC;NC751;Chatham
NC;NC902;Chatham
NC;US19;Cherokee
NC;US64;Cherokee
NC;US74;Cherokee
NC;US129;Cherokee
NC;NC60;Cherokee
