region;route;county
NE;US6;Adams
NE;US34;Adams
NE;US281;Adams
NE;NE74;Adams
NE;S1A;Adams
NE;S1B;Adams
NE;S1C;Adams
NE;S1D;Adams
NE;US20;Antelope
NE;US275;Antelope
NE;NE13;Antelope
NE;NE14;Antelope
NE;NE45;Antelope
NE;NE57;Antelope
NE;NE70;Antelope
NE;S2B;Antelope
NE;NE61;Arthur
NE;NE92;Arthur
NE;NE71;Banner
NE;NE88;Banner
NE;S4A;Banner
NE;NE2;Blaine
NE;NE7;Blaine
NE;NE91;Blaine
NE;S5A;Blaine
NE;NE14;Boone
NE;NE32;Boone
NE;NE39;Boone
NE;NE45;Boone
NE;NE52;Boone
NE;NE56;Boone
NE;NE91;Boone
NE;L6A;Boone
NE;US385;Box Butte
NE;NE2;Box Butte
NE;NE71;Box Butte
NE;NE87;Box Butte
NE;L7E;Box Butte
NE;US281;Boyd
NE;NE11;Boyd
NE;NE12;Boyd
NE;S8A;Boyd
NE;US20;Brown
NE;US183;Brown
NE;NE7;Brown
NE;S9A;Brown
NE;I-80;Buffalo
NE;US30;Buffalo
NE;US183;Buffalo
NE;NE2;Buffalo
NE;NE10;Buffalo
NE;NE40;Buffalo
NE;NE44;Buffalo
NE;NE68;Buffalo
NE;L10B;Buffalo
NE;L10C;Buffalo
NE;L10D;Buffalo
NE;L10E;Buffalo
NE;L10F;Buffalo
NE;US75;Burt
NE;US77;Burt
NE;NE32;Burt
NE;NE51;Burt
NE;S11A;Burt
NE;US81;Butler
NE;NE15;Butler
NE;NE64;Butler
NE;NE66;Butler
NE;NE92;Butler
NE;S12A;Butler
NE;S12B;Butler
NE;S12C;Butler
NE;S12D;Butler
NE;S12E;Butler
NE;S12F;Butler
NE;I-80;Cass
NE;US6;Cass
NE;US34;Cass
NE;US75;Cass
NE;NE1;Cass
NE;NE43;Cass
NE;NE50;Cass
NE;NE63;Cass
NE;NE66;Cass
NE;NE67;Cass
NE;S13A;Cass
NE;S13C;Cass
NE;S13D;Cass
NE;S13F;Cass
NE;S13H;Cass
NE;S13K;Cass
NE;US20;Cedar
NE;US81;Cedar
NE;NE12;Cedar
NE;NE15;Cedar
NE;NE59;Cedar
NE;NE84;Cedar
NE;NE121;Cedar
NE;S14A;Cedar
NE;S14B;Cedar
NE;S14C;Cedar
NE;S14H;Cedar
NE;US6;Chase
NE;NE61;Chase
NE;S15A;Chase
NE;US20;Cherry
NE;US83;Cherry
NE;NE12;Cherry
NE;NE61;Cherry
NE;NE97;Cherry
NE;S16A;Cherry
NE;S16B;Cherry
NE;S16F;Cherry
NE;I-80;Cheyenne
NE;US30;Cheyenne
NE;US385;Cheyenne
NE;NE19;Cheyenne
NE;L17B;Cheyenne
NE;L17C;Cheyenne
NE;L17E;Cheyenne
NE;L17F;Cheyenne
NE;L17J;Cheyenne
NE;US6;Clay
NE;NE14;Clay
NE;NE41;Clay
NE;NE74;Clay
NE;S18A;Clay
