region;route;county
NH;I-93;Belknap
NH;US3;Belknap
NH;NH11;Belknap
NH;NH11A;Belknap
NH;NH11B;Belknap
NH;NH11C;Belknap
NH;NH25;Belknap
NH;NH25B;Belknap
NH;NH28;Belknap
NH;NH28A;Belknap
NH;NH104;Belknap
NH;NH106;Belknap
NH;NH107;Belknap
NH;NH126;Belknap
NH;NH127;Belknap
NH;NH129;Belknap
NH;NH132;Belknap
NH;NH140;Belknap
NH;US302;Carroll
NH;NH16;Carroll
NH;NH16A;Carroll
NH;NH16B;Carroll
NH;NH25;Carroll
NH;NH28;Carroll
NH;NH41;Carroll
NH;NH109;Carroll
NH;NH109A;Carroll
NH;NH112;Carroll
NH;NH113;Carroll
NH;NH113A;Carroll
NH;NH113B;Carroll
NH;NH125;Carroll
NH;NH153;Carroll
NH;NH171;Carroll
NH;US202;Cheshire
NH;NH9;Cheshire
NH;NH9A;Cheshire
NH;NH10;Cheshire
NH;NH12;Cheshire
NH;NH12A;Cheshire
NH;NH32;Cheshire
NH;NH63;Cheshire
NH;NH78;Cheshire
NH;NH101;Cheshire
NH;NH119;Cheshire
NH;NH123;Cheshire
NH;NH123A;Cheshire
NH;NH124;Cheshire
NH;NH137;Cheshire
NH;US2;Coos
NH;US3;Coos
NH;US302;Coos
NH;NH16;Coos
NH;NH26;Coos
NH;NH110;Coos
NH;NH110A;Coos
NH;NH110B;Coos
NH;NH115;Coos
NH;NH115A;Coos
NH;NH116;Coos
NH;NH135;Coos
NH;NH142;Coos
NH;NH145;Coos
NH;I-89;Grafton
NH;I-93;Grafton
NH;US3;Grafton
NH;US4;Grafton
NH;US302;Grafton
NH;NH3A;Grafton
NH;NH4A;Grafton
NH;NH10;Grafton
NH;NH10A;Grafton
NH;NH12A;Grafton
NH;NH18;Grafton
NH;NH25;Grafton
NH;NH25A;Grafton
NH;NH25C;Grafton
NH;NH49;Grafton
NH;NH104;Grafton
NH;NH112;Grafton
NH;NH113;Grafton
NH;NH116;Grafton
NH;NH117;Grafton
NH;NH118;Grafton
NH;NH120;Grafton
NH;NH132;Grafton
NH;NH135;Grafton
NH;NH141;Grafton
NH;NH142;Grafton
NH;NH175;Grafton
NH;NH175A;Grafton
NH;I-93;Hillsborough
NH;I-293;Hillsborough
NH;US3;Hillsborough
NH;US202;Hillsborough
NH;NH3A;Hillsborough
NH;NH9;Hillsborough
NH;NH13;Hillsborough
NH;NH28;Hillsborough
NH;NH28A;Hillsborough
NH;NH31;Hillsborough
NH;NH38;Hillsborough
NH;NH45;Hillsborough
NH;NH47;Hillsborough
NH;NH77;Hillsborough
NH;NH101;Hillsborough
NH;NH101A;Hillsborough
NH;NH102;Hillsborough
NH;NH111;Hillsborough
NH;NH111A;Hillsborough
NH;NH114;Hillsborough
NH;NH114A;Hillsborough
NH;NH119;Hillsborough
NH;NH121;Hillsborough
NH;NH122;Hillsborough
NH;NH123;Hillsborough
NH;NH123A;Hillsborough
NH;NH124;Hillsborough
NH;NH128;Hillsborough
NH;NH130;Hillsborough
NH;NH136;Hillsborough
NH;NH137;Hillsborough
NH;NH149;Hillsborough
NH;I-89;Merrimack
NH;I-93;Merrimack
NH;I-293;Merrimack
NH;I-393;Merrimack
NH;US3;Merrimack
NH;US4;Merrimack
NH;US202;Merrimack
NH;NH3A;Merrimack
NH;NH9;Merrimack
NH;NH11;Merrimack
NH;NH13;Merrimack
NH;NH27;Merrimack
NH;NH28;Merrimack
NH;NH28A;Merrimack
NH;NH77;Merrimack
NH;NH103;Merrimack
NH;NH103A;Merrimack
NH;NH103B;Merrimack
NH;NH104;Merrimack
NH;NH106;Merrimack
NH;NH107;Merrimack
NH;NH114;Merrimack
NH;NH127;Merrimack
NH;NH129;Merrimack
NH;NH132;Merrimack
NH;NH140;Merrimack
NH;I-93;Rockingham
NH;I-95;Rockingham
NH;US1;Rockingham
NH;US4;Rockingham
NH;US202;Rockingham
NH;NH1A;Rockingham
NH;NH1B;Rockingham
NH;NH9;Rockingham
NH;NH16;Rockingham
NH;NH27;Rockingham
NH;NH28;Rockingham
NH;NH28A;Rockingham
NH;NH33;Rockingham
NH;NH38;Rockingham
NH;NH43;Rockingham
NH;NH84;Rockingham
NH;NH85;Rockingham
NH;NH87;Rockingham
NH;NH88;Rockingham
NH;NH97;Rockingham
NH;NH101;Rockingham
NH;NH102;Rockingham
NH;NH107;Rockingham
NH;NH107A;Rockingham
NH;NH108;Rockingham
NH;NH111;Rockingham
NH;NH111A;Rockingham
NH;NH121;Rockingham
NH;NH121A;Rockingham
NH;NH125;Rockingham
NH;NH128;Rockingham
NH;NH150;Rockingham
NH;NH151;Rockingham
NH;NH152;Rockingham
NH;NH155;Rockingham
NH;NH156;Rockingham
NH;NH202A;Rockingham
NH;NH286;Rockingham
NH;US4;Strafford
NH;US202;Strafford
NH;NH4;Strafford
NH;NH9;Strafford
NH;NH11;Strafford
NH;NH16;Strafford
NH;NH75;Strafford
NH;NH108;Strafford
NH;NH125;Strafford
NH;NH126;Strafford
NH;NH152;Strafford
NH;NH153;Strafford
NH;NH155;Strafford
NH;NH155A;Strafford
NH;NH202A;Strafford
NH;NH236;Strafford
NH;I-89;Sullivan
NH;NH4A;Sullivan
NH;NH10;Sullivan
NH;NH11;Sullivan
NH;NH12;Sullivan
NH;NH12A;Sullivan
NH;NH31;Sullivan
NH;NH103;Sullivan
NH;NH103B;Sullivan
NH;NH114;Sullivan
NH;NH120;Sullivan
NH;NH123;Sullivan
