region;route;county
NL;TCHNL;Avalon Peninsula
NL;NL1;Avalon Peninsula
NL;NL2;Avalon Peninsula
NL;NL3;Avalon Peninsula
NL;NL3A;Avalon Peninsula
NL;NL10;Avalon Peninsula
NL;NL11;Avalon Peninsula
NL;NL13;Avalon Peninsula
NL;NL20;Avalon Peninsula
NL;NL21;Avalon Peninsula
NL;NL30;Avalon Peninsula
NL;NL40;Avalon Peninsula
NL;NL41;Avalon Peninsula
NL;NL50;Avalon Peninsula
NL;NL60;Avalon Peninsula
NL;NL61;Avalon Peninsula
NL;NL62;Avalon Peninsula
NL;NL63;Avalon Peninsula
NL;NL70;Avalon Peninsula
NL;NL71;Avalon Peninsula
NL;NL72;Avalon Peninsula
NL;NL73;Avalon Peninsula
NL;NL74;Avalon Peninsula
NL;NL75;Avalon Peninsula
NL;NL80;Avalon Peninsula
NL;NL81;Avalon Peninsula
NL;NL90;Avalon Peninsula
NL;NL91;Avalon Peninsula
NL;NL92;Avalon Peninsula
NL;NL93;Avalon Peninsula
NL;NL94;Avalon Peninsula
NL;NL100;Avalon Peninsula
NL;NL101;Avalon Peninsula
NL;NL102;Avalon Peninsula
NL;NL201;Avalon Peninsula
NL;NL202;Avalon Peninsula
NL;NL203;Avalon Peninsula
NL;NL210;Avalon Peninsula
NL;TCHNL;Bonavista-Clarenville
NL;NL1;Bonavista-Clarenville
NL;NL204;Bonavista-Clarenville
NL;NL205;Bonavista-Clarenville
NL;NL230;Bonavista-Clarenville
NL;NL230A;Bonavista-Clarenville
NL;NL231;Bonavista-Clarenville
NL;NL232;Bonavista-Clarenville
NL;NL233;Bonavista-Clarenville
NL;NL234;Bonavista-Clarenville
NL;NL235;Bonavista-Clarenville
NL;NL236;Bonavista-Clarenville
NL;NL237;Bonavista-Clarenville
NL;NL238;Bonavista-Clarenville
NL;NL239;Bonavista-Clarenville
NL;NL301;Bonavista-Clarenville
NL;NL310;Bonavista-Clarenville
NL;NL320;Bonavista-Clarenville
NL;NL330;Bonavista-Clarenville
NL;NL210;Burin Peninsula
NL;NL211;Burin Peninsula
NL;NL212;Burin Peninsula
NL;NL213;Burin Peninsula
NL;NL214;Burin Peninsula
NL;NL215;Burin Peninsula
NL;NL220;Burin Peninsula
NL;NL221;Burin Peninsula
NL;NL222;Burin Peninsula
NL;TCHNL;Corner Brook
NL;NL1;Corner Brook
NL;NL401;Corner Brook
NL;NL420;Corner Brook
NL;NL421;Corner Brook
NL;NL422;Corner Brook
NL;NL430;Corner Brook
NL;NL440;Corner Brook
NL;NL450;Corner Brook
NL;TCHNL;Gander-Grand Falls
NL;NL1;Gander-Grand Falls
NL;NL330;Gander-Grand Falls
NL;NL340;Gander-Grand Falls
NL;NL350;Gander-Grand Falls
NL;NL351;Gander-Grand Falls
NL;NL352;Gander-Grand Falls
NL;NL360;Gander-Grand Falls
NL;NL370;Gander-Grand Falls
NL;NL371;Gander-Grand Falls
NL;NL480;Gander-Grand Falls
NL;NL500;Labrador
NL;NL503;Labrador
NL;NL510;Labrador
NL;NL513;Labrador
NL;NL514;Labrador
NL;NL516;Labrador
NL;NL520;Labrador
NL;TCHNL;North Coast
NL;NL1;North Coast
NL;NL330;North Coast
NL;NL331;North Coast
NL;NL332;North Coast
NL;NL333;North Coast
NL;NL334;North Coast
NL;NL335;North Coast
NL;NL340;North Coast
NL;NL341;North Coast
NL;NL342;North Coast
NL;NL343;North Coast
NL;NL344;North Coast
NL;NL345;North Coast
NL;NL346;North Coast
NL;NL350;North Coast
NL;NL352;North Coast
NL;NL380;North Coast
NL;NL381;North Coast
NL;NL382;North Coast
NL;NL390;North Coast
NL;NL391;North Coast
NL;NL392;North Coast
NL;NL410;North Coast
NL;NL411;North Coast
NL;NL412;North Coast
NL;NL413;North Coast
NL;NL414;North Coast
NL;NL415;North Coast
NL;NL416;North Coast
NL;NL417;North Coast
NL;NL418;North Coast
NL;NL419;North Coast
NL;NL430;Northern Peninsula
NL;NL431;Northern Peninsula
NL;NL432;Northern Peninsula
NL;NL433;Northern Peninsula
NL;NL434;Northern Peninsula
NL;NL435;Northern Peninsula
NL;NL436;Northern Peninsula
NL;NL437;Northern Peninsula
NL;NL438;Northern Peninsula
NL;TCHNL;South Coast
NL;NL1;South Coast
NL;NL360;South Coast
NL;NL361;South Coast
NL;NL362;South Coast
NL;NL363;South Coast
NL;NL364;South Coast
NL;NL365;South Coast
NL;NL408;South Coast
NL;NL470;South Coast
NL;NL480;South Coast
NL;TCHNL;Stephenville
NL;NL1;Stephenville
NL;NL402;Stephenville
NL;NL403;Stephenville
NL;NL404;Stephenville
NL;NL405;Stephenville
NL;NL406;Stephenville
NL;NL407;Stephenville
NL;NL460;Stephenville
NL;NL461;Stephenville
NL;NL462;Stephenville
NL;NL463;Stephenville
NL;NL480;Stephenville
NL;NL490;Stephenville
