region;route;county
NS;NS1;Annapolis
NS;NS8;Annapolis
NS;NS10;Annapolis
NS;NS101;Annapolis
NS;NS201;Annapolis
NS;NS221;Annapolis
NS;NS362;Annapolis
NS;NS4;Antagonish
NS;NS7;Antagonish
NS;NS16;Antagonish
NS;NS104;Antagonish
NS;NS245;Antagonish
NS;NS316;Antagonish
NS;NS337;Antagonish
NS;NS344;Antagonish
NS;TCHNS;Antagonish
NS;NS4;Cape Breton
NS;NS22;Cape Breton
NS;NS28;Cape Breton
NS;NS105;Cape Breton
NS;NS125;Cape Breton
NS;NS162;Cape Breton
NS;NS216;Cape Breton
NS;NS223;Cape Breton
NS;NS239;Cape Breton
NS;NS255;Cape Breton
NS;NS305;Cape Breton
NS;NS327;Cape Breton
NS;NS2;Colchester
NS;NS4;Colchester
NS;NS6;Colchester
NS;NS102;Colchester
NS;NS104;Colchester
NS;NS224;Colchester
NS;NS236;Colchester
NS;NS246;Colchester
NS;NS256;Colchester
NS;NS277;Colchester
NS;NS289;Colchester
NS;NS311;Colchester
NS;NS326;Colchester
NS;NS336;Colchester
NS;TCHNS;Colchester
NS;NS2;Cumberland
NS;NS4;Cumberland
NS;NS6;Cumberland
NS;NS104;Cumberland
NS;NS142;Cumberland
NS;NS204;Cumberland
NS;NS209;Cumberland
NS;NS242;Cumberland
NS;NS246;Cumberland
NS;NS301;Cumberland
NS;NS302;Cumberland
NS;NS307;Cumberland
NS;NS321;Cumberland
NS;NS366;Cumberland
NS;NS368;Cumberland
NS;TCHNS;Cumberland
NS;NS1;Digby
NS;NS101;Digby
NS;NS217;Digby
NS;NS303;Digby
NS;NS340;Digby
NS;NS4;Guysborough
NS;NS7;Guysborough
NS;NS16;Guysborough
NS;NS211;Guysborough
NS;NS276;Guysborough
NS;NS316;Guysborough
NS;NS344;Guysborough
NS;NS347;Guysborough
NS;NS348;Guysborough
NS;NS374;Guysborough
NS;NS1;Halifax
NS;NS2;Halifax
NS;NS3;Halifax
NS;NS7;Halifax
NS;NS101;Halifax
NS;NS102;Halifax
NS;NS103;Halifax
NS;NS107;Halifax
NS;NS111;Halifax
NS;NS118;Halifax
NS;NS207;Halifax
NS;NS212;Halifax
NS;NS213;Halifax
NS;NS224;Halifax
NS;NS253;Halifax
NS;NS277;Halifax
NS;NS306;Halifax
NS;NS318;Halifax
NS;NS322;Halifax
NS;NS328;Halifax
NS;NS333;Halifax
NS;NS336;Halifax
NS;NS349;Halifax
NS;NS349;Halifax
NS;NS354;Halifax
NS;NS357;Halifax
NS;NS374;Halifax
NS;NS1;Hants
NS;NS2;Hants
NS;NS14;Hants
NS;NS101;Hants
NS;NS102;Hants
NS;NS202;Hants
NS;NS214;Hants
NS;NS215;Hants
NS;NS236;Hants
NS;NS354;Hants
NS;NS4;Inverness
NS;NS19;Inverness
NS;NS105;Inverness
NS;NS219;Inverness
NS;NS223;Inverness
NS;NS252;Inverness
NS;NS395;Inverness
NS;TCHNS;Inverness
NS;NS1;Kings
NS;NS12;Kings
NS;NS101;Kings
NS;NS201;Kings
NS;NS221;Kings
NS;NS341;Kings
NS;NS358;Kings
NS;NS359;Kings
NS;NS360;Kings
NS;NS3;Lunenburg
NS;NS10;Lunenburg
NS;NS12;Lunenburg
NS;NS103;Lunenburg
NS;NS208;Lunenburg
NS;NS210;Lunenburg
NS;NS324;Lunenburg
NS;NS325;Lunenburg
NS;NS329;Lunenburg
NS;NS331;Lunenburg
NS;NS332;Lunenburg
NS;NS4;Pictou
NS;NS6;Pictou
NS;NS104;Pictou
NS;NS106;Pictou
NS;NS245;Pictou
NS;NS256;Pictou
NS;NS289;Pictou
NS;NS347;Pictou
NS;NS348;Pictou
NS;NS374;Pictou
NS;NS376;Pictou
NS;TCHNS;Pictou
NS;NS3;Queens
NS;NS8;Queens
NS;NS103;Queens
NS;NS208;Queens
NS;NS210;Queens
NS;NS331;Queens
NS;NS4;Richmond
NS;NS104;Richmond
NS;NS206;Richmond
NS;NS247;Richmond
NS;NS320;Richmond
NS;NS327;Richmond
NS;NS3;Shelburne
NS;NS103;Shelburne
NS;NS203;Shelburne
NS;NS309;Shelburne
NS;NS330;Shelburne
NS;NS105;Victoria
NS;NS205;Victoria
NS;NS223;Victoria
NS;NS312;Victoria
NS;NS1;Yarmouth
NS;NS3;Yarmouth
NS;NS101;Yarmouth
NS;NS103;Yarmouth
NS;NS203;Yarmouth
NS;NS304;Yarmouth
NS;NS308;Yarmouth
NS;NS334;Yarmouth
NS;NS335;Yarmouth
NS;NS340;Yarmouth
