region;route;county
OH;US52;Adams
OH;OH32;Adams
OH;OH41;Adams
OH;OH73;Adams
OH;OH125;Adams
OH;OH136;Adams
OH;OH137;Adams
OH;OH247;Adams
OH;OH348;Adams
OH;OH770;Adams
OH;OH781;Adams
OH;I-75;Allen
OH;US30;Allen
OH;OH12;Allen
OH;OH65;Allen
OH;OH66;Allen
OH;OH81;Allen
OH;OH103;Allen
OH;OH115;Allen
OH;OH117;Allen
OH;OH190;Allen
OH;OH196;Allen
OH;OH198;Allen
OH;OH309;Allen
OH;OH501;Allen
OH;OH696;Allen
OH;OH697;Allen
OH;I-71;Ashland
OH;US30;Ashland
OH;US42;Ashland
OH;US224;Ashland
OH;US250;Ashland
OH;OH3;Ashland
OH;OH39;Ashland
OH;OH58;Ashland
OH;OH60;Ashland
OH;OH89;Ashland
OH;OH95;Ashland
OH;OH96;Ashland
OH;OH97;Ashland
OH;OH179;Ashland
OH;OH302;Ashland
OH;OH430;Ashland
OH;OH511;Ashland
OH;OH603;Ashland
OH;OH604;Ashland
OH;I-90;Ashtabula
OH;US6;Ashtabula
OH;US20;Ashtabula
OH;US322;Ashtabula
OH;OH7;Ashtabula
OH;OH11;Ashtabula
OH;OH45;Ashtabula
OH;OH46;Ashtabula
OH;OH84;Ashtabula
OH;OH95;Ashtabula
OH;OH86;Ashtabula
OH;OH166;Ashtabula
OH;OH167;Ashtabula
OH;OH193;Ashtabula
OH;OH307;Ashtabula
OH;OH531;Ashtabula
OH;OH534;Ashtabula
OH;US33;Athens
OH;US50;Athens
OH;OH7;Athens
OH;OH13;Athens
OH;OH32;Athens
OH;OH56;Athens
OH;OH78;Athens
OH;OH124;Athens
OH;OH143;Athens
OH;OH144;Athens
OH;OH278;Athens
OH;OH329;Athens
OH;OH356;Athens
OH;OH377;Athens
OH;OH550;Athens
OH;OH681;Athens
OH;OH682;Athens
OH;OH685;Athens
OH;OH690;Athens
OH;OH691;Athens
OH;I-75;Auglaize
OH;US33;Auglaize
OH;OH29;Auglaize
OH;OH65;Auglaize
OH;OH66;Auglaize
OH;OH67;Auglaize
OH;OH116;Auglaize
OH;OH117;Auglaize
OH;OH119;Auglaize
OH;OH196;Auglaize
OH;OH197;Auglaize
OH;OH198;Auglaize
OH;OH219;Auglaize
OH;OH274;Auglaize
OH;OH362;Auglaize
OH;OH363;Auglaize
OH;OH364;Auglaize
OH;OH385;Auglaize
OH;OH501;Auglaize
OH;OH703;Auglaize
OH;OH720;Auglaize
OH;I-70;Belmont
OH;I-470;Belmont
OH;US40;Belmont
OH;US250;Belmont
OH;OH7;Belmont
OH;OH9;Belmont
OH;OH26;Belmont
OH;OH145;Belmont
OH;OH147;Belmont
OH;OH148;Belmont
OH;OH149;Belmont
OH;OH265;Belmont
OH;OH331;Belmont
OH;OH379;Belmont
OH;OH647;Belmont
OH;OH767;Belmont
OH;OH800;Belmont
OH;OH872;Belmont
OH;US50;Brown
OH;US52;Brown
OH;US62;Brown
OH;US68;Brown
OH;OH32;Brown
OH;OH41;Brown
OH;OH123;Brown
OH;OH125;Brown
OH;OH131;Brown
OH;OH134;Brown
OH;OH221;Brown
OH;OH251;Brown
OH;OH286;Brown
OH;OH353;Brown
OH;OH505;Brown
OH;OH756;Brown
OH;OH763;Brown
OH;OH774;Brown
OH;I-75;Butler
OH;US27;Butler
OH;US42;Butler
OH;US127;Butler
OH;OH4;Butler
OH;OH63;Butler
OH;OH73;Butler
OH;OH122;Butler
OH;OH126;Butler
OH;OH128;Butler
OH;OH129;Butler
OH;OH130;Butler
OH;OH177;Butler
OH;OH503;Butler
OH;OH732;Butler
OH;OH744;Butler
OH;OH747;Butler
OH;OH748;Butler
OH;OH9;Carroll
OH;OH39;Carroll
OH;OH43;Carroll
OH;OH164;Carroll
OH;OH171;Carroll
OH;OH183;Carroll
OH;OH212;Carroll
OH;OH332;Carroll
OH;OH524;Carroll
OH;OH542;Carroll
OH;OH644;Carroll
OH;US36;Champaign
OH;US68;Champaign
OH;OH4;Champaign
OH;OH29;Champaign
OH;OH54;Champaign
OH;OH55;Champaign
OH;OH56;Champaign
OH;OH161;Champaign
OH;OH187;Champaign
OH;OH235;Champaign
OH;OH245;Champaign
OH;OH296;Champaign
OH;OH507;Champaign
OH;OH559;Champaign
OH;OH560;Champaign
OH;OH814;Champaign
OH;I-70;Clark
OH;I-675;Clark
OH;US40;Clark
OH;US42;Clark
OH;US68;Clark
OH;OH4;Clark
OH;OH41;Clark
OH;OH54;Clark
OH;OH56;Clark
OH;OH72;Clark
OH;OH235;Clark
OH;OH334;Clark
OH;OH343;Clark
OH;OH369;Clark
OH;OH444;Clark
OH;OH571;Clark
OH;I-275;Clermont
OH;US50;Clermont
OH;US52;Clermont
OH;OH28;Clermont
OH;OH32;Clermont
OH;OH48;Clermont
OH;OH125;Clermont
OH;OH126;Clermont
OH;OH131;Clermont
OH;OH132;Clermont
OH;OH133;Clermont
OH;OH222;Clermont
OH;OH232;Clermont
OH;OH276;Clermont
OH;OH286;Clermont
OH;OH450;Clermont
OH;OH727;Clermont
OH;OH743;Clermont
OH;OH749;Clermont
OH;OH756;Clermont
OH;OH774;Clermont
OH;I-71;Clinton
OH;US22;Clinton
OH;US68;Clinton
OH;OH3;Clinton
OH;OH28;Clinton
OH;OH72;Clinton
OH;OH73;Clinton
OH;OH123;Clinton
OH;OH124;Clinton
OH;OH132;Clinton
OH;OH133;Clinton
OH;OH134;Clinton
OH;OH251;Clinton
OH;OH350;Clinton
OH;OH380;Clinton
OH;OH729;Clinton
OH;OH730;Clinton
OH;US30;Columbiana
OH;US62;Columbiana
OH;OH7;Columbiana
OH;OH9;Columbiana
OH;OH11;Columbiana
OH;OH14;Columbiana
OH;OH39;Columbiana
OH;OH45;Columbiana
OH;OH46;Columbiana
OH;OH154;Columbiana
OH;OH164;Columbiana
OH;OH165;Columbiana
OH;OH170;Columbiana
OH;OH172;Columbiana
OH;OH173;Columbiana
OH;OH267;Columbiana
OH;OH344;Columbiana
OH;OH517;Columbiana
OH;OH518;Columbiana
OH;OH558;Columbiana
OH;OH644;Columbiana
OH;US36;Coshocton
OH;OH16;Coshocton
OH;OH60;Coshocton
OH;OH79;Coshocton
OH;OH83;Coshocton
OH;OH93;Coshocton
OH;OH206;Coshocton
OH;OH229;Coshocton
OH;OH541;Coshocton
OH;OH621;Coshocton
OH;OH643;Coshocton
OH;OH651;Coshocton
OH;OH662;Coshocton
OH;OH715;Coshocton
OH;OH751;Coshocton
OH;US30;Crawford
OH;OH4;Crawford
OH;OH19;Crawford
OH;OH39;Crawford
