region;route;county
PA;US15;Adams
PA;US30;Adams
PA;PA16;Adams
PA;PA34;Adams
PA;PA94;Adams
PA;PA97;Adams
PA;PA116;Adams
PA;PA134;Adams
PA;PA194;Adams
PA;PA233;Adams
PA;PA234;Adams
PA;PA394;Adams
PA;I-76;Allegheny
PA;I-79;Allegheny
PA;I-279;Allegheny
PA;I-376;Allegheny
PA;I-579;Allegheny
PA;US19;Allegheny
PA;US22;Allegheny
PA;US30;Allegheny
PA;PA8;Allegheny
PA;PA28;Allegheny
PA;PA48;Allegheny
PA;PA50;Allegheny
PA;PA51;Allegheny
PA;PA60;Allegheny
PA;PA65;Allegheny
PA;PA88;Allegheny
PA;PA121;Allegheny
PA;PA130;Allegheny
PA;PA136;Allegheny
PA;PA148;Allegheny
PA;PA286;Allegheny
PA;PA356;Allegheny
PA;PA366;Allegheny
PA;PA380;Allegheny
PA;PA576;Allegheny
PA;PA791;Allegheny
PA;PA837;Allegheny
PA;PA885;Allegheny
PA;PA906;Allegheny
PA;PA910;Allegheny
PA;PA978;Allegheny
PA;PA980;Allegheny
PA;US422;Armstrong
PA;PA28;Armstrong
PA;PA56;Armstrong
PA;PA58;Armstrong
PA;PA66;Armstrong
PA;PA68;Armstrong
PA;PA85;Armstrong
PA;PA128;Armstrong
PA;PA156;Armstrong
PA;PA210;Armstrong
PA;PA268;Armstrong
PA;PA356;Armstrong
PA;PA368;Armstrong
PA;PA536;Armstrong
PA;PA839;Armstrong
PA;I-76;Beaver
PA;I-376;Beaver
PA;US30;Beaver
PA;PA18;Beaver
PA;PA51;Beaver
PA;PA65;Beaver
PA;PA68;Beaver
PA;PA151;Beaver
PA;PA168;Beaver
PA;PA251;Beaver
PA;PA288;Beaver
PA;PA351;Beaver
PA;PA551;Beaver
PA;PA588;Beaver
PA;PA989;Beaver
PA;I-70;Bedford
PA;I-76;Bedford
PA;I-99;Bedford
PA;US30;Bedford
PA;US220;Bedford
PA;PA26;Bedford
PA;PA31;Bedford
PA;PA36;Bedford
PA;PA56;Bedford
PA;PA96;Bedford
PA;PA164;Bedford
PA;PA326;Bedford
PA;PA866;Bedford
PA;PA867;Bedford
PA;PA868;Bedford
PA;PA869;Bedford
PA;PA913;Bedford
PA;PA915;Bedford
PA;I-76;Berks
PA;I-78;Berks
PA;I-176;Berks
PA;US22;Berks
PA;US222;Berks
PA;US422;Berks
PA;PA10;Berks
PA;PA12;Berks
PA;PA23;Berks
PA;PA29;Berks
PA;PA61;Berks
PA;PA73;Berks
PA;PA100;Berks
PA;PA143;Berks
PA;PA183;Berks
PA;PA272;Berks
PA;PA345;Berks
PA;PA401;Berks
PA;PA419;Berks
PA;PA501;Berks
PA;PA562;Berks
PA;PA563;Berks
PA;PA568;Berks
PA;PA625;Berks
PA;PA645;Berks
PA;PA662;Berks
PA;PA724;Berks
PA;PA737;Berks
PA;I-99;Blair
PA;US22;Blair
PA;US220;Blair
PA;PA36;Blair
PA;PA164;Blair
PA;PA350;Blair
PA;PA453;Blair
PA;PA550;Blair
PA;PA764;Blair
PA;PA865;Blair
PA;PA866;Blair
PA;PA867;Blair
PA;US6;Bradford
PA;US220;Bradford
PA;PA14;Bradford
PA;PA154;Bradford
PA;PA187;Bradford
PA;PA199;Bradford
PA;PA328;Bradford
PA;PA367;Bradford
PA;PA409;Bradford
PA;PA414;Bradford
PA;PA467;Bradford
PA;PA514;Bradford
PA;PA549;Bradford
PA;PA706;Bradford
PA;I-95;Bucks
PA;I-276;Bucks
