region;route;county
PE;PE2;Kings
PE;PE3;Kings
PE;PE4;Kings
PE;PE5;Kings
PE;PE16;Kings
PE;PE17;Kings
PE;PE17A;Kings
PE;PE18;Kings
PE;PE18A;Kings
PE;PE21;Kings
PE;PE22;Kings
PE;PE24;Kings
PE;PE201;Kings
PE;PE202;Kings
PE;PE204;Kings
PE;PE206;Kings
PE;PE210;Kings
PE;PE214;Kings
PE;PE218;Kings
PE;PE301;Kings
PE;PE302;Kings
PE;PE303;Kings
PE;PE304;Kings
PE;PE305;Kings
PE;PE306;Kings
PE;PE307;Kings
PE;PE308;Kings
PE;PE309;Kings
PE;PE310;Kings
PE;PE311;Kings
PE;PE312;Kings
PE;PE313;Kings
PE;PE314;Kings
PE;PE315;Kings
PE;PE316;Kings
PE;PE317;Kings
PE;PE318;Kings
PE;PE319;Kings
PE;PE320;Kings
PE;PE321;Kings
PE;PE322;Kings
PE;PE323;Kings
PE;PE324;Kings
PE;PE325;Kings
PE;PE326;Kings
PE;PE327;Kings
PE;PE328;Kings
PE;PE329;Kings
PE;PE330;Kings
PE;PE331;Kings
PE;PE332;Kings
PE;PE333;Kings
PE;PE334;Kings
PE;PE335;Kings
PE;PE336;Kings
PE;PE337;Kings
PE;PE338;Kings
PE;PE339;Kings
PE;PE340;Kings
PE;PE341;Kings
PE;PE342;Kings
PE;PE343;Kings
PE;PE344;Kings
PE;PE345;Kings
PE;PE347;Kings
PE;PE348;Kings
PE;PE349;Kings
PE;PE350;Kings
PE;PE351;Kings
PE;PE352;Kings
PE;PE353;Kings
PE;PE354;Kings
PE;PE355;Kings
PE;PE356;Kings
PE;PE357;Kings
PE;PE358;Kings
PE;PE16A;Kings
PE;TCHPE;Prince
PE;PE1;Prince
PE;PE2;Prince
PE;PE6;Prince
PE;PE8;Prince
PE;PE10;Prince
PE;PE11;Prince
PE;PE12;Prince
PE;PE14;Prince
PE;PE20;Prince
PE;PE101;Prince
PE;PE102;Prince
PE;PE103;Prince
PE;PE104;Prince
PE;PE105;Prince
PE;PE106;Prince
PE;PE107;Prince
PE;PE108;Prince
PE;PE109;Prince
PE;PE110;Prince
PE;PE111;Prince
PE;PE112;Prince
PE;PE113;Prince
PE;PE114;Prince
PE;PE115;Prince
PE;PE116;Prince
PE;PE117;Prince
PE;PE118;Prince
PE;PE119;Prince
PE;PE120;Prince
PE;PE121;Prince
PE;PE122;Prince
PE;PE123;Prince
PE;PE124;Prince
PE;PE125;Prince
PE;PE126;Prince
PE;PE127;Prince
PE;PE128;Prince
PE;PE129;Prince
PE;PE130;Prince
PE;PE131;Prince
PE;PE132;Prince
PE;PE133;Prince
PE;PE134;Prince
PE;PE135;Prince
PE;PE136;Prince
