region;route;county
PR;PR10;Adjuntas
PR;PR123;Adjuntas
PR;PR129;Adjuntas
PR;PR131;Adjuntas
PR;PR135;Adjuntas
PR;PR139;Adjuntas
PR;PR143;Adjuntas
PR;PR388;Adjuntas
PR;PR518;Adjuntas
PR;PR521;Adjuntas
PR;PR522;Adjuntas
PR;PR523;Adjuntas
PR;PR524;Adjuntas
PR;PR525;Adjuntas
PR;PR526;Adjuntas
PR;PR529;Adjuntas
PR;PR548;Adjuntas
PR;PR5503;Adjuntas
PR;PR5516;Adjuntas
PR;PR5518;Adjuntas
PR;PR5521;Adjuntas
PR;PR5525;Adjuntas
PR;PR6603;Adjuntas
PR;PR2;Aguada
PR;PR110;Aguada
PR;PR115;Aguada
PR;PR403;Aguada
PR;PR411;Aguada
PR;PR414;Aguada
PR;PR416;Aguada
PR;PR417;Aguada
PR;PR418;Aguada
PR;PR419;Aguada
PR;PR439;Aguada
PR;PR441;Aguada
PR;PR442;Aguada
PR;PR4411;Aguada
PR;PR4412;Aguada
PR;PR4415;Aguada
PR;PR4416;Aguada
PR;PR4417;Aguada
PR;PR4418;Aguada
PR;PR4421;Aguada
PR;PR4439;Aguada
PR;PR4441;Aguada
PR;PR2;Aguadilla
PR;PR107;Aguadilla
PR;PR110;Aguadilla
PR;PR111;Aguadilla
PR;PR115;Aguadilla
PR;PR125;Aguadilla
PR;PR418;Aguadilla
PR;PR440;Aguadilla
PR;PR443;Aguadilla
PR;PR458;Aguadilla
PR;PR459;Aguadilla
PR;PR460;Aguadilla
PR;PR461;Aguadilla
PR;PR462;Aguadilla
PR;PR463;Aguadilla
PR;PR465;Aguadilla
PR;PR466;Aguadilla
PR;PR467;Aguadilla
PR;PR468;Aguadilla
PR;PR469;Aguadilla
PR;PR471;Aguadilla
PR;PR472;Aguadilla
PR;PR1107;Aguadilla
PR;PR4010;Aguadilla
PR;PR4110;Aguadilla
PR;PR4439;Aguadilla
PR;PR4440;Aguadilla
PR;PR4442;Aguadilla
PR;PR4443;Aguadilla
PR;PR4458;Aguadilla
PR;PR4466;Aguadilla
PR;PR4467;Aguadilla
PR;PR156;Aguas Buenas
PR;PR173;Aguas Buenas
PR;PR174;Aguas Buenas
PR;PR777;Aguas Buenas
PR;PR790;Aguas Buenas
PR;PR792;Aguas Buenas
PR;PR793;Aguas Buenas
PR;PR794;Aguas Buenas
PR;PR795;Aguas Buenas
PR;PR797;Aguas Buenas
PR;PR7090;Aguas Buenas
PR;PR7156;Aguas Buenas
PR;PR7173;Aguas Buenas
PR;PR7790;Aguas Buenas
PR;PR14;Aibonito
