region;route;county
RI;RI103;Bristol
RI;RI114;Bristol
RI;RI136;Bristol
RI;I-95;Kent
RI;I-295;Kent
RI;US1;Kent
RI;RI2;Kent
RI;RI3;Kent
RI;RI4;Kent
RI;RI5;Kent
RI;RI14;Kent
RI;RI33;Kent
RI;RI37;Kent
RI;RI51;Kent
RI;RI102;Kent
RI;RI113;Kent
RI;RI115;Kent
RI;RI117;Kent
RI;RI118;Kent
RI;RI401;Kent
RI;RI402;Kent
RI;RI403;Kent
RI;RI24;Newport
RI;RI77;Newport
RI;RI81;Newport
RI;RI114;Newport
RI;RI138;Newport
RI;RI177;Newport
RI;RI179;Newport
RI;RI214;Newport
RI;RI238;Newport
RI;I-95;Providence
RI;I-195;Providence
RI;I-295;Providence
RI;US1;Providence
RI;US6;Providence
RI;US44;Providence
RI;RI2;Providence
RI;RI5;Providence
RI;RI7;Providence
RI;RI10;Providence
RI;RI12;Providence
RI;RI14;Providence
RI;RI15;Providence
RI;RI33;Providence
RI;RI37;Providence
RI;RI51;Providence
RI;RI94;Providence
RI;RI96;Providence
RI;RI98;Providence
RI;RI99;Providence
RI;RI100;Providence
RI;RI101;Providence
RI;RI102;Providence
RI;RI103;Providence
RI;RI104;Providence
RI;RI107;Providence
RI;RI114;Providence
RI;RI114A;Providence
RI;RI115;Providence
RI;RI116;Providence
RI;RI117;Providence
RI;RI120;Providence
RI;RI121;Providence
RI;RI122;Providence
RI;RI123;Providence
RI;RI126;Providence
RI;RI128;Providence
RI;RI146;Providence
RI;RI146A;Providence
RI;RI152;Providence
RI;RI246;Providence
RI;I-95;Washington
RI;US1;Washington
RI;RI1A;Washington
RI;RI2;Washington
RI;RI3;Washington
RI;RI4;Washington
RI;RI78;Washington
RI;RI91;Washington
RI;RI102;Washington
RI;RI108;Washington
RI;RI110;Washington
RI;RI112;Washington
RI;RI138;Washington
RI;RI165;Washington
RI;RI216;Washington
RI;RI402;Washington
RI;RI403;Washington
