region;route;county
SD;I-90;Aurora
SD;US281;Aurora
SD;SD42;Aurora
SD;US14;Beadle
SD;US281;Beadle
SD;SD37;Beadle
SD;US18;Bennett
SD;SD73;Bennett
SD;SD25;Bon Homme
SD;SD37;Bon Homme
SD;SD46;Bon Homme
SD;SD50;Bon Homme
SD;SD52;Bon Homme
SD;I-29;Brookings
SD;US14;Brookings
SD;US81;Brookings
SD;SD13;Brookings
SD;SD30;Brookings
SD;SD324;Brookings
SD;US12;Brown
SD;US281;Brown
SD;SD10;Brown
SD;SD37;Brown
SD;I-90;Brule
SD;SD45;Brule
SD;SD50;Brule
SD;SD34;Buffalo
SD;SD45;Buffalo
SD;SD47;Buffalo
SD;SD50;Buffalo
SD;US85;Butte
SD;US212;Butte
SD;SD34;Butte
SD;SD79;Butte
SD;SD168;Butte
SD;US83;Campbell
SD;SD10;Campbell
SD;SD271;Campbell
SD;SD1804;Campbell
SD;US18;Charles Mix
SD;US281;Charles Mix
SD;SD44;Charles Mix
SD;SD45;Charles Mix
SD;SD46;Charles Mix
SD;SD50;Charles Mix
SD;SD1804;Charles Mix
SD;US212;Clark
SD;SD20;Clark
SD;SD25;Clark
SD;SD28;Clark
SD;SD19;Clay
SD;SD46;Clay
SD;SD50;Clay
SD;I-29;Codington
SD;US81;Codington
SD;US212;Codington
SD;SD20;Codington
SD;US12;Corson
SD;SD20;Corson
SD;SD63;Corson
SD;SD65;Corson
SD;SD73;Corson
SD;SD1806;Corson
SD;US16;Custer
SD;US385;Custer
SD;SD36;Custer
SD;SD40;Custer
SD;SD79;Custer
SD;SD87;Custer
SD;SD89;Custer
SD;I-90;Davison
SD;SD37;Davison
SD;SD38;Davison
SD;SD42;Davison
SD;US12;Day
SD;SD25;Day
SD;SD27;Day
SD;I-29;Deuel
SD;US212;Deuel
SD;SD15;Deuel
SD;SD22;Deuel
SD;SD28;Deuel
SD;SD101;Deuel
SD;US212;Dewey
SD;SD20;Dewey
SD;SD63;Dewey
SD;SD65;Dewey
SD;US18;Douglas
SD;US281;Douglas
SD;SD44;Douglas
SD;US12;Edmunds
SD;SD45;Edmunds
SD;SD47;Edmunds
SD;SD247;Edmunds
SD;SD253;Edmunds
SD;US18;Fall River
SD;US385;Fall River
SD;SD71;Fall River
SD;SD79;Fall River
SD;SD89;Fall River
SD;SD471;Fall River
SD;US212;Faulk
SD;SD20;Faulk
SD;SD45;Faulk
SD;SD47;Faulk
SD;I-29;Grant
SD;US12;Grant
SD;US81;Grant
SD;SD15;Grant
SD;SD20;Grant
SD;SD109;Grant
SD;SD123;Grant
SD;SD158;Grant
SD;US18;Gregory
SD;US281;Gregory
SD;SD43;Gregory
SD;SD44;Gregory
SD;SD47;Gregory
SD;SD1806;Gregory
SD;US14;Haakon
SD;SD34;Haakon
SD;SD63;Haakon
SD;SD73;Haakon
SD;I-29;Hamlin
SD;US81;Hamlin
SD;SD21;Hamlin
SD;SD22;Hamlin
SD;SD28;Hamlin
SD;US14;Hand
SD;US212;Hand
SD;SD26;Hand
SD;SD45;Hand
SD;I-90;Hanson
SD;SD25;Hanson
SD;SD38;Hanson
SD;SD42;Hanson
SD;SD262;Hanson
SD;US85;Harding
SD;SD20;Harding
SD;SD79;Harding
SD;US14;Hughes
SD;US83;Hughes
SD;SD34;Hughes
SD;SD204;Hughes
SD;SD1804;Hughes
SD;SD1889;Hughes
SD;US18;Hutchinson
SD;US81;Hutchinson
SD;SD25;Hutchinson
SD;SD37;Hutchinson
SD;SD44;Hutchinson
SD;US14;Hyde
SD;SD26;Hyde
SD;SD34;Hyde
SD;SD47;Hyde
SD;I-90;Jackson
SD;US14;Jackson
SD;SD44;Jackson
SD;SD63;Jackson
SD;SD73;Jackson
SD;SD240;Jackson
SD;SD377;Jackson
SD;US281;Jerauld
SD;SD34;Jerauld
SD;SD224;Jerauld
SD;I-90;Jones
SD;US83;Jones
SD;US14;Kingsbury
SD;US81;Kingsbury
SD;SD25;Kingsbury
SD;US81;Lake
SD;SD19;Lake
SD;SD34;Lake
SD;I-90;Lawrence
SD;US14;Lawrence
SD;US85;Lawrence
SD;US385;Lawrence
SD;SD34;Lawrence
SD;I-29;Lincoln
SD;I-229;Lincoln
SD;US18;Lincoln
SD;SD11;Lincoln
SD;SD44;Lincoln
SD;SD46;Lincoln
SD;SD115;Lincoln
SD;I-90;Lyman
