region;route;county
SK;SK5;Aberdeen
SK;SK27;Aberdeen
SK;SK41;Aberdeen
SK;SK784;Aberdeen
SK;SK785;Aberdeen
SK;SK10;Abernathy
SK;SK22;Abernathy
SK;SK56;Abernathy
SK;SK310;Abernathy
SK;SK619;Abernathy
SK;SK51;Antelope Park
SK;SK317;Antelope Park
SK;SK772;Antelope Park
SK;SK8;Antler
SK;SK13;Antler
SK;SK600;Antler
SK;SK601;Antler
SK;SK23;Arborfield
SK;SK335;Arborfield
SK;SK690;Arborfield
SK;SK8;Argyle
SK;SK18;Argyle
SK;SK600;Argyle
SK;SK13;Arlington
SK;SK613;Arlington
SK;SK633;Arlington
SK;SK724;Arlington
SK;SK11;Arm River
SK;SK44;Arm River
SK;SK653;Arm River
SK;SK747;Arm River
SK;SK749;Arm River
SK;SK13;Auvergne
SK;SK609;Auvergne
SK;SK628;Auvergne
SK;SK2;Baildon
SK;SK36;Baildon
SK;SK716;Baildon
SK;SK35;Barrier Valley
SK;SK349;Barrier Valley
SK;SK640;Barrier Valley
SK;SK652;Barrier Valley
SK;SK773;Barrier Valley
SK;TCHSK;Battle River
SK;SK4;Battle River
SK;SK16;Battle River
SK;SK29;Battle River
SK;SK40;Battle River
SK;SK658;Battle River
SK;SK2;Bayne
SK;SK5;Bayne
SK;SK27;Bayne
SK;SK670;Bayne
SK;SK756;Bayne
SK;SK21;Beaver River
SK;SK26;Beaver River
SK;SK55;Beaver River
SK;SK224;Beaver River
SK;SK779;Beaver River
SK;SK919;Beaver River
SK;SK950;Beaver River
SK;SK954;Beaver River
SK;SK34;Bengough
SK;SK705;Bengough
SK;SK39;Benson
SK;SK47;Benson
SK;SK361;Benson
SK;SK705;Benson
SK;SK2;Big Arm
SK;SK747;Big Arm
SK;SK749;Big Arm
SK;TCHSK;Big Quill
SK;SK6;Big Quill
SK;SK16;Big Quill
SK;SK640;Big Quill
SK;SK24;Big River
SK;SK55;Big River
SK;SK922;Big River
SK;SK940;Big River
SK;SK942;Big River
SK;SK943;Big River
SK;SK945;Big River
SK;SK946;Big River
SK;SK21;Big Stick
SK;SK728;Big Stick
SK;SK4;Biggar
SK;SK15;Biggar
SK;SK51;Biggar
SK;SK656;Biggar
SK;SK2;Birch Hills
SK;SK3;Birch Hills
SK;SK20;Birch Hills
SK;SK25;Birch Hills
SK;SK3;Bjorkdale
SK;SK23;Bjorkdale
SK;SK38;Bjorkdale
SK;SK678;Bjorkdale
SK;SK679;Bjorkdale
SK;SK773;Bjorkdale
SK;SK776;Bjorkdale
SK;SK12;Blaine Lake
SK;SK40;Blaine Lake
SK;SK781;Blaine Lake
SK;SK786;Blaine Lake
SK;TCHSK;Blucher
SK;SK5;Blucher
SK;SK16;Blucher
SK;SK316;Blucher
SK;SK394;Blucher
SK;SK397;Blucher
SK;SK763;Blucher
SK;SK764;Blucher
SK;SK13;Bone Creek
SK;SK37;Bone Creek
SK;SK343;Bone Creek
SK;SK631;Bone Creek
SK;SK724;Bone Creek
SK;SK6;Bratts Lake
SK;SK39;Bratts Lake
SK;SK306;Bratts Lake
SK;SK334;Bratts Lake
SK;SK714;Bratts Lake
SK;TCHSK;Britannia
SK;SK3;Britannia
SK;SK16;Britannia
SK;SK17;Britannia
SK;SK303;Britannia
SK;SK675;Britannia
SK;SK684;Britannia
SK;SK774;Britannia
SK;SK798;Britannia
SK;SK13;Brock
SK;SK604;Brock
SK;SK605;Brock
SK;SK13;Brokenshell
SK;SK28;Brokenshell
SK;SK39;Brokenshell
SK;SK621;Brokenshell
SK;SK361;Browning
SK;SK604;Browning
SK;SK605;Browning
SK;SK5;Buchanan
SK;SK9;Buchanan
SK;SK47;Buchanan
SK;SK664;Buchanan
SK;SK754;Buchanan
SK;SK2;Buckland
SK;SK3;Buckland
SK;SK55;Buckland
SK;SK355;Buckland
SK;SK780;Buckland
SK;SK4;Buffalo
SK;SK14;Buffalo
SK;SK29;Buffalo
SK;SK658;Buffalo
SK;SK784;Buffalo
SK;SK787;Buffalo
SK;SK8;Calder
SK;SK10;Calder
SK;SK80;Calder
SK;SK369;Calder
SK;SK726;Calder
SK;SK6;Caledonia
SK;SK39;Caledonia
SK;SK334;Caledonia
SK;SK18;Cambria
SK;SK350;Cambria
SK;SK606;Cambria
SK;SK9;Cana
SK;SK10;Cana
SK;SK15;Cana
SK;SK47;Cana
SK;SK605;Cana
SK;SK740;Cana
SK;SK42;Canaan
SK;SK45;Canaan
SK;SK373;Canaan
SK;SK646;Canaan
SK;SK737;Canaan
SK;SK3;Canwood
SK;SK40;Canwood
SK;SK55;Canwood
SK;SK694;Canwood
SK;SK695;Canwood
SK;SK790;Canwood
SK;SK793;Canwood
SK;SK37;Carmichael
SK;SK633;Carmichael
SK;TCHSK;Caron
SK;SK1;Caron
SK;SK363;Caron
SK;SK643;Caron
SK;SK735;Caron
SK;TCHSK;Chaplin
SK;SK1;Chaplin
SK;SK19;Chaplin
SK;SK58;Chaplin
SK;SK47;Chester
SK;SK48;Chester
SK;SK616;Chester
SK;SK21;Chesterfield
SK;SK44;Chesterfield
SK;SK635;Chesterfield
SK;SK741;Chesterfield
SK;TCHSK;Churchbridge
SK;SK8;Churchbridge
SK;SK16;Churchbridge
SK;SK80;Churchbridge
SK;SK381;Churchbridge
SK;SK636;Churchbridge
SK;SK725;Churchbridge
SK;SK8;Clayton
SK;SK9;Clayton
SK;SK49;Clayton
SK;SK650;Clayton
SK;SK662;Clayton
SK;SK753;Clayton
SK;SK982;Clayton
SK;SK32;Clinworth
SK;SK649;Clinworth
SK;SK18;Coalfields
SK;SK39;Coalfields
SK;SK604;Coalfields
SK;SK605;Coalfields
SK;SK703;Coalfields
SK;SK704;Coalfields
SK;TCHSK;Colonsay
SK;SK2;Colonsay
SK;SK5;Colonsay
SK;SK16;Colonsay
SK;SK35;Connaught
SK;SK335;Connaught
SK;TCHSK;Corman Park
SK;SK5;Corman Park
SK;SK7;Corman Park
SK;SK11;Corman Park
SK;SK12;Corman Park
SK;SK14;Corman Park
SK;SK16;Corman Park
SK;SK41;Corman Park
SK;SK60;Corman Park
SK;SK219;Corman Park
SK;SK305;Corman Park
SK;SK376;Corman Park
SK;SK394;Corman Park
SK;SK663;Corman Park
SK;SK672;Corman Park
SK;SK684;Corman Park
SK;SK762;Corman Park
SK;SK784;Corman Park
SK;SK5;Cote
SK;SK8;Cote
SK;SK57;Cote
SK;SK357;Cote
SK;SK369;Cote
SK;SK44;Coteau
SK;SK45;Coteau
SK;SK373;Coteau
SK;SK646;Coteau
SK;SK363;Coulee
SK;SK379;Coulee
SK;SK720;Coulee
SK;SK721;Coulee
SK;SK11;Craik
SK;SK643;Craik
SK;SK732;Craik
SK;SK6;Cupar
SK;SK22;Cupar
SK;SK640;Cupar
SK;SK731;Cupar
SK;SK21;Cut Knife
SK;SK40;Cut Knife
SK;SK674;Cut Knife
SK;SK39;Cymri
SK;SK606;Cymri
SK;SK702;Cymri
SK;SK705;Cymri
SK;SK321;Deer Forks
SK;SK635;Deer Forks
SK;SK741;Deer Forks
SK;SK40;Douglas
SK;SK376;Douglas
SK;SK378;Douglas
SK;SK11;Duck Lake
SK;SK212;Duck Lake
SK;SK302;Duck Lake
SK;SK783;Duck Lake
SK;SK2;Dufferin
SK;SK11;Dufferin
SK;SK354;Dufferin
SK;SK642;Dufferin
SK;SK11;Dundurn
SK;SK211;Dundurn
SK;SK219;Dundurn
SK;SK663;Dundurn
SK;SK376;Eagle Creek
SK;SK655;Eagle Creek
SK;SK784;Eagle Creek
SK;TCHSK;Edenwold
SK;SK1;Edenwold
SK;SK10;Edenwold
SK;SK33;Edenwold
SK;SK46;Edenwold
SK;SK48;Edenwold
SK;SK364;Edenwold
SK;SK622;Edenwold
SK;SK624;Edenwold
SK;SK640;Edenwold
SK;SK729;Edenwold
SK;SK734;Edenwold
SK;TCHSK;Elcapo
SK;SK1;Elcapo
SK;SK47;Elcapo
SK;SK201;Elcapo
SK;SK605;Elcapo
SK;SK616;Elcapo
SK;TCHSK;Eldon
SK;SK16;Eldon
SK;SK21;Eldon
SK;SK303;Eldon
SK;SK684;Eldon
SK;TCHSK;Elfros
SK;SK16;Elfros
SK;SK35;Elfros
SK;SK639;Elfros
SK;SK334;Elmsthorpe
SK;SK339;Elmsthorpe
SK;SK623;Elmsthorpe
SK;SK715;Elmsthorpe
SK;SK35;Emerald
SK;SK639;Emerald
SK;SK743;Emerald
SK;SK19;Enfield
SK;SK42;Enfield
SK;SK644;Enfield
SK;SK9;Enniskillen
SK;SK18;Enniskillen
SK;SK603;Enniskillen
SK;SK371;Enterprise
SK;SK635;Enterprise
SK;SK728;Enterprise
SK;SK18;Estevan
SK;SK39;Estevan
SK;SK47;Estevan
SK;SK703;Estevan
SK;SK704;Estevan
SK;SK13;Excel
SK;SK36;Excel
SK;SK624;Excel
SK;SK717;Excel
SK;TCHSK;Excelsior
SK;SK1;Excelsior
SK;SK628;Excelsior
SK;SK645;Excelsior
SK;SK738;Excelsior
SK;SK14;Eye Hill
SK;SK17;Eye Hill
SK;SK31;Eye Hill
SK;SK317;Eye Hill
SK;SK676;Eye Hill
SK;SK42;Eyebrow
SK;SK367;Eyebrow
SK;SK627;Eyebrow
SK;SK9;Fertile Belt
SK;SK22;Fertile Belt
SK;SK80;Fertile Belt
SK;SK247;Fertile Belt
SK;SK637;Fertile Belt
SK;SK15;Fertile Valley
SK;SK44;Fertile Valley
SK;SK45;Fertile Valley
SK;SK654;Fertile Valley
SK;SK33;Fillmore
SK;SK606;Fillmore
SK;SK711;Fillmore
SK;SK742;Fillmore
SK;SK2;Fish Creek
SK;SK41;Fish Creek
SK;SK225;Fish Creek
SK;SK312;Fish Creek
SK;SK3;Fletts Springs
SK;SK6;Fletts Springs
SK;SK41;Fletts Springs
SK;SK368;Fletts Springs
SK;TCHSK;Foam Lake
SK;SK16;Foam Lake
SK;SK310;Foam Lake
SK;SK743;Foam Lake
SK;SK21;Fox Valley
SK;SK371;Fox Valley
SK;SK33;Francis
SK;SK35;Francis
SK;SK48;Francis
SK;SK620;Francis
SK;SK3;Frenchman Butte
SK;SK17;Frenchman Butte
SK;SK21;Frenchman Butte
SK;SK26;Frenchman Butte
SK;SK303;Frenchman Butte
SK;SK795;Frenchman Butte
SK;SK797;Frenchman Butte
SK;SK18;Frontier
SK;SK613;Frontier
SK;SK614;Frontier
SK;SK55;Garden River
SK;SK120;Garden River
SK;SK355;Garden River
SK;SK780;Garden River
SK;SK52;Garry
SK;SK617;Garry
SK;SK651;Garry
SK;SK19;Glen Bain
SK;SK43;Glen Bain
SK;SK18;Glen McPherson
SK;SK628;Glen McPherson
SK;SK4;Glenside
SK;SK784;Glenside
SK;SK47;Golden West
SK;SK616;Golden West
SK;SK711;Golden West
SK;SK5;Good Lake
SK;SK9;Good Lake
SK;SK47;Good Lake
SK;SK229;Good Lake
SK;SK650;Good Lake
SK;SK651;Good Lake
SK;SK726;Good Lake
SK;SK51;Grandview
SK;SK656;Grandview
SK;SK657;Grandview
SK;SK5;Grant
SK;SK27;Grant
SK;SK41;Grant
SK;SK671;Grant
SK;SK767;Grant
SK;SK14;Grass Lake
SK;SK21;Grass Lake
SK;SK31;Grass Lake
SK;SK675;Grass Lake
SK;SK13;Grassy Creek
SK;SK37;Grassy Creek
SK;SK722;Grassy Creek
SK;SK43;Gravelbourg
SK;SK58;Gravelbourg
SK;SK610;Gravelbourg
SK;SK718;Gravelbourg
SK;SK9;Grayson
SK;SK22;Grayson
SK;SK47;Grayson
SK;SK201;Grayson
SK;SK247;Grayson
SK;SK605;Grayson
SK;SK638;Grayson
SK;TCHSK;Great Bend
SK;SK16;Great Bend
SK;SK340;Great Bend
SK;SK685;Great Bend
SK;SK13;Griffin
SK;SK33;Griffin
SK;SK39;Griffin
SK;SK606;Griffin
SK;TCHSK;Gull Lake
SK;SK1;Gull Lake
SK;SK37;Gull Lake
SK;SK631;Gull Lake
SK;SK633;Gull Lake
SK;SK728;Gull Lake
SK;SK18;Happy Valley
SK;SK34;Happy Valley
SK;SK21;Happyland
SK;SK32;Happyland
SK;SK321;Happyland
SK;SK741;Happyland
SK;SK7;Harris
SK;SK655;Harris
SK;SK768;Harris
SK;SK18;Hart Butte
SK;SK36;Hart Butte
SK;SK602;Hart Butte
SK;SK49;Hazel Dell
SK;SK617;Hazel Dell
SK;SK755;Hazel Dell
SK;SK48;Hazelwood
SK;SK605;Hazelwood
SK;SK711;Hazelwood
SK;SK51;Hearts Hill
SK;SK317;Hearts Hill
SK;SK676;Hearts Hill
SK;SK771;Hearts Hill
SK;SK363;Hillsborough
SK;SK21;Hillsdale
SK;SK40;Hillsdale
SK;SK675;Hillsdale
SK;SK2;Hoodoo
SK;SK41;Hoodoo
SK;SK767;Hoodoo
SK;SK777;Hoodoo
SK;SK3;Hudson Bay
SK;SK9;Hudson Bay
SK;SK23;Hudson Bay
SK;SK55;Hudson Bay
SK;SK980;Hudson Bay
SK;SK982;Hudson Bay
SK;SK983;Hudson Bay
SK;SK5;Humboldt
SK;SK20;Humboldt
SK;SK669;Humboldt
SK;SK756;Humboldt
SK;SK777;Humboldt
SK;SK19;Huron
SK;SK367;Huron
SK;SK627;Huron
SK;SK732;Huron
SK;TCHSK;Indian Head
SK;SK1;Indian Head
SK;SK56;Indian Head
SK;SK606;Indian Head
SK;SK619;Indian Head
SK;TCHSK;Insinger
SK;SK16;Insinger
SK;SK617;Insinger
SK;SK651;Insinger
SK;SK726;Insinger
SK;SK746;Insinger
SK;SK3;Invergordon
SK;SK20;Invergordon
SK;SK41;Invergordon
SK;SK320;Invergordon
SK;SK778;Invergordon
SK;SK5;Invermay
SK;SK617;Invermay
SK;SK754;Invermay
SK;SK15;Ituna Bon Accord
SK;SK52;Ituna Bon Accord
SK;SK310;Ituna Bon Accord
SK;SK731;Ituna Bon Accord
SK;SK15;Kellross
SK;SK35;Kellross
SK;SK639;Kellross
SK;SK731;Kellross
SK;SK38;Kelvington
SK;SK49;Kelvington
SK;SK349;Kelvington
SK;SK679;Kelvington
SK;SK756;Kelvington
SK;SK13;Key West
SK;SK34;Key West
SK;SK334;Key West
SK;SK623;Key West
SK;SK717;Key West
SK;SK8;Keys
SK;SK9;Keys
SK;SK49;Keys
SK;SK637;Keys
SK;SK754;Keys
SK;SK7;Kindersley
SK;SK21;Kindersley
SK;SK30;Kindersley
SK;SK307;Kindersley
SK;SK657;Kindersley
SK;SK658;Kindersley
SK;SK42;King George
SK;SK664;King George
SK;SK751;King George
SK;SK48;Kingsley
SK;SK605;Kingsley
SK;SK709;Kingsley
SK;SK3;Kinistino
SK;SK6;Kinistino
SK;SK682;Kinistino
SK;SK778;Kinistino
SK;SK789;Kinistino
SK;SK4;Lac Pelletier
SK;SK43;Lac Pelletier
SK;SK343;Lac Pelletier
SK;SK630;Lac Pelletier
SK;SK4;Lacadena
SK;SK342;Lacadena
SK;SK647;Lacadena
SK;SK12;Laird
SK;SK312;Laird
SK;SK785;Laird
SK;SK33;Lajord
SK;SK48;Lajord
SK;SK306;Lajord
SK;SK621;Lajord
SK;SK622;Lajord
SK;SK18;Lake Alma
SK;SK28;Lake Alma
SK;SK707;Lake Alma
SK;SK2;Lake Johnston
SK;SK715;Lake Johnston
SK;SK718;Lake Johnston
SK;SK368;Lake Lenore
SK;SK777;Lake Lenore
SK;SK2;Lake of the Rivers
SK;SK13;Lake of the Rivers
