region;route;county
TN;I-75;Anderson
TN;US25W;Anderson
TN;US441;Anderson
TN;TN61;Anderson
TN;TN62;Anderson
TN;TN71;Anderson
TN;TN95;Anderson
TN;TN116;Anderson
TN;TN170;Anderson
TN;TN330;Anderson
TN;I-24;Bedford
TN;US231;Bedford
TN;TN10;Bedford
TN;TN16;Bedford
TN;TN64;Bedford
TN;TN82;Bedford
TN;TN130;Bedford
TN;TN269;Bedford
TN;TN270;Bedford
TN;TN276;Bedford
TN;TN437;Bedford
TN;I-40;Benton
TN;US70;Benton
TN;US641;Benton
TN;TN69;Benton
TN;TN147;Benton
TN;TN191;Benton
TN;TN192;Benton
TN;US127;Bledsoe
TN;TN30;Bledsoe
TN;TN101;Bledsoe
TN;TN284;Bledsoe
TN;TN285;Bledsoe
TN;TN301;Bledsoe
TN;TN443;Bledsoe
TN;I-140;Blount
TN;US129;Blount
TN;US321;Blount
TN;US411;Blount
TN;US441;Blount
TN;TN35;Blount
TN;TN71;Blount
TN;TN72;Blount
TN;TN73;Blount
TN;TN162;Blount
TN;TN333;Blount
TN;TN334;Blount
TN;TN335;Blount
TN;TN336;Blount
TN;TN446;Blount
TN;TN447;Blount
TN;I-75;Bradley
TN;US11;Bradley
TN;US64;Bradley
TN;US74;Bradley
TN;TN60;Bradley
TN;TN74;Bradley
TN;TN306;Bradley
TN;TN308;Bradley
TN;TN312;Bradley
TN;TN313;Bradley
TN;TN317;Bradley
TN;I-75;Campbell
TN;US25W;Campbell
TN;US441;Campbell
TN;TN63;Campbell
TN;TN71;Campbell
TN;TN90;Campbell
TN;TN116;Campbell
TN;TN297;Campbell
TN;US70S;Cannon
TN;TN53;Cannon
TN;TN64;Cannon
TN;TN96;Cannon
TN;TN99;Cannon
TN;TN145;Cannon
TN;TN146;Cannon
TN;TN281;Cannon
TN;I-40;Carroll
TN;US70;Carroll
TN;US79;Carroll
TN;TN22;Carroll
TN;TN76;Carroll
TN;TN77;Carroll
TN;TN104;Carroll
TN;TN105;Carroll
TN;TN114;Carroll
TN;TN124;Carroll
TN;TN190;Carroll
TN;TN219;Carroll
TN;TN220;Carroll
TN;TN423;Carroll
TN;TN424;Carroll
TN;TN436;Carroll
TN;I-26;Carter
TN;US19E;Carter
TN;US19W;Carter
TN;US23;Carter
TN;US321;Carter
TN;TN67;Carter
TN;TN91;Carter
TN;TN143;Carter
TN;TN173;Carter
TN;TN359;Carter
TN;TN361;Carter
TN;TN362;Carter
TN;TN400;Carter
TN;I-24;Cheatham
TN;I-40;Cheatham
TN;US70;Cheatham
TN;TN12;Cheatham
TN;TN49;Cheatham
TN;TN249;Cheatham
TN;TN250;Cheatham
TN;TN251;Cheatham
TN;TN256;Cheatham
TN;TN455;Cheatham
TN;US45;Chester
TN;TN22;Chester
TN;TN100;Chester
TN;TN125;Chester
TN;TN197;Chester
TN;TN200;Chester
TN;TN201;Chester
TN;TN224;Chester
TN;TN225;Chester
TN;TN365;Chester
TN;US25E;Claiborne
TN;US58;Claiborne
TN;TN33;Claiborne
TN;TN63;Claiborne
TN;TN90;Claiborne
TN;TN345;Claiborne
TN;TN51;Clay
TN;TN52;Clay
TN;TN53;Clay
TN;TN135;Clay
TN;TN151;Clay
TN;TN292;Clay
TN;TN294;Clay
TN;I-40;Cocke
TN;US25;Cocke
TN;US25E;Cocke
TN;US25W;Cocke
TN;US70;Cocke
TN;US321;Cocke
TN;US411;Cocke
TN;TN32;Cocke
TN;TN73;Cocke
TN;TN107;Cocke
TN;TN160;Cocke
TN;TN339;Cocke
TN;TN340;Cocke
TN;I-24;Coffee
TN;US41;Coffee
TN;US64;Coffee
TN;TN16;Coffee
TN;TN50;Coffee
TN;TN53;Coffee
TN;TN55;Coffee
TN;TN64;Coffee
TN;TN127;Coffee
TN;TN130;Coffee
TN;TN269;Coffee
TN;TN280;Coffee
TN;US79;Crockett
TN;US412;Crockett
TN;TN20;Crockett
TN;TN54;Crockett
TN;TN76;Crockett
TN;TN88;Crockett
TN;TN152;Crockett
TN;TN188;Crockett
TN;TN189;Crockett
TN;TN221;Crockett
TN;I-40;Cumberland
TN;US70;Cumberland
TN;US70N;Cumberland
TN;US127;Cumberland
TN;TN68;Cumberland
TN;TN101;Cumberland
TN;TN282;Cumberland
TN;TN298;Cumberland
TN;TN299;Cumberland
TN;TN392;Cumberland
TN;TN419;Cumberland
TN;TN462;Cumberland
TN;I-24;Davidson
TN;I-40;Davidson
TN;I-65;Davidson
TN;I-440;Davidson
TN;US31;Davidson
TN;US31E;Davidson
TN;US31W;Davidson
TN;US41;Davidson
TN;US70;Davidson
TN;US70S;Davidson
TN;US431;Davidson
TN;TN12;Davidson
TN;TN45;Davidson
TN;TN96;Davidson
TN;TN100;Davidson
TN;TN155;Davidson
TN;TN171;Davidson
TN;TN174;Davidson
TN;TN251;Davidson
TN;TN253;Davidson
TN;TN254;Davidson
TN;TN255;Davidson
TN;TN265;Davidson
TN;TN386;Davidson
TN;I-40;Decatur
TN;US412;Decatur
TN;US641;Decatur
TN;TN20;Decatur
TN;TN69;Decatur
TN;TN100;Decatur
TN;TN114;Decatur
TN;TN201;Decatur
TN;TN202;Decatur
TN;US70;DeKalb
TN;TN53;DeKalb
TN;TN56;DeKalb
TN;TN83;DeKalb
TN;TN96;DeKalb
TN;TN141;DeKalb
TN;TN146;DeKalb
TN;TN264;DeKalb
TN;TN288;DeKalb
TN;I-40;Dickson
TN;I-840;Dickson
TN;US70;Dickson
TN;TN46;Dickson
TN;TN47;Dickson
TN;TN48;Dickson
TN;TN49;Dickson
TN;TN96;Dickson
TN;TN235;Dickson
TN;TN250;Dickson
TN;I-155;Dyer
TN;US51;Dyer
TN;US412;Dyer
TN;TN20;Dyer
TN;TN77;Dyer
TN;TN78;Dyer
TN;TN89;Dyer
TN;TN103;Dyer
TN;TN104;Dyer
TN;TN105;Dyer
TN;TN181;Dyer
TN;TN182;Dyer
TN;TN210;Dyer
TN;TN211;Dyer
TN;I-40;Fayette
TN;I-269;Fayette
TN;US64;Fayette
TN;US70;Fayette
TN;US72;Fayette
TN;US79;Fayette
TN;TN15;Fayette
TN;TN18;Fayette
TN;TN57;Fayette
TN;TN59;Fayette
TN;TN76;Fayette
TN;TN193;Fayette
TN;TN194;Fayette
TN;TN195;Fayette
TN;TN196;Fayette
TN;TN222;Fayette
TN;TN460;Fayette
TN;US127;Fentress
TN;TN52;Fentress
TN;TN62;Fentress
TN;TN85;Fentress
TN;TN154;Fentress
TN;TN296;Fentress
TN;TN297;Fentress
TN;TN325;Fentress
TN;US64;Franklin
TN;TN15;Franklin
TN;TN16;Franklin
TN;TN50;Franklin
TN;TN56;Franklin
TN;TN97;Franklin
TN;TN121;Franklin
TN;TN122;Franklin
TN;TN127;Franklin
TN;TN130;Franklin
TN;TN156;Franklin
TN;TN279;Franklin
TN;TN476;Franklin
TN;US45E;Gibson
TN;US45W;Gibson
TN;US79;Gibson
TN;TN43;Gibson
TN;TN54;Gibson
TN;TN76;Gibson
TN;TN77;Gibson
TN;TN89;Gibson
TN;TN104;Gibson
TN;TN105;Gibson
TN;TN152;Gibson
TN;TN185;Gibson
TN;TN186;Gibson
TN;TN187;Gibson
TN;TN188;Gibson
TN;TN367;Gibson
TN;TN420;Gibson
TN;TN425;Gibson
TN;TN445;Gibson
TN;TN457;Gibson
TN;I-65;Giles
TN;US31;Giles
TN;US64;Giles
TN;TN7;Giles
TN;TN11;Giles
TN;TN15;Giles
TN;TN110;Giles
TN;TN129;Giles
TN;TN166;Giles
TN;TN245;Giles
TN;TN273;Giles
TN;US11W;Grainger
TN;US25E;Grainger
TN;TN61;Grainger
TN;TN92;Grainger
TN;TN131;Grainger
TN;TN375;Grainger
TN;I-81;Greene
TN;US11E;Greene
TN;US321;Greene
TN;TN70;Greene
TN;TN93;Greene
TN;TN107;Greene
TN;TN172;Greene
TN;TN340;Greene
TN;TN348;Greene
TN;TN349;Greene
TN;TN350;Greene
TN;TN351;Greene
TN;I-24;Grundy
TN;US41;Grundy
TN;US64;Grundy
TN;TN15;Grundy
TN;TN50;Grundy
TN;TN56;Grundy
TN;TN108;Grundy
TN;TN399;Grundy
TN;I-81;Hamblen
TN;US11E;Hamblen
