region;route;county
TXDOT;US79;Tyler
TXDOT;US84;Tyler
TXDOT;US175;Tyler
TXDOT;US287;Tyler
TXDOT;TX19;Tyler
TXDOT;TX155;Tyler
TXDOT;TX294;Tyler
TXDOT;Lp127;Tyler
TXDOT;Lp256;Tyler
TXDOT;Spr324;Tyler
TXDOT;PR70;Tyler
TXDOT;FM19;Tyler
TXDOT;FM59;Tyler
TXDOT;FM228;Tyler
TXDOT;FM315;Tyler
TXDOT;FM319;Tyler
TXDOT;FM320;Tyler
TXDOT;FM321;Tyler
TXDOT;FM322;Tyler
TXDOT;FM323;Tyler
TXDOT;FM645;Tyler
TXDOT;FM837;Tyler
TXDOT;FM860;Tyler
TXDOT;FM861;Tyler
TXDOT;FM1137;Tyler
TXDOT;FM1817;Tyler
TXDOT;FM1892;Tyler
TXDOT;FM1990;Tyler
TXDOT;FM2022;Tyler
TXDOT;FM2054;Tyler
TXDOT;FM2267;Tyler
TXDOT;FM2330;Tyler
TXDOT;FM2394;Tyler
TXDOT;FM2419;Tyler
TXDOT;FM2574;Tyler
TXDOT;FM2706;Tyler
TXDOT;FM2961;Tyler
TXDOT;FM3224;Tyler
TXDOT;FM3266;Tyler
TXDOT;FM3309;Tyler
TXDOT;FM3328;Tyler
TXDOT;FM3372;Tyler
TXDOT;FM3452;Tyler
TXDOT;US385;Odessa
TXDOT;TX115;Odessa
TXDOT;TX128;Odessa
TXDOT;TX176;Odessa
TXDOT;Lp1910;Odessa
TXDOT;FM181;Odessa
TXDOT;FM1218;Odessa
TXDOT;FM1788;Odessa
TXDOT;FM1967;Odessa
TXDOT;FM2371;Odessa
TXDOT;US59;Lufkin
TXDOT;US69;Lufkin
TXDOT;TX7;Lufkin
TXDOT;TX63;Lufkin
TXDOT;TX94;Lufkin
TXDOT;TX103;Lufkin
TXDOT;TX147;Lufkin
TXDOT;Lp36;Lufkin
TXDOT;Lp210;Lufkin
TXDOT;Lp287;Lufkin
TXDOT;Spr72;Lufkin
TXDOT;Spr278;Lufkin
TXDOT;Spr339;Lufkin
TXDOT;FM58;Lufkin
TXDOT;FM304;Lufkin
TXDOT;FM324;Lufkin
TXDOT;FM325;Lufkin
TXDOT;FM326;Lufkin
TXDOT;FM328;Lufkin
TXDOT;FM706;Lufkin
TXDOT;FM819;Lufkin
TXDOT;FM841;Lufkin
TXDOT;FM842;Lufkin
TXDOT;FM843;Lufkin
TXDOT;FM844;Lufkin
TXDOT;FM1194;Lufkin
TXDOT;FM1270;Lufkin
TXDOT;FM1271;Lufkin
TXDOT;FM1336;Lufkin
TXDOT;FM1475;Lufkin
TXDOT;FM1669;Lufkin
TXDOT;FM1818;Lufkin
TXDOT;FM1819;Lufkin
TXDOT;FM1877;Lufkin
TXDOT;FM2021;Lufkin
TXDOT;FM2108;Lufkin
TXDOT;FM2109;Lufkin
TXDOT;FM2251;Lufkin
TXDOT;FM2497;Lufkin
TXDOT;FM2680;Lufkin
TXDOT;FM2743;Lufkin
TXDOT;FM2801;Lufkin
TXDOT;FM3123;Lufkin
TXDOT;FM3124;Lufkin
TXDOT;FM3150;Lufkin
TXDOT;FM3258;Lufkin
TXDOT;FM3373;Lufkin
TXDOT;FM3439;Lufkin
TXDOT;FM3482;Lufkin
TXDOT;FM3521;Lufkin
TXDOT;TX35;Corpus Christi
TXDOT;TX188;Corpus Christi
TXDOT;Lp70;Corpus Christi
TXDOT;Lp90;Corpus Christi
TXDOT;PR13;Corpus Christi
TXDOT;FM136;Corpus Christi
TXDOT;FM1069;Corpus Christi
TXDOT;FM1781;Corpus Christi
TXDOT;FM2040;Corpus Christi
TXDOT;FM2165;Corpus Christi
TXDOT;FM3036;Corpus Christi
TXDOT;US82;Wichita Falls
TXDOT;US277;Wichita Falls
TXDOT;US281;Wichita Falls
TXDOT;TX16;Wichita Falls
TXDOT;TX25;Wichita Falls
TXDOT;TX79;Wichita Falls
TXDOT;TX114;Wichita Falls
TXDOT;FM172;Wichita Falls
TXDOT;FM174;Wichita Falls
TXDOT;FM210;Wichita Falls
TXDOT;FM368;Wichita Falls
TXDOT;FM422;Wichita Falls
TXDOT;FM440;Wichita Falls
TXDOT;FM1180;Wichita Falls
TXDOT;FM1285;Wichita Falls
TXDOT;FM1954;Wichita Falls
TXDOT;FM2178;Wichita Falls
TXDOT;FM2224;Wichita Falls
TXDOT;FM2380;Wichita Falls
TXDOT;FM2581;Wichita Falls
TXDOT;FM2650;Wichita Falls
TXDOT;FM2846;Wichita Falls
TXDOT;US287;Amarillo
TXDOT;TX207;Amarillo
TXDOT;FM285;Amarillo
TXDOT;FM294;Amarillo
TXDOT;FM1075;Amarillo
TXDOT;FM1151;Amarillo
TXDOT;FM1258;Amarillo
TXDOT;FM2250;Amarillo
TXDOT;FM2272;Amarillo
TXDOT;FM2301;Amarillo
TXDOT;FM2373;Amarillo
TXDOT;FM2889;Amarillo
TXDOT;FM3330;Amarillo
TXDOT;FS1151;Amarillo
TXDOT;I-37;San Antonio
TXDOT;US281;San Antonio
TXDOT;TX16;San Antonio
TXDOT;TX85;San Antonio
TXDOT;TX97;San Antonio
TXDOT;TX132;San Antonio
TXDOT;TX173;San Antonio
TXDOT;Lp282;San Antonio
TXDOT;Spr162;San Antonio
TXDOT;Spr199;San Antonio
TXDOT;Spr242;San Antonio
TXDOT;FM99;San Antonio
TXDOT;FM140;San Antonio
TXDOT;FM476;San Antonio
TXDOT;FM478;San Antonio
TXDOT;FM536;San Antonio
TXDOT;FM541;San Antonio
TXDOT;FM791;San Antonio
TXDOT;FM1099;San Antonio
TXDOT;FM1332;San Antonio
TXDOT;FM1333;San Antonio
TXDOT;FM1334;San Antonio
TXDOT;FM1470;San Antonio
TXDOT;FM1549;San Antonio
TXDOT;FM1784;San Antonio
TXDOT;FM2146;San Antonio
TXDOT;FM2504;San Antonio
TXDOT;FM2790;San Antonio
TXDOT;FM2924;San Antonio
TXDOT;FM3006;San Antonio
TXDOT;FM3175;San Antonio
TXDOT;FM3350;San Antonio
TXDOT;FM3387;San Antonio
TXDOT;FM3498;San Antonio
TXDOT;FM3510;San Antonio
TXDOT;I-10;Yoakum
TXDOT;TX36;Yoakum
TXDOT;TX60;Yoakum
TXDOT;TX159;Yoakum
TXDOT;Lp350;Yoakum
TXDOT;Lp497;Yoakum
TXDOT;PR38;Yoakum
TXDOT;FM109;Yoakum
TXDOT;FM331;Yoakum
TXDOT;FM389;Yoakum
TXDOT;FM529;Yoakum
TXDOT;FM949;Yoakum
TXDOT;FM1093;Yoakum
TXDOT;FM1094;Yoakum
TXDOT;FM1371;Yoakum
TXDOT;FM1456;Yoakum
TXDOT;FM1457;Yoakum
TXDOT;FM1458;Yoakum
TXDOT;FM1952;Yoakum
TXDOT;FM2187;Yoakum
TXDOT;FM2429;Yoakum
TXDOT;FM2502;Yoakum
TXDOT;FM2754;Yoakum
TXDOT;FM3013;Yoakum
TXDOT;FM3538;Yoakum
TXDOT;US70;Lubbock
TXDOT;US84;Lubbock
TXDOT;TX214;Lubbock
TXDOT;FM37;Lubbock
TXDOT;FM54;Lubbock
TXDOT;FM298;Lubbock
TXDOT;FM596;Lubbock
TXDOT;FM746;Lubbock
TXDOT;FM1731;Lubbock
TXDOT;FM1760;Lubbock
TXDOT;FM2079;Lubbock
TXDOT;FM2487;Lubbock
TXDOT;FM3125;Lubbock
TXDOT;FM3269;Lubbock
TXDOT;FM3397;Lubbock
TXDOT;TX46;San Antonio
TXDOT;PR37;San Antonio
TXDOT;FM187;San Antonio
TXDOT;FM337;San Antonio
TXDOT;FM462;San Antonio
TXDOT;FM470;San Antonio
TXDOT;FM1077;San Antonio
TXDOT;FM1283;San Antonio
TXDOT;FM2107;San Antonio
TXDOT;FM2828;San Antonio
TXDOT;FM3240;San Antonio
TXDOT;US290;Austin
TXDOT;TX21;Austin
TXDOT;TX71;Austin
TXDOT;TX95;Austin
TXDOT;TX304;Austin
TXDOT;Lp109;Austin
TXDOT;Lp150;Austin
TXDOT;Lp223;Austin
TXDOT;Lp230;Austin
TXDOT;Spr186;Austin
TXDOT;PR1;Austin
TXDOT;PR1A;Austin
TXDOT;PR1B;Austin
TXDOT;PR1C;Austin
TXDOT;PR1D;Austin
TXDOT;PR1E;Austin
TXDOT;FM20;Austin
TXDOT;FM86;Austin
TXDOT;FM153;Austin
TXDOT;FM535;Austin
TXDOT;FM672;Austin
TXDOT;FM696;Austin
TXDOT;FM713;Austin
TXDOT;FM812;Austin
TXDOT;FM969;Austin
TXDOT;FM1100;Austin
TXDOT;FM1209;Austin
TXDOT;FM1296;Austin
TXDOT;FM1441;Austin
TXDOT;FM1704;Austin
TXDOT;FM2104;Austin
TXDOT;FM2239;Austin
TXDOT;FM2336;Austin
TXDOT;FM2430;Austin
TXDOT;FM2571;Austin
TXDOT;FM3000;Austin
TXDOT;US183;Wichita Falls
TXDOT;Spr334;Wichita Falls
TXDOT;FM1152;Wichita Falls
TXDOT;FM1153;Wichita Falls
TXDOT;FM1286;Wichita Falls
TXDOT;FM1608;Wichita Falls
TXDOT;FM1789;Wichita Falls
TXDOT;FM1790;Wichita Falls
TXDOT;FM1919;Wichita Falls
TXDOT;FM2069;Wichita Falls
TXDOT;FM2070;Wichita Falls
TXDOT;FM2180;Wichita Falls
TXDOT;FM2374;Wichita Falls
TXDOT;FM2395;Wichita Falls
TXDOT;FM2582;Wichita Falls
TXDOT;FS1919;Wichita Falls
TXDOT;US59;Corpus Christi
TXDOT;US181;Corpus Christi
TXDOT;TX72;Corpus Christi
TXDOT;TX202;Corpus Christi
TXDOT;TX359;Corpus Christi
TXDOT;FM351;Corpus Christi
TXDOT;FM475;Corpus Christi
TXDOT;FM534;Corpus Christi
TXDOT;FM623;Corpus Christi
TXDOT;FM673;Corpus Christi
TXDOT;FM796;Corpus Christi
TXDOT;FM797;Corpus Christi
TXDOT;FM798;Corpus Christi
TXDOT;FM799;Corpus Christi
TXDOT;FM882;Corpus Christi
TXDOT;FM883;Corpus Christi
TXDOT;FM888;Corpus Christi
TXDOT;FM1348;Corpus Christi
TXDOT;FM1349;Corpus Christi
TXDOT;FM1465;Corpus Christi
TXDOT;FM2441;Corpus Christi
TXDOT;FM2617;Corpus Christi
TXDOT;FM2824;Corpus Christi
TXDOT;FM2985;Corpus Christi
TXDOT;FM3190;Corpus Christi
TXDOT;FM3355;Corpus Christi
TXDOT;I-14;Waco
TXDOT;I-35;Waco
TXDOT;US190;Waco
TXDOT;TX36;Waco
TXDOT;TX53;Waco
