region;route;county
TX;US79;Anderson
TX;US84;Anderson
TX;US175;Anderson
TX;US287;Anderson
TX;TX19;Anderson
TX;TX155;Anderson
TX;TX294;Anderson
TX;Lp127;Anderson
TX;Lp256;Anderson
TX;Spr324;Anderson
TX;PR70;Anderson
TX;FM19;Anderson
TX;FM59;Anderson
TX;FM228;Anderson
TX;FM315;Anderson
TX;FM319;Anderson
TX;FM320;Anderson
TX;FM321;Anderson
TX;FM322;Anderson
TX;FM323;Anderson
TX;FM645;Anderson
TX;FM837;Anderson
TX;FM860;Anderson
TX;FM861;Anderson
TX;FM1137;Anderson
TX;FM1817;Anderson
TX;FM1892;Anderson
TX;FM1990;Anderson
TX;FM2022;Anderson
TX;FM2054;Anderson
TX;FM2267;Anderson
TX;FM2330;Anderson
TX;FM2394;Anderson
TX;FM2419;Anderson
TX;FM2574;Anderson
TX;FM2706;Anderson
TX;FM2961;Anderson
TX;FM3224;Anderson
TX;FM3266;Anderson
TX;FM3309;Anderson
TX;FM3328;Anderson
TX;FM3372;Anderson
TX;FM3452;Anderson
TX;FS1990;Anderson
TX;US385;Andrews
TX;TX115;Andrews
TX;TX128;Andrews
TX;TX176;Andrews
TX;Lp1910;Andrews
TX;FM181;Andrews
TX;FM1218;Andrews
TX;FM1788;Andrews
TX;FM1967;Andrews
TX;FM2371;Andrews
TX;US59;Angelina
TX;US69;Angelina
TX;TX7;Angelina
TX;TX63;Angelina
TX;TX94;Angelina
TX;TX103;Angelina
TX;TX147;Angelina
TX;Lp36;Angelina
TX;Lp210;Angelina
TX;Lp287;Angelina
TX;Spr72;Angelina
TX;Spr278;Angelina
TX;Spr339;Angelina
TX;FM58;Angelina
TX;FM304;Angelina
TX;FM324;Angelina
TX;FM325;Angelina
TX;FM326;Angelina
TX;FM328;Angelina
TX;FM706;Angelina
TX;FM819;Angelina
TX;FM841;Angelina
TX;FM842;Angelina
TX;FM843;Angelina
TX;FM844;Angelina
TX;FM1194;Angelina
TX;FM1270;Angelina
TX;FM1271;Angelina
TX;FM1336;Angelina
TX;FM1475;Angelina
TX;FM1669;Angelina
TX;FM1818;Angelina
TX;FM1819;Angelina
TX;FM1877;Angelina
TX;FM2021;Angelina
TX;FM2108;Angelina
TX;FM2109;Angelina
TX;FM2251;Angelina
TX;FM2497;Angelina
TX;FM2680;Angelina
TX;FM2743;Angelina
TX;FM2801;Angelina
TX;FM3123;Angelina
TX;FM3124;Angelina
TX;FM3150;Angelina
TX;FM3258;Angelina
TX;FM3373;Angelina
TX;FM3439;Angelina
TX;FM3482;Angelina
TX;FM3521;Angelina
TX;TX35;Aransas
TX;TX188;Aransas
TX;Lp70;Aransas
TX;Lp90;Aransas
TX;PR13;Aransas
TX;FM136;Aransas
TX;FM1069;Aransas
TX;FM1781;Aransas
TX;FM2040;Aransas
TX;FM2165;Aransas
TX;FM3036;Aransas
TX;US82;Archer
TX;US277;Archer
TX;US281;Archer
TX;TX16;Archer
TX;TX25;Archer
TX;TX79;Archer
TX;TX114;Archer
TX;FM172;Archer
TX;FM174;Archer
TX;FM210;Archer
TX;FM368;Archer
TX;FM422;Archer
TX;FM440;Archer
TX;FM1180;Archer
TX;FM1285;Archer
TX;FM1954;Archer
TX;FM2178;Archer
TX;FM2224;Archer
TX;FM2380;Archer
TX;FM2581;Archer
TX;FM2650;Archer
TX;FM2846;Archer
TX;US287;Armstrong
TX;TX207;Armstrong
TX;FM285;Armstrong
TX;FM294;Armstrong
TX;FM1075;Armstrong
TX;FM1151;Armstrong
TX;FM1258;Armstrong
TX;FM2250;Armstrong
TX;FM2272;Armstrong
TX;FM2301;Armstrong
TX;FM2373;Armstrong
TX;FM2889;Armstrong
TX;FM3330;Armstrong
TX;FS1151;Armstrong
TX;I-37;Atascosa
TX;US281;Atascosa
TX;TX16;Atascosa
TX;TX85;Atascosa
TX;TX97;Atascosa
TX;TX132;Atascosa
TX;TX173;Atascosa
TX;Lp282;Atascosa
TX;Spr162;Atascosa
TX;Spr199;Atascosa
TX;Spr242;Atascosa
TX;FM99;Atascosa
TX;FM140;Atascosa
TX;FM476;Atascosa
TX;FM478;Atascosa
TX;FM536;Atascosa
TX;FM541;Atascosa
TX;FM791;Atascosa
TX;FM1099;Atascosa
TX;FM1332;Atascosa
TX;FM1333;Atascosa
TX;FM1334;Atascosa
TX;FM1470;Atascosa
TX;FM1549;Atascosa
TX;FM1784;Atascosa
TX;FM2146;Atascosa
TX;FM2504;Atascosa
TX;FM2790;Atascosa
TX;FM2924;Atascosa
TX;FM3006;Atascosa
TX;FM3175;Atascosa
TX;FM3350;Atascosa
TX;FM3387;Atascosa
TX;FM3498;Atascosa
TX;FM3510;Atascosa
TX;I-10;Austin
TX;TX36;Austin
TX;TX60;Austin
TX;TX159;Austin
TX;Lp350;Austin
TX;Lp497;Austin
TX;PR38;Austin
TX;FM109;Austin
TX;FM331;Austin
TX;FM389;Austin
TX;FM529;Austin
TX;FM949;Austin
TX;FM1093;Austin
TX;FM1094;Austin
TX;FM1371;Austin
TX;FM1456;Austin
TX;FM1457;Austin
TX;FM1458;Austin
TX;FM1952;Austin
TX;FM2187;Austin
TX;FM2429;Austin
TX;FM2502;Austin
TX;FM2754;Austin
TX;FM3013;Austin
TX;FM3538;Austin
TX;US70;Bailey
TX;US84;Bailey
TX;TX214;Bailey
TX;FM37;Bailey
TX;FM54;Bailey
TX;FM298;Bailey
TX;FM596;Bailey
TX;FM746;Bailey
TX;FM1731;Bailey
TX;FM1760;Bailey
TX;FM2079;Bailey
TX;FM2487;Bailey
TX;FM3125;Bailey
TX;FM3269;Bailey
TX;FM3397;Bailey
TX;TX16;Bandera
TX;TX46;Bandera
TX;TX173;Bandera
TX;PR37;Bandera
TX;FM187;Bandera
TX;FM337;Bandera
TX;FM462;Bandera
TX;FM470;Bandera
TX;FM1077;Bandera
TX;FM1283;Bandera
TX;FM2107;Bandera
TX;FM2828;Bandera
TX;FM3240;Bandera
TX;US290;Bastrop
TX;TX21;Bastrop
TX;TX71;Bastrop
TX;TX95;Bastrop
TX;TX304;Bastrop
TX;Lp109;Bastrop
TX;Lp150;Bastrop
TX;Lp223;Bastrop
TX;Lp230;Bastrop
TX;Spr186;Bastrop
TX;PR1;Bastrop
TX;PR1A;Bastrop
TX;PR1B;Bastrop
TX;PR1C;Bastrop
TX;PR1D;Bastrop
TX;PR1E;Bastrop
TX;FM20;Bastrop
TX;FM86;Bastrop
TX;FM153;Bastrop
TX;FM535;Bastrop
TX;FM672;Bastrop
TX;FM696;Bastrop
TX;FM713;Bastrop
TX;FM812;Bastrop
TX;FM969;Bastrop
TX;FM1100;Bastrop
TX;FM1209;Bastrop
TX;FM1296;Bastrop
TX;FM1441;Bastrop
TX;FM1704;Bastrop
TX;FM2104;Bastrop
TX;FM2239;Bastrop
TX;FM2336;Bastrop
TX;FM2430;Bastrop
TX;FM2571;Bastrop
TX;FM3000;Bastrop
TX;US82;Baylor
TX;US183;Baylor
TX;US277;Baylor
TX;TX114;Baylor
TX;Spr334;Baylor
TX;FM422;Baylor
TX;FM1152;Baylor
TX;FM1153;Baylor
TX;FM1285;Baylor
TX;FM1286;Baylor
TX;FM1608;Baylor
TX;FM1789;Baylor
TX;FM1790;Baylor
TX;FM1919;Baylor
TX;FM2069;Baylor
TX;FM2070;Baylor
TX;FM2180;Baylor
TX;FM2374;Baylor
TX;FM2395;Baylor
TX;FM2582;Baylor
TX;FS1919;Baylor
TX;US59;Bee
TX;US181;Bee
TX;TX72;Bee
TX;TX202;Bee
TX;TX359;Bee
TX;FM351;Bee
TX;FM475;Bee
TX;FM534;Bee
TX;FM623;Bee
TX;FM673;Bee
TX;FM796;Bee
TX;FM797;Bee
TX;FM798;Bee
TX;FM799;Bee
TX;FM882;Bee
TX;FM883;Bee
TX;FM888;Bee
TX;FM1348;Bee
TX;FM1349;Bee
TX;FM1465;Bee
TX;FM2441;Bee
TX;FM2617;Bee
TX;FM2824;Bee
TX;FM2985;Bee
TX;FM3190;Bee
TX;FM3355;Bee
TX;I-14;Bell
TX;I-35;Bell
TX;US190;Bell
TX;TX36;Bell
TX;TX53;Bell
TX;TX95;Bell
TX;TX195;Bell
TX;TX201;Bell
TX;TX317;Bell
TX;Lp121;Bell
TX;Lp363;Bell
TX;Spr172;Bell
TX;Spr290;Bell
TX;FM93;Bell
TX;FM116;Bell
TX;FM436;Bell
TX;FM437;Bell
TX;FM438;Bell
TX;FM439;Bell
TX;FM485;Bell
TX;FM487;Bell
TX;FM817;Bell
TX;FM935;Bell
TX;FM940;Bell
TX;FM964;Bell
TX;FM1123;Bell
TX;FM1143;Bell
TX;FM1237;Bell
TX;FM1670;Bell
TX;FM1671;Bell
TX;FM1741;Bell
TX;FM2086;Bell
TX;FM2115;Bell
TX;FM2184;Bell
TX;FM2268;Bell
TX;FM2271;Bell
TX;FM2305;Bell
TX;FM2409;Bell
TX;FM2410;Bell
TX;FM2483;Bell
TX;FM2484;Bell
TX;FM2601;Bell
TX;FM2670;Bell
TX;FM2843;Bell
TX;FM2904;Bell
TX;FM3117;Bell
TX;FM3219;Bell
TX;FM3369;Bell
TX;FM3423;Bell
TX;FM3470;Bell
TX;FM3481;Bell
TX;FS439;Bell
TX;FS1237;Bell
TX;I-10;Bexar
TX;I-35;Bexar
TX;I-37;Bexar
TX;I-410;Bexar
TX;US87;Bexar
TX;US90;Bexar
TX;US181;Bexar
TX;US281;Bexar
TX;TX16;Bexar
TX;TX151;Bexar
TX;TX211;Bexar
TX;TX218;Bexar
TX;PA1502;Bexar
TX;Lp13;Bexar
TX;Lp106;Bexar
TX;Lp107;Bexar
TX;Lp345;Bexar
TX;Lp353;Bexar
TX;Lp368;Bexar
TX;Lp1604;Bexar
TX;Spr117;Bexar
TX;Spr122;Bexar
TX;Spr371;Bexar
TX;Spr421;Bexar
TX;Spr422;Bexar
TX;Spr471;Bexar
TX;Spr536;Bexar
TX;Spr537;Bexar
TX;FM78;Bexar
TX;FM143;Bexar
TX;FM327;Bexar
TX;FM471;Bexar
TX;FM476;Bexar
TX;FM1303;Bexar
TX;FM1346;Bexar
TX;FM1516;Bexar
TX;FM1518;Bexar
TX;FM1535;Bexar
TX;FM1560;Bexar
TX;FM1628;Bexar
TX;FM1863;Bexar
TX;FM1937;Bexar
TX;FM1957;Bexar
TX;FM1976;Bexar
TX;FM2252;Bexar
TX;FM2536;Bexar
TX;FM2537;Bexar
TX;FM2538;Bexar
TX;FM2696;Bexar
TX;FM2790;Bexar
TX;FM3351;Bexar
TX;FM3432;Bexar
TX;FM3465;Bexar
TX;FM3499;Bexar
TX;FM3502;Bexar
TX;US281;Blanco
TX;US290;Blanco
TX;TX71;Blanco
TX;Lp163;Blanco
TX;Spr356;Blanco
TX;PR23;Blanco
TX;RR1;Blanco
TX;FM32;Blanco
TX;FM165;Blanco
TX;FM473;Blanco
TX;FM962;Blanco
TX;FM1320;Blanco
TX;FM1323;Blanco
TX;FM1623;Blanco
TX;FM1888;Blanco
TX;FM2325;Blanco
TX;FM2721;Blanco
TX;FM2766;Blanco
TX;FM3232;Blanco
TX;FM3347;Blanco
TX;FS962;Blanco
TX;US180;Borden
TX;FM612;Borden
TX;FM669;Borden
TX;FM1054;Borden
TX;FM1205;Borden
TX;FM1210;Borden
TX;FM1584;Borden
TX;FM1610;Borden
TX;FM1785;Borden
TX;FM2350;Borden
TX;TX6;Bosque
TX;TX22;Bosque
TX;TX144;Bosque
TX;TX174;Bosque
TX;TX317;Bosque
TX;PR7;Bosque
TX;FM56;Bosque
TX;FM182;Bosque
TX;FM203;Bosque
TX;FM215;Bosque
TX;FM216;Bosque
TX;FM217;Bosque
TX;FM219;Bosque
TX;FM708;Bosque
TX;FM854;Bosque
TX;FM927;Bosque
TX;FM1238;Bosque
TX;FM1473;Bosque
TX;FM1637;Bosque
TX;FM1713;Bosque
TX;FM1859;Bosque
TX;FM1991;Bosque
TX;FM2114;Bosque
TX;FM2136;Bosque
TX;FM2490;Bosque
TX;FM2602;Bosque
TX;FM2840;Bosque
TX;FM2841;Bosque
TX;FM3118;Bosque
TX;FM3220;Bosque
TX;FM3221;Bosque
TX;I-30;Bowie
TX;I-369;Bowie
TX;US59;Bowie
TX;US67;Bowie
TX;US71;Bowie
TX;US82;Bowie
TX;US259;Bowie
TX;TX8;Bowie
TX;TX93;Bowie
TX;TX98;Bowie
TX;Lp14;Bowie
TX;Lp151;Bowie
TX;Spr74;Bowie
TX;Spr86;Bowie
TX;Spr594;Bowie
TX;FM44;Bowie
TX;FM114;Bowie
TX;FM558;Bowie
TX;FM559;Bowie
TX;FM560;Bowie
TX;FM561;Bowie
TX;FM989;Bowie
TX;FM990;Bowie
TX;FM991;Bowie
TX;FM992;Bowie
TX;FM1297;Bowie
TX;FM1326;Bowie
TX;FM1397;Bowie
TX;FM1398;Bowie
TX;FM1701;Bowie
TX;FM1840;Bowie
TX;FM2148;Bowie
TX;FM2149;Bowie
TX;FM2240;Bowie
TX;FM2253;Bowie
TX;FM2516;Bowie
TX;FM2624;Bowie
TX;FM2735;Bowie
TX;FM2789;Bowie
TX;FM2878;Bowie
TX;FM3098;Bowie
TX;FM3165;Bowie
TX;FM3244;Bowie
TX;FM3287;Bowie
TX;FM3378;Bowie
TX;FM3419;Bowie
TX;FM3527;Bowie
TX;TX6;Brazoria
TX;TX35;Brazoria
TX;TX36;Brazoria
TX;TX288;Brazoria
TX;TX332;Brazoria
TX;Lp274;Brazoria
TX;Spr28;Brazoria
TX;Spr273;Brazoria
TX;Spr419;Brazoria
