region;route;county
VA;US13;Accomack
VA;VA126;Accomack
VA;VA175;Accomack
VA;VA176;Accomack
VA;VA178;Accomack
VA;VA179;Accomack
VA;VA180;Accomack
VA;VA181;Accomack
VA;VA182;Accomack
VA;VA187;Accomack
VA;VA316;Accomack
VA;I-64;Albemarle
VA;US29;Albemarle
VA;US250;Albemarle
VA;VA6;Albemarle
VA;VA20;Albemarle
VA;VA22;Albemarle
VA;VA53;Albemarle
VA;VA151;Albemarle
VA;VA231;Albemarle
VA;VA240;Albemarle
VA;I-64;Alleghany
VA;US60;Alleghany
VA;US220;Alleghany
VA;VA18;Alleghany
VA;VA42;Alleghany
VA;VA159;Alleghany
VA;VA188;Alleghany
VA;VA269;Alleghany
VA;VA311;Alleghany
VA;US360;Amelia
VA;VA38;Amelia
VA;VA153;Amelia
VA;VA307;Amelia
VA;US29;Amherst
VA;US60;Amherst
VA;US501;Amherst
VA;VA130;Amherst
VA;VA151;Amherst
VA;VA163;Amherst
VA;VA210;Amherst
VA;VA334;Amherst
VA;US60;Appomattox
VA;US460;Appomattox
VA;VA24;Appomattox
VA;VA26;Appomattox
VA;VA47;Appomattox
VA;VA131;Appomattox
VA;VA341;Appomattox
VA;I-66;Arlington
VA;I-395;Arlington
VA;US1;Arlington
VA;US29;Arlington
VA;US50;Arlington
VA;VA27;Arlington
VA;VA110;Arlington
VA;VA120;Arlington
VA;VA123;Arlington
VA;VA124;Arlington
VA;VA233;Arlington
VA;VA237;Arlington
VA;VA244;Arlington
VA;VA309;Arlington
VA;I-64;Augusta
VA;I-81;Augusta
VA;US11;Augusta
VA;US250;Augusta
VA;US340;Augusta
VA;VA42;Augusta
VA;VA56;Augusta
VA;VA252;Augusta
VA;VA254;Augusta
VA;VA256;Augusta
VA;VA262;Augusta
VA;VA276;Augusta
VA;VA285;Augusta
VA;VA358;Augusta
VA;VA363;Augusta
VA;US220;Bath
VA;VA39;Bath
VA;VA42;Bath
VA;US221;Bedford
VA;US460;Bedford
VA;US501;Bedford
VA;VA24;Bedford
VA;VA43;Bedford
VA;VA122;Bedford
VA;I-77;Bland
VA;US52;Bland
VA;VA42;Bland
VA;VA61;Bland
VA;VA98;Bland
VA;VA598;Bland
VA;I-81;Botetourt
VA;US11;Botetourt
VA;US220;Botetourt
VA;US221;Botetourt
VA;US460;Botetourt
VA;VA43;Botetourt
VA;VA167;Botetourt
VA;I-85;Brunswick
VA;US1;Brunswick
VA;US58;Brunswick
VA;VA46;Brunswick
VA;VA136;Brunswick
VA;VA137;Brunswick
VA;VA378;Brunswick
VA;US121;Buchanan
VA;US460;Buchanan
VA;VA80;Buchanan
VA;VA83;Buchanan
VA;VA330;Buchanan
VA;VA460;Buchanan
VA;US15;Buckingham
VA;US60;Buckingham
VA;VA20;Buckingham
VA;VA24;Buckingham
VA;VA56;Buckingham
VA;US29;Campbell
VA;US460;Campbell
VA;US501;Campbell
VA;VA24;Campbell
VA;VA40;Campbell
VA;VA43;Campbell
VA;I-95;Caroline
VA;US1;Caroline
VA;US17;Caroline
VA;US301;Caroline
VA;VA2;Caroline
VA;VA30;Caroline
VA;VA207;Caroline
VA;I-77;Carroll
VA;US52;Carroll
VA;US58;Carroll
VA;US221;Carroll
VA;VA69;Carroll
VA;VA94;Carroll
VA;VA97;Carroll
VA;VA100;Carroll
VA;VA148;Carroll
VA;VA392;Carroll
VA;VA5;Charles City
VA;VA106;Charles City
VA;VA155;Charles City
VA;VA156;Charles City
VA;US15;Charlotte
VA;US360;Charlotte
VA;VA40;Charlotte
VA;VA47;Charlotte
VA;VA59;Charlotte
VA;VA92;Charlotte
VA;VA385;Charlotte
VA;I-95;Chesterfield
VA;I-295;Chesterfield
VA;US1;Chesterfield
VA;US60;Chesterfield
VA;US301;Chesterfield
VA;US360;Chesterfield
VA;VA10;Chesterfield
VA;VA36;Chesterfield
VA;VA76;Chesterfield
VA;VA144;Chesterfield
VA;VA145;Chesterfield
VA;VA147;Chesterfield
VA;VA150;Chesterfield
VA;VA288;Chesterfield
VA;VA895;Chesterfield
VA;I-95;City of Alexandria
VA;I-395;City of Alexandria
VA;I-495;City of Alexandria
VA;US1;City of Alexandria
VA;VA7;City of Alexandria
VA;VA236;City of Alexandria
VA;VA241;City of Alexandria
VA;VA400;City of Alexandria
VA;VA401;City of Alexandria
VA;VA402;City of Alexandria
VA;I-81;City of Bristol
VA;I-381;City of Bristol
VA;US11;City of Bristol
VA;US11E;City of Bristol
VA;US11W;City of Bristol
VA;US19;City of Bristol
VA;US58;City of Bristol
VA;US421;City of Bristol
VA;US60;City of Buena Vista
VA;US501;City of Buena Vista
VA;I-64;City of Charlottesville
VA;US29;City of Charlottesville
VA;US250;City of Charlottesville
VA;VA20;City of Charlottesville
VA;I-64;City of Chesapeake
VA;I-264;City of Chesapeake
VA;I-464;City of Chesapeake
VA;I-664;City of Chesapeake
VA;US13;City of Chesapeake
VA;US17;City of Chesapeake
VA;US58;City of Chesapeake
VA;US460;City of Chesapeake
VA;VA165;City of Chesapeake
VA;VA166;City of Chesapeake
VA;VA168;City of Chesapeake
VA;VA190;City of Chesapeake
VA;VA191;City of Chesapeake
VA;VA196;City of Chesapeake
VA;VA246;City of Chesapeake
VA;VA337;City of Chesapeake
VA;VA407;City of Chesapeake
VA;I-95;City of Colonial Heights
VA;US1;City of Colonial Heights
VA;US301;City of Colonial Heights
VA;VA144;City of Colonial Heights
VA;I-64;City of Covington
VA;US60;City of Covington
VA;US220;City of Covington
VA;VA18;City of Covington
VA;VA154;City of Covington
VA;US29;City of Danville
VA;US58;City of Danville
VA;US360;City of Danville
VA;VA41;City of Danville
VA;VA51;City of Danville
VA;VA86;City of Danville
VA;VA293;City of Danville
VA;VA360;City of Danville
VA;VA398;City of Danville
VA;VA413;City of Danville
VA;I-95;City of Emporia
VA;US58;City of Emporia
VA;US301;City of Emporia
VA;US29;City of Fairfax
VA;US50;City of Fairfax
VA;VA123;City of Fairfax
VA;VA236;City of Fairfax
VA;VA237;City of Fairfax
VA;US29;City of Falls Church
VA;VA7;City of Falls Church
VA;VA237;City of Falls Church
VA;VA338;City of Falls Church
VA;US58;City of Franklin
VA;US258;City of Franklin
VA;VA379;City of Franklin
