region;route;county
WA;I-90;Adams
WA;US395;Adams
WA;WA17;Adams
WA;WA21;Adams
WA;WA24;Adams
WA;WA26;Adams
WA;WA261;Adams
WA;US12;Asotin
WA;WA128;Asotin
WA;WA129;Asotin
WA;I-82;Benton
WA;I-182;Benton
WA;US12;Benton
WA;US395;Benton
WA;WA14;Benton
WA;WA22;Benton
WA;WA24;Benton
WA;WA221;Benton
WA;WA224;Benton
WA;WA225;Benton
WA;WA240;Benton
WA;WA397;Benton
WA;US2;Chelan
WA;US97;Chelan
WA;WA20;Chelan
WA;WA150;Chelan
WA;WA207;Chelan
WA;WA285;Chelan
WA;WA971;Chelan
WA;US101;Clallam
WA;WA110;Clallam
WA;WA112;Clallam
WA;WA113;Clallam
WA;I-5;Clark
WA;I-205;Clark
WA;WA14;Clark
WA;WA500;Clark
WA;WA501;Clark
WA;WA502;Clark
WA;WA503;Clark
WA;US12;Columbia
WA;WA261;Columbia
WA;I-5;Cowlitz
WA;WA4;Cowlitz
WA;WA411;Cowlitz
WA;WA432;Cowlitz
WA;WA433;Cowlitz
WA;WA503;Cowlitz
WA;WA504;Cowlitz
WA;WA505;Cowlitz
WA;WA506;Cowlitz
WA;US2;Douglas
WA;US97;Douglas
WA;WA17;Douglas
WA;WA28;Douglas
WA;WA155;Douglas
WA;WA172;Douglas
WA;WA173;Douglas
WA;WA174;Douglas
WA;WA285;Douglas
WA;US395;Ferry
WA;WA20;Ferry
WA;WA21;Ferry
WA;I-182;Franklin
WA;US12;Franklin
WA;US395;Franklin
WA;WA17;Franklin
WA;WA21;Franklin
WA;WA24;Franklin
WA;WA260;Franklin
WA;WA261;Franklin
WA;WA263;Franklin
WA;WA397;Franklin
WA;US12;Garfield
WA;WA127;Garfield
WA;WA128;Garfield
WA;I-90;Grant
WA;US2;Grant
WA;WA17;Grant
WA;WA24;Grant
WA;WA26;Grant
WA;WA28;Grant
WA;WA155;Grant
WA;WA174;Grant
WA;WA170;Grant
WA;WA171;Grant
WA;WA174;Grant
WA;WA243;Grant
WA;WA262;Grant
WA;WA281;Grant
WA;WA282;Grant
WA;WA283;Grant
WA;US12;Grays Harbor
WA;US101;Grays Harbor
WA;WA8;Grays Harbor
WA;WA105;Grays Harbor
WA;WA107;Grays Harbor
WA;WA108;Grays Harbor
WA;WA109;Grays Harbor
WA;WA115;Grays Harbor
WA;WA20;Island
WA;WA525;Island
WA;WA532;Island
WA;US101;Jefferson
WA;WA19;Jefferson
WA;WA20;Jefferson
WA;WA104;Jefferson
WA;WA116;Jefferson
WA;I-5;King
WA;I-90;King
WA;I-405;King
WA;US2;King
WA;WA18;King
WA;WA99;King
WA;WA104;King
WA;WA160;King
WA;WA161;King
WA;WA164;King
WA;WA167;King
WA;WA169;King
WA;WA181;King
WA;WA202;King
WA;WA203;King
WA;WA304;King
WA;WA305;King
WA;WA339;King
WA;WA410;King
WA;WA509;King
WA;WA513;King
WA;WA515;King
WA;WA516;King
WA;WA518;King
WA;WA520;King
WA;WA522;King
WA;WA523;King
WA;WA527;King
WA;WA599;King
WA;WA900;King
WA;WA906;King
WA;WA908;King
WA;WA3;Kitsap
WA;WA16;Kitsap
WA;WA104;Kitsap
WA;WA160;Kitsap
WA;WA166;Kitsap
WA;WA303;Kitsap
WA;WA304;Kitsap
WA;WA305;Kitsap
WA;WA307;Kitsap
WA;WA308;Kitsap
WA;WA310;Kitsap
WA;I-82;Kittitas
WA;I-90;Kittitas
WA;US97;Kittitas
WA;WA10;Kittitas
WA;WA821;Kittitas
WA;WA903;Kittitas
WA;WA906;Kittitas
WA;WA970;Kittitas
WA;US97;Klickitat
WA;US197;Klickitat
WA;WA14;Klickitat
WA;WA141;Klickitat
WA;WA142;Klickitat
WA;I-5;Lewis
WA;US12;Lewis
WA;WA6;Lewis
WA;WA7;Lewis
WA;WA122;Lewis
WA;WA123;Lewis
WA;WA131;Lewis
WA;WA505;Lewis
WA;WA506;Lewis
WA;WA507;Lewis
WA;WA508;Lewis
WA;I-90;Lincoln
WA;US2;Lincoln
WA;US395;Lincoln
WA;WA21;Lincoln
WA;WA23;Lincoln
WA;WA25;Lincoln
WA;WA28;Lincoln
WA;WA174;Lincoln
WA;WA231;Lincoln
WA;US101;Mason
WA;WA3;Mason
WA;WA102;Mason
WA;WA106;Mason
WA;WA108;Mason
WA;WA119;Mason
WA;WA300;Mason
WA;WA302;Mason
WA;US97;Okanogan
WA;WA17;Okanogan
WA;WA20;Okanogan
WA;WA153;Okanogan
WA;WA155;Okanogan
WA;WA173;Okanogan
WA;WA213;Okanogan
WA;WA215;Okanogan
WA;US101;Pacific
WA;WA4;Pacific
WA;WA6;Pacific
WA;WA100;Pacific
WA;WA103;Pacific
WA;WA105;Pacific
WA;WA401;Pacific
WA;US2;Pend Oreille
WA;WA20;Pend Oreille
WA;WA31;Pend Oreille
WA;WA211;Pend Oreille
WA;I-5;Pierce
WA;I-705;Pierce
WA;WA7;Pierce
WA;WA9;Pierce
WA;WA99;Pierce
WA;WA123;Pierce
WA;WA161;Pierce
WA;WA162;Pierce
WA;WA165;Pierce
WA;WA167;Pierce
WA;WA168;Pierce
WA;WA302;Pierce
WA;WA410;Pierce
WA;WA507;Pierce
WA;WA509;Pierce
WA;WA512;Pierce
WA;WA702;Pierce
WA;WA704;Pierce
WA;WA706;Pierce
WA;I-5;Skagit
WA;WA9;Skagit
WA;WA11;Skagit
