region;route;county
WI;WI13;Adams
WI;WI21;Adams
WI;WI23;Adams
WI;WI73;Adams
WI;WI82;Adams
WI;US2;Ashland
WI;WI13;Ashland
WI;WI77;Ashland
WI;WI112;Ashland
WI;WI118;Ashland
WI;WI137;Ashland
WI;WI169;Ashland
WI;US8;Barron
WI;US53;Barron
WI;US63;Barron
WI;WI25;Barron
WI;WI48;Barron
WI;US2;Bayfield
WI;US63;Bayfield
WI;WI13;Bayfield
WI;WI27;Bayfield
WI;WI118;Bayfield
WI;WI137;Bayfield
WI;I-41;Brown
WI;I-43;Brown
WI;US41;Brown
WI;US141;Brown
WI;WI29;Brown
WI;WI32;Brown
WI;WI54;Brown
WI;WI57;Brown
WI;WI96;Brown
WI;WI160;Brown
WI;WI172;Brown
WI;US10;Buffalo
WI;WI25;Buffalo
WI;WI35;Buffalo
WI;WI37;Buffalo
WI;WI54;Buffalo
WI;WI88;Buffalo
WI;WI95;Buffalo
WI;WI121;Buffalo
WI;WI35;Burnett
WI;WI48;Burnett
WI;WI70;Burnett
WI;WI77;Burnett
WI;WI87;Burnett
WI;US10;Calumet
WI;US151;Calumet
WI;WI32;Calumet
WI;WI55;Calumet
WI;WI57;Calumet
WI;WI114;Calumet
WI;WI441;Calumet
WI;US12;Chippewa
WI;US53;Chippewa
WI;WI27;Chippewa
WI;WI29;Chippewa
WI;WI40;Chippewa
WI;WI64;Chippewa
WI;WI124;Chippewa
WI;WI178;Chippewa
WI;US10;Clark
WI;US12;Clark
WI;WI13;Clark
WI;WI27;Clark
WI;WI29;Clark
WI;WI73;Clark
WI;WI95;Clark
WI;WI98;Clark
WI;I-39;Columbia
WI;I-90;Columbia
WI;I-94;Columbia
WI;US51;Columbia
WI;US151;Columbia
WI;WI13;Columbia
WI;WI16;Columbia
WI;WI22;Columbia
WI;WI23;Columbia
WI;WI33;Columbia
WI;WI44;Columbia
WI;WI60;Columbia
WI;WI73;Columbia
WI;WI78;Columbia
WI;WI89;Columbia
WI;WI113;Columbia
WI;WI127;Columbia
WI;WI146;Columbia
WI;WI188;Columbia
WI;US18;Crawford
WI;US61;Crawford
WI;WI27;Crawford
WI;WI35;Crawford
WI;WI60;Crawford
WI;WI82;Crawford
WI;WI131;Crawford
WI;WI171;Crawford
WI;WI179;Crawford
WI;I-39;Dane
WI;I-90;Dane
WI;I-94;Dane
WI;US12;Dane
WI;US14;Dane
WI;US18;Dane
WI;US51;Dane
WI;US151;Dane
WI;WI19;Dane
WI;WI30;Dane
WI;WI69;Dane
WI;WI73;Dane
WI;WI78;Dane
WI;WI89;Dane
WI;WI92;Dane
WI;WI104;Dane
WI;WI106;Dane
WI;WI113;Dane
WI;WI134;Dane
WI;WI138;Dane
WI;WI188;Dane
WI;I-41;Dodge
WI;US41;Dodge
WI;US151;Dodge
WI;WI16;Dodge
WI;WI19;Dodge
WI;WI26;Dodge
WI;WI28;Dodge
WI;WI33;Dodge
WI;WI49;Dodge
WI;WI60;Dodge
WI;WI67;Dodge
WI;WI68;Dodge
WI;WI73;Dodge
WI;WI89;Dodge
WI;WI175;Dodge
WI;WI42;Door
WI;WI57;Door
WI;I-535;Douglas
WI;US2;Douglas
WI;US53;Douglas
WI;WI13;Douglas
WI;WI27;Douglas
WI;WI35;Douglas
