region;route;county
WY;I-80;Albany
WY;US30;Albany
WY;US287;Albany
WY;WY10;Albany
WY;WY11;Albany
WY;WY12;Albany
WY;WY13;Albany
WY;WY34;Albany
WY;WY130;Albany
WY;WY210;Albany
WY;WY230;Albany
WY;US14;Big Horn
WY;US16;Big Horn
WY;US310;Big Horn
WY;WY30;Big Horn
WY;WY31;Big Horn
WY;WY32;Big Horn
WY;WY33;Big Horn
WY;WY35;Big Horn
WY;WY36;Big Horn
WY;WY37;Big Horn
WY;WY114;Big Horn
WY;WY295;Big Horn
WY;WY433;Big Horn
WY;WY789;Big Horn
WY;I-90;Campbell
WY;US14;Campbell
WY;US16;Campbell
WY;WY50;Campbell
WY;WY51;Campbell
WY;WY59;Campbell
WY;WY387;Campbell
WY;WY450;Campbell
WY;I-80;Carbon
WY;US30;Carbon
WY;US287;Carbon
WY;WY13;Carbon
WY;WY70;Carbon
WY;WY71;Carbon
WY;WY72;Carbon
WY;WY73;Carbon
WY;WY76;Carbon
WY;WY77;Carbon
WY;WY78;Carbon
WY;WY130;Carbon
WY;WY220;Carbon
WY;WY230;Carbon
WY;WY487;Carbon
WY;WY789;Carbon
WY;I-25;Converse
WY;US18;Converse
WY;US20;Converse
WY;US26;Converse
WY;US87;Converse
WY;WY59;Converse
WY;WY90;Converse
WY;WY91;Converse
WY;WY93;Converse
WY;WY94;Converse
WY;WY95;Converse
WY;WY96;Converse
WY;WY319;Converse
WY;I-90;Crook
WY;US14;Crook
WY;US16;Crook
WY;US212;Crook
WY;WY24;Crook
WY;WY51;Crook
WY;WY110;Crook
WY;WY111;Crook
WY;WY112;Crook
WY;WY113;Crook
WY;WY116;Crook
WY;WY585;Crook
WY;US20;Fremont
WY;US26;Fremont
WY;US287;Fremont
WY;WY28;Fremont
WY;WY131;Fremont
WY;WY132;Fremont
WY;WY133;Fremont
WY;WY134;Fremont
WY;WY135;Fremont
WY;WY136;Fremont
WY;WY139;Fremont
WY;WY789;Fremont
WY;US26;Goshen
WY;US85;Goshen
WY;WY92;Goshen
WY;WY151;Goshen
WY;WY152;Goshen
WY;WY154;Goshen
WY;WY156;Goshen
WY;WY157;Goshen
WY;WY158;Goshen
WY;WY159;Goshen
WY;WY160;Goshen
WY;WY161;Goshen
WY;WY313;Goshen
WY;US20;Hot Springs
WY;WY120;Hot Springs
WY;WY170;Hot Springs
WY;WY171;Hot Springs
WY;WY172;Hot Springs
WY;WY173;Hot Springs
WY;WY174;Hot Springs
WY;WY175;Hot Springs
WY;WY431;Hot Springs
WY;WY789;Hot Springs
WY;I-25;Johnson
WY;I-90;Johnson
WY;US16;Johnson
WY;US87;Johnson
WY;WY190;Johnson
WY;WY191;Johnson
WY;WY192;Johnson
WY;WY193;Johnson
WY;WY196;Johnson
WY;WY387;Johnson
WY;I-25;Laramie
WY;I-80;Laramie
WY;I-180;Laramie
WY;US30;Laramie
WY;US85;Laramie
WY;US87;Laramie
WY;WY210;Laramie
WY;WY211;Laramie
WY;WY212;Laramie
WY;WY213;Laramie
WY;WY214;Laramie
WY;WY215;Laramie
WY;WY216;Laramie
WY;WY219;Laramie
WY;WY222;Laramie
WY;WY223;Laramie
WY;WY225;Laramie
WY;WY322;Laramie
WY;US26;Lincoln
WY;US30;Lincoln
WY;US89;Lincoln
WY;US189;Lincoln
WY;WY89;Lincoln
WY;WY231;Lincoln
WY;WY232;Lincoln
WY;WY233;Lincoln
WY;WY235;Lincoln
WY;WY236;Lincoln
WY;WY237;Lincoln
WY;WY238;Lincoln
WY;WY239;Lincoln
WY;WY240;Lincoln
WY;WY241;Lincoln
WY;WY372;Lincoln
WY;WY412;Lincoln
WY;I-25;Natrona
WY;US20;Natrona
WY;US26;Natrona
WY;US87;Natrona
WY;US287;Natrona
WY;WY220;Natrona
WY;WY251;Natrona
WY;WY252;Natrona
WY;WY253;Natrona
WY;WY254;Natrona
WY;WY256;Natrona
WY;WY257;Natrona
WY;WY258;Natrona
WY;WY259;Natrona
WY;WY387;Natrona
WY;WY789;Natrona
WY;US18;Niobrara
WY;US20;Niobrara
WY;US85;Niobrara
WY;WY270;Niobrara
WY;WY271;Niobrara
WY;WY272;Niobrara
WY;WY273;Niobrara
WY;WY487;Niobrara
WY;US14;Park
WY;US16;Park
WY;US20;Park
WY;US89;Park
WY;US191;Park
WY;US212;Park
WY;US287;Park
WY;US310;Park
WY;WY114;Park
WY;WY120;Park
WY;WY290;Park
WY;WY291;Park
WY;WY294;Park
WY;WY295;Park
WY;WY296;Park
WY;I-25;Platte
WY;US26;Platte
WY;US87;Platte
WY;WY34;Platte
WY;WY211;Platte
WY;WY270;Platte
WY;WY310;Platte
WY;WY311;Platte
WY;WY312;Platte
WY;WY313;Platte
WY;WY314;Platte
WY;WY315;Platte
WY;WY316;Platte
WY;WY317;Platte
WY;WY318;Platte
WY;WY319;Platte
WY;WY320;Platte
WY;WY321;Platte
WY;WY322;Platte
WY;I-90;Sheridan
WY;US14;Sheridan
WY;US16;Sheridan
WY;US87;Sheridan
WY;WY193;Sheridan
WY;WY194;Sheridan
WY;WY330;Sheridan
WY;WY331;Sheridan
WY;WY332;Sheridan
WY;WY334;Sheridan
WY;WY335;Sheridan
WY;WY336;Sheridan
WY;WY337;Sheridan
WY;WY338;Sheridan
WY;WY339;Sheridan
WY;WY340;Sheridan
WY;WY341;Sheridan
WY;WY342;Sheridan
WY;WY343;Sheridan
WY;WY345;Sheridan
WY;US189;Sublette
WY;US191;Sublette
WY;WY28;Sublette
WY;WY350;Sublette
WY;WY351;Sublette
WY;WY352;Sublette
WY;WY353;Sublette
WY;WY354;Sublette
WY;I-80;Sweetwater
WY;US30;Sweetwater
WY;US191;Sweetwater
WY;WY28;Sweetwater
WY;WY73;Sweetwater
WY;WY370;Sweetwater
WY;WY371;Sweetwater
WY;WY372;Sweetwater
WY;WY374;Sweetwater
WY;WY375;Sweetwater
WY;WY376;Sweetwater
WY;WY414;Sweetwater
WY;WY430;Sweetwater
WY;WY530;Sweetwater
WY;WY789;Sweetwater
WY;US20;Teton
WY;US26;Teton
WY;US89;Teton
WY;US189;Teton
WY;US191;Teton
WY;US287;Teton
WY;WY22;Teton
WY;WY390;Teton
WY;WY391;Teton
WY;I-80;Uinta
WY;US189;Uinta
WY;WY89;Uinta
WY;WY150;Uinta
WY;WY410;Uinta
WY;WY411;Uinta
WY;WY412;Uinta
WY;WY413;Uinta
WY;WY414;Uinta
WY;US16;Washakie
WY;US20;Washakie
WY;WY431;Washakie
WY;WY432;Washakie
WY;WY433;Washakie
WY;WY434;Washakie
WY;WY435;Washakie
WY;WY436;Washakie
WY;WY789;Washakie
WY;US16;Weston
WY;US85;Weston
WY;WY116;Weston
WY;WY450;Weston
WY;WY451;Weston
WY;WY585;Weston
