systemName;region;route
usai;MO;I-29
usai;MO;I-35
usai;MO;I-44
usai;MO;I-49
usai;MO;I-55
usai;MO;I-57
usai;MO;I-64
usai;MO;I-70
usai;MO;I-72
usai;MO;I-155
usai;MO;I-170
usai;MO;I-229
usai;MO;I-255
usai;MO;I-270
usai;MO;I-435
usai;MO;I-470
usai;MO;I-635
usai;MO;I-670
usaus;MO;US24
usaus;MO;US36
usaus;MO;US40
usaus;MO;US50
usaus;MO;US54
usaus;MO;US56
usaus;MO;US59
usaus;MO;US60
usaus;MO;US61
usaus;MO;US62
usaus;MO;US63
usaus;MO;US65
usaus;MO;US67
usaus;MO;US69
usaus;MO;US71
usaus;MO;US136
usaus;MO;US159
usaus;MO;US160
usaus;MO;US166
usaus;MO;US169
usaus;MO;US275
usaus;MO;US400
usaus;MO;US412
usamo;MO;MO1
usamo;MO;MO2
usamo;MO;MO3
usamo;MO;MO5
usamo;MO;MO6
usamo;MO;MO7
usamo;MO;MO8
usamo;MO;MO9
usamo;MO;MO10
usamo;MO;MO11
usamo;MO;MO12
usamo;MO;MO13
usamo;MO;MO14
usamo;MO;MO15
usamo;MO;MO16
usamo;MO;MO17
usamo;MO;MO18
usamo;MO;MO19
usamo;MO;MO20
usamo;MO;MO21
usamo;MO;MO22
usamo;MO;MO23
usamo;MO;MO25
usamo;MO;MO27
usamo;MO;MO28
usamo;MO;MO30
usamo;MO;MO31
usamo;MO;MO32
usamo;MO;MO33
usamo;MO;MO34
usamo;MO;MO37
usamo;MO;MO38
usamo;MO;MO39
usamo;MO;MO41
usamo;MO;MO42
usamo;MO;MO43
usamo;MO;MO45
usamo;MO;MO46
usamo;MO;MO47
usamo;MO;MO48
usamo;MO;MO49
usamo;MO;MO51
usamo;MO;MO52
usamo;MO;MO53
usamo;MO;MO58
usamo;MO;MO59
usamo;MO;MO64
usamo;MO;MO64A
usamo;MO;MO64B
usamo;MO;MO66
usamo;MO;MO68
usamo;MO;MO72
usamo;MO;MO73
usamo;MO;MO74
usamo;MO;MO75
usamo;MO;MO76
usamo;MO;MO77
usamo;MO;MO78
usamo;MO;MO79
usamo;MO;MO80
usamo;MO;MO81
usamo;MO;MO82
usamo;MO;MO83
usamo;MO;MO84
usamo;MO;MO85
usamo;MO;MO86
usamo;MO;MO87
usamo;MO;MO89
usamo;MO;MO90
usamo;MO;MO91
usamo;MO;MO92
usamo;MO;MO94
usamo;MO;MO95
usamo;MO;MO96
usamo;MO;MO97
usamo;MO;MO98
usamo;MO;MO99
usamo;MO;MO100
usamo;MO;MO101
usamo;MO;MO102
usamo;MO;MO103
usamo;MO;MO104
usamo;MO;MO105
usamo;MO;MO106
usamo;MO;MO107
usamo;MO;MO108
usamo;MO;MO109
usamo;MO;MO110
usamo;MO;MO111
usamo;MO;MO112
usamo;MO;MO113
usamo;MO;MO114
usamo;MO;MO115
usamo;MO;MO116
usamo;MO;MO117
usamo;MO;MO118
usamo;MO;MO119
usamo;MO;MO120
usamo;MO;MO121
usamo;MO;MO123
usamo;MO;MO124
usamo;MO;MO125
usamo;MO;MO126
usamo;MO;MO127
usamo;MO;MO128
usamo;MO;MO129
usamo;MO;MO130
usamo;MO;MO131
usamo;MO;MO133
usamo;MO;MO134
usamo;MO;MO135
usamo;MO;MO137
usamo;MO;MO138
usamo;MO;MO139
usamo;MO;MO141
usamo;MO;MO142
usamo;MO;MO143
usamo;MO;MO144
usamo;MO;MO145
usamo;MO;MO146
usamo;MO;MO147
usamo;MO;MO148
usamo;MO;MO149
usamo;MO;MO150
usamo;MO;MO151
usamo;MO;MO152
usamo;MO;MO153
usamo;MO;MO154
usamo;MO;MO156
usamo;MO;MO157
usamo;MO;MO158
usamo;MO;MO161
usamo;MO;MO162
usamo;MO;MO163
usamo;MO;MO164
usamo;MO;MO165
usamo;MO;MO168
usamo;MO;MO171
usamo;MO;MO172
usamo;MO;MO173
usamo;MO;MO174
usamo;MO;MO175
usamo;MO;MO176
usamo;MO;MO177
usamo;MO;MO179
usamo;MO;MO180
usamo;MO;MO181
usamo;MO;MO185
usamo;MO;MO187
usamo;MO;MO190
usamo;MO;MO202
usamo;MO;MO210
usamo;MO;MO213
usamo;MO;MO215
usamo;MO;MO221
usamo;MO;MO224
usamo;MO;MO231
usamo;MO;MO240
usamo;MO;MO242
usamo;MO;MO245
usamo;MO;MO246
usamo;MO;MO248
usamo;MO;MO249
usamo;MO;MO254
usamo;MO;MO265
usamo;MO;MO266
usamo;MO;MO267
usamo;MO;MO273
usamo;MO;MO283
usamo;MO;MO291
usamo;MO;MO340
usamo;MO;MO350
usamo;MO;MO360
usamo;MO;MO364
usamo;MO;MO366
usamo;MO;MO367
usamo;MO;MO370
usamo;MO;MO371
usamo;MO;MO376
usamo;MO;MO413
usamo;MO;MO571
usamo;MO;MO740
usamo;MO;MO744
usamo;MO;MO752
usamo;MO;MO759
usamo;MO;MO763
usamo;MO;MO765
