systemName;region;route
usai;NY;I-78
usai;NY;I-81
usai;NY;I-84
usai;NY;I-86
usai;NY;I-87
usai;NY;I-88
usai;NY;I-90
usai;NY;I-95
usai;NY;I-99
usai;NY;I-190
usai;NY;I-278
usai;NY;I-287
usai;NY;I-290
usai;NY;I-295
usai;NY;I-390
usai;NY;I-481
usai;NY;I-490
usai;NY;I-495
usai;NY;I-587
usai;NY;I-590
usai;NY;I-678
usai;NY;I-684
usai;NY;I-690
usai;NY;I-695
usai;NY;I-781
usai;NY;I-787
usai;NY;I-790
usai;NY;I-890
usai;NY;I-990
usaus;NY;US1
usaus;NY;US2
usaus;NY;US4
usaus;NY;US6
usaus;NY;US9
usaus;NY;US9W
usaus;NY;US11
usaus;NY;US15
usaus;NY;US20
usaus;NY;US44
usaus;NY;US62
usaus;NY;US202
usaus;NY;US209
usaus;NY;US219
usany;NY;NY2
usany;NY;NY3
usany;NY;NY3A
usany;NY;NY5
usany;NY;NY5A
usany;NY;NY5S
usany;NY;NY6N
usany;NY;NY7
usany;NY;NY8
usany;NY;NY9A
usany;NY;NY9B
usany;NY;NY9D
usany;NY;NY9G
usany;NY;NY9H
usany;NY;NY9J
usany;NY;NY9L
usany;NY;NY9N
usany;NY;NY9P
usany;NY;NY9R
usany;NY;NY10
usany;NY;NY11A
usany;NY;NY11B
usany;NY;NY11C
usany;NY;NY12
usany;NY;NY12B
usany;NY;NY12D
usany;NY;NY12E
usany;NY;NY12F
usany;NY;NY13
usany;NY;NY14
usany;NY;NY14A
usany;NY;NY15
usany;NY;NY15A
usany;NY;NY16
usany;NY;NY17
usany;NY;NY17A
usany;NY;NY17B
usany;NY;NY17C
usany;NY;NY17K
usany;NY;NY17M
usany;NY;NY18
usany;NY;NY18F
usany;NY;NY19
usany;NY;NY19A
usany;NY;NY21
usany;NY;NY22
usany;NY;NY22A
usany;NY;NY22B
usany;NY;NY23
usany;NY;NY23A
usany;NY;NY23B
usany;NY;NY24
usany;NY;NY25
usany;NY;NY25A
usany;NY;NY25B
usany;NY;NY26
usany;NY;NY27
usany;NY;NY27A
usany;NY;NY28
usany;NY;NY28A
usany;NY;NY28N
usany;NY;NY29
usany;NY;NY29A
usany;NY;NY30
usany;NY;NY30A
usany;NY;NY31
usany;NY;NY31A
usany;NY;NY31E
usany;NY;NY31F
