systemName;region;route
cantch;SK;TCHSK
cansk;SK;SK1
cansk;SK;SK2
cansk;SK;SK3
cansk;SK;SK4
cansk;SK;SK5
cansk;SK;SK6
cansk;SK;SK7
cansk;SK;SK8
cansk;SK;SK9
cansk;SK;SK10
cansk;SK;SK11
cansk;SK;SK12
cansk;SK;SK13
cansk;SK;SK14
cansk;SK;SK15
cansk;SK;SK16
cansk;SK;SK17
cansk;SK;SK18
cansk;SK;SK19
cansk;SK;SK20
cansk;SK;SK21
cansk;SK;SK22
cansk;SK;SK23
cansk;SK;SK24
cansk;SK;SK25
cansk;SK;SK26
cansk;SK;SK27
cansk;SK;SK28
cansk;SK;SK29
cansk;SK;SK30
cansk;SK;SK31
cansk;SK;SK32
cansk;SK;SK33
cansk;SK;SK34
cansk;SK;SK35
cansk;SK;SK36
cansk;SK;SK37
cansk;SK;SK38
cansk;SK;SK39
cansk;SK;SK40
cansk;SK;SK41
cansk;SK;SK42
cansk;SK;SK43
cansk;SK;SK44
cansk;SK;SK45
cansk;SK;SK46
cansk;SK;SK47
cansk;SK;SK48
cansk;SK;SK49
cansk;SK;SK51
cansk;SK;SK52
cansk;SK;SK54
cansk;SK;SK55
cansk;SK;SK56
cansk;SK;SK57
cansk;SK;SK58
cansk;SK;SK60
cansk;SK;SK80
cansk;SK;SK99
cansk;SK;SK102
cansk;SK;SK106
cansk;SK;SK120
cansk;SK;SK123
cansk;SK;SK135
cansk;SK;SK155
cansk;SK;SK165
cansk;SK;SK167
cansk;SK;SK201
cansk;SK;SK202
cansk;SK;SK204
cansk;SK;SK209
cansk;SK;SK210
cansk;SK;SK211
cansk;SK;SK212
cansk;SK;SK219
cansk;SK;SK220
cansk;SK;SK224
cansk;SK;SK225
cansk;SK;SK229
cansk;SK;SK240
cansk;SK;SK247
cansk;SK;SK255
cansk;SK;SK263
cansk;SK;SK264
cansk;SK;SK265
cansk;SK;SK271
cansk;SK;SK301
cansk;SK;SK302
cansk;SK;SK303
cansk;SK;SK304
cansk;SK;SK305
cansk;SK;SK306
cansk;SK;SK307
cansk;SK;SK308
cansk;SK;SK309
cansk;SK;SK310
cansk;SK;SK312
cansk;SK;SK316
cansk;SK;SK317
cansk;SK;SK318
cansk;SK;SK320
cansk;SK;SK321
cansk;SK;SK322
cansk;SK;SK324
cansk;SK;SK332
cansk;SK;SK334
cansk;SK;SK335
cansk;SK;SK339
cansk;SK;SK340
cansk;SK;SK342
cansk;SK;SK343
cansk;SK;SK349
cansk;SK;SK350
cansk;SK;SK354
cansk;SK;SK355
cansk;SK;SK357
cansk;SK;SK358
cansk;SK;SK361
cansk;SK;SK363
cansk;SK;SK364
cansk;SK;SK365
cansk;SK;SK367
cansk;SK;SK368
cansk;SK;SK369
cansk;SK;SK371
cansk;SK;SK373
cansk;SK;SK374
cansk;SK;SK376
cansk;SK;SK377
cansk;SK;SK378
cansk;SK;SK379
cansk;SK;SK381
cansk;SK;SK394
cansk;SK;SK397
canskm;SK;SK600
canskm;SK;SK601
canskm;SK;SK602
canskm;SK;SK603
canskm;SK;SK604
canskm;SK;SK605
canskm;SK;SK606
canskm;SK;SK609
canskm;SK;SK610
canskm;SK;SK611
canskm;SK;SK612
canskm;SK;SK613
canskm;SK;SK614
canskm;SK;SK615
canskm;SK;SK616
canskm;SK;SK617
canskm;SK;SK618
canskm;SK;SK619
canskm;SK;SK620
canskm;SK;SK621
canskm;SK;SK622
canskm;SK;SK623
canskm;SK;SK624
canskm;SK;SK625
canskm;SK;SK627
canskm;SK;SK628
canskm;SK;SK630
canskm;SK;SK631
canskm;SK;SK632
canskm;SK;SK633
canskm;SK;SK635
canskm;SK;SK636
canskm;SK;SK637
canskm;SK;SK638
canskm;SK;SK639
canskm;SK;SK640
canskm;SK;SK641
canskm;SK;SK642
canskm;SK;SK643
canskm;SK;SK644
canskm;SK;SK645
canskm;SK;SK646
canskm;SK;SK647
canskm;SK;SK649
canskm;SK;SK650
canskm;SK;SK651
canskm;SK;SK652
canskm;SK;SK653
canskm;SK;SK654
canskm;SK;SK655
canskm;SK;SK656
canskm;SK;SK657
canskm;SK;SK658
canskm;SK;SK659
canskm;SK;SK660
canskm;SK;SK661
canskm;SK;SK662
canskm;SK;SK663
canskm;SK;SK664
canskm;SK;SK665
canskm;SK;SK667
canskm;SK;SK668
canskm;SK;SK669
canskm;SK;SK670
canskm;SK;SK671
canskm;SK;SK672
canskm;SK;SK673
canskm;SK;SK674
canskm;SK;SK675
canskm;SK;SK676
canskm;SK;SK677
canskm;SK;SK678
canskm;SK;SK679
canskm;SK;SK680
canskm;SK;SK681
canskm;SK;SK682
canskm;SK;SK683
canskm;SK;SK684
canskm;SK;SK685
canskm;SK;SK686
canskm;SK;SK687
canskm;SK;SK688
canskm;SK;SK690
canskm;SK;SK691
canskm;SK;SK692
canskm;SK;SK693
canskm;SK;SK694
canskm;SK;SK695
canskm;SK;SK696
canskm;SK;SK697
canskm;SK;SK698
canskm;SK;SK699
canskm;SK;SK702
canskm;SK;SK703
canskm;SK;SK704
canskm;SK;SK705
canskm;SK;SK707
canskm;SK;SK709
canskm;SK;SK711
canskm;SK;SK714
canskm;SK;SK715
canskm;SK;SK716
canskm;SK;SK717
canskm;SK;SK718
canskm;SK;SK720
canskm;SK;SK721
canskm;SK;SK722
canskm;SK;SK724
canskm;SK;SK725
canskm;SK;SK726
canskm;SK;SK727
canskm;SK;SK728
canskm;SK;SK729
canskm;SK;SK730
canskm;SK;SK731
canskm;SK;SK732
canskm;SK;SK733
canskm;SK;SK734
canskm;SK;SK735
canskm;SK;SK737
canskm;SK;SK738
canskm;SK;SK740
canskm;SK;SK741
canskm;SK;SK742
canskm;SK;SK743
canskm;SK;SK746
canskm;SK;SK747
canskm;SK;SK749
canskm;SK;SK751
canskm;SK;SK752
canskm;SK;SK753
canskm;SK;SK754
canskm;SK;SK755
canskm;SK;SK756
canskm;SK;SK758
canskm;SK;SK761
canskm;SK;SK762
canskm;SK;SK763
canskm;SK;SK764
canskm;SK;SK767
canskm;SK;SK768
canskm;SK;SK769
canskm;SK;SK771
canskm;SK;SK772
canskm;SK;SK773
canskm;SK;SK774
canskm;SK;SK776
canskm;SK;SK777
canskm;SK;SK778
canskm;SK;SK779
canskm;SK;SK780
canskm;SK;SK781
canskm;SK;SK782
canskm;SK;SK783
canskm;SK;SK784
canskm;SK;SK785
canskm;SK;SK786
canskm;SK;SK787
canskm;SK;SK788
canskm;SK;SK789
canskm;SK;SK790
canskm;SK;SK791
canskm;SK;SK792
canskm;SK;SK793
canskm;SK;SK794
canskm;SK;SK795
canskm;SK;SK796
canskm;SK;SK797
canskm;SK;SK798
canskm;SK;SK799
canskn;SK;SK903
canskn;SK;SK904
canskn;SK;SK905
canskn;SK;SK908
canskn;SK;SK909
canskn;SK;SK910
canskn;SK;SK911
canskn;SK;SK912
canskn;SK;SK913
canskn;SK;SK914
canskn;SK;SK915
canskn;SK;SK916
canskn;SK;SK918
canskn;SK;SK919
canskn;SK;SK920
canskn;SK;SK921
canskn;SK;SK922
canskn;SK;SK924
canskn;SK;SK925
canskn;SK;SK926
canskn;SK;SK929
canskn;SK;SK931
canskn;SK;SK932
canskn;SK;SK933
canskn;SK;SK935
canskn;SK;SK936
canskn;SK;SK940
canskn;SK;SK941
canskn;SK;SK942
canskn;SK;SK943
canskn;SK;SK945
canskn;SK;SK946
canskn;SK;SK950
canskn;SK;SK951
canskn;SK;SK953
canskn;SK;SK954
canskn;SK;SK955
canskn;SK;SK956
canskn;SK;SK964
canskn;SK;SK965
canskn;SK;SK966
canskn;SK;SK969
canskn;SK;SK970
canskn;SK;SK980
canskn;SK;SK982
canskn;SK;SK983
canskn;SK;SK984
