systemName;region;route
usai;TN;I-24
usai;TN;I-26
usai;TN;I-40
usai;TN;I-55
usai;TN;I-65
usai;TN;I-75
usai;TN;I-81
usai;TN;I-140
usai;TN;I-155
usai;TN;I-240
usai;TN;I-269
usai;TN;I-275
usai;TN;I-440
usai;TN;I-640
usai;TN;I-840
usaus;TN;US11
usaus;TN;US11E
usaus;TN;US11W
usaus;TN;US19
usaus;TN;US19E
usaus;TN;US19W
usaus;TN;US23
usaus;TN;US25
usaus;TN;US25E
usaus;TN;US25W
usaus;TN;US27
usaus;TN;US31
usaus;TN;US31E
usaus;TN;US31W
usaus;TN;US41
usaus;TN;US43
usaus;TN;US45
usaus;TN;US45E
usaus;TN;US45W
usaus;TN;US51
usaus;TN;US58
usaus;TN;US61
usaus;TN;US64
usaus;TN;US70
usaus;TN;US70N
usaus;TN;US70S
usaus;TN;US72
usaus;TN;US74
usaus;TN;US76
usaus;TN;US78
usaus;TN;US79
usaus;TN;US127
usaus;TN;US129
usaus;TN;US231
usaus;TN;US321
usaus;TN;US411
usaus;TN;US412
usaus;TN;US421
usaus;TN;US431
usaus;TN;US441
usaus;TN;US641
usatn;TN;TN1
usatn;TN;TN2
usatn;TN;TN3
usatn;TN;TN5
usatn;TN;TN7
usatn;TN;TN8
usatn;TN;TN10
usatn;TN;TN11
usatn;TN;TN12
usatn;TN;TN13
usatn;TN;TN14
usatn;TN;TN15
usatn;TN;TN16
usatn;TN;TN17
usatn;TN;TN18
usatn;TN;TN19
usatn;TN;TN20
usatn;TN;TN21
usatn;TN;TN22
usatn;TN;TN25
usatn;TN;TN27
usatn;TN;TN28
usatn;TN;TN29
usatn;TN;TN30
usatn;TN;TN31
usatn;TN;TN32
usatn;TN;TN33
usatn;TN;TN35
usatn;TN;TN39
usatn;TN;TN43
usatn;TN;TN44
usatn;TN;TN45
usatn;TN;TN46
usatn;TN;TN47
usatn;TN;TN48
usatn;TN;TN49
usatn;TN;TN50
usatn;TN;TN51
usatn;TN;TN52
usatn;TN;TN53
usatn;TN;TN54
usatn;TN;TN55
usatn;TN;TN56
usatn;TN;TN57
usatn;TN;TN58
usatn;TN;TN59
usatn;TN;TN60
usatn;TN;TN61
usatn;TN;TN62
usatn;TN;TN63
usatn;TN;TN64
usatn;TN;TN66
usatn;TN;TN67
usatn;TN;TN68
usatn;TN;TN69
usatn;TN;TN70
usatn;TN;TN71
usatn;TN;TN72
usatn;TN;TN73
usatn;TN;TN74
usatn;TN;TN75
usatn;TN;TN76
usatn;TN;TN77
usatn;TN;TN78
usatn;TN;TN79
usatn;TN;TN80
usatn;TN;TN81
usatn;TN;TN82
usatn;TN;TN83
usatn;TN;TN84
usatn;TN;TN85
usatn;TN;TN87
usatn;TN;TN88
usatn;TN;TN89
usatn;TN;TN90
usatn;TN;TN91
usatn;TN;TN92
usatn;TN;TN93
usatn;TN;TN94
usatn;TN;TN95
usatn;TN;TN96
usatn;TN;TN97
usatn;TN;TN98
usatn;TN;TN99
usatn;TN;TN100
usatn;TN;TN101
usatn;TN;TN102
usatn;TN;TN103
usatn;TN;TN104
usatn;TN;TN105
usatn;TN;TN107
usatn;TN;TN108
usatn;TN;TN109
usatn;TN;TN110
usatn;TN;TN111
usatn;TN;TN113
usatn;TN;TN114
usatn;TN;TN116
usatn;TN;TN117
usatn;TN;TN118
usatn;TN;TN119
usatn;TN;TN120
usatn;TN;TN121
usatn;TN;TN122
usatn;TN;TN123
usatn;TN;TN124
usatn;TN;TN125
usatn;TN;TN126
usatn;TN;TN127
usatn;TN;TN128
usatn;TN;TN129
usatn;TN;TN130
usatn;TN;TN131
usatn;TN;TN133
usatn;TN;TN134
usatn;TN;TN135
usatn;TN;TN136
usatn;TN;TN137
usatn;TN;TN138
usatn;TN;TN139
usatn;TN;TN140
usatn;TN;TN141
usatn;TN;TN142
usatn;TN;TN143
usatn;TN;TN144
usatn;TN;TN145
usatn;TN;TN146
usatn;TN;TN147
usatn;TN;TN148
usatn;TN;TN149
usatn;TN;TN151
usatn;TN;TN152
usatn;TN;TN153
usatn;TN;TN154
usatn;TN;TN155
usatn;TN;TN156
usatn;TN;TN157
usatn;TN;TN158
usatn;TN;TN160
usatn;TN;TN161
usatn;TN;TN162
usatn;TN;TN163
usatn;TN;TN164
usatn;TN;TN165
usatn;TN;TN166
usatn;TN;TN167
usatn;TN;TN168
usatn;TN;TN169
usatn;TN;TN170
usatn;TN;TN171
usatn;TN;TN172
usatn;TN;TN173
usatn;TN;TN174
usatn;TN;TN175
usatn;TN;TN176
usatn;TN;TN177
usatn;TN;TN178
usatn;TN;TN179
usatn;TN;TN180
usatn;TN;TN181
usatn;TN;TN182
usatn;TN;TN183
usatn;TN;TN184
usatn;TN;TN185
usatn;TN;TN186
usatn;TN;TN187
usatn;TN;TN188
usatn;TN;TN189
usatn;TN;TN190
usatn;TN;TN191
usatn;TN;TN192
usatn;TN;TN193
usatn;TN;TN194
usatn;TN;TN195
usatn;TN;TN196
usatn;TN;TN197
usatn;TN;TN198
usatn;TN;TN199
usatn;TN;TN200
usatn;TN;TN201
usatn;TN;TN202
usatn;TN;TN203
usatn;TN;TN204
usatn;TN;TN205
usatn;TN;TN206
usatn;TN;TN207
usatn;TN;TN208
usatn;TN;TN209
usatn;TN;TN210
usatn;TN;TN211
usatn;TN;TN212
usatn;TN;TN213
usatn;TN;TN214
usatn;TN;TN216
usatn;TN;TN217
usatn;TN;TN218
usatn;TN;TN219
usatn;TN;TN220
usatn;TN;TN221
usatn;TN;TN222
usatn;TN;TN223
usatn;TN;TN224
usatn;TN;TN225
usatn;TN;TN226
usatn;TN;TN227
usatn;TN;TN228
usatn;TN;TN229
usatn;TN;TN230
usatn;TN;TN231
usatn;TN;TN232
usatn;TN;TN233
usatn;TN;TN234
usatn;TN;TN235
usatn;TN;TN236
usatn;TN;TN237
usatn;TN;TN238
usatn;TN;TN239
usatn;TN;TN240
usatn;TN;TN241
usatn;TN;TN242
usatn;TN;TN243
usatn;TN;TN244
usatn;TN;TN245
usatn;TN;TN246
usatn;TN;TN247
usatn;TN;TN248
usatn;TN;TN249
usatn;TN;TN250
usatn;TN;TN251
usatn;TN;TN252
usatn;TN;TN253
usatn;TN;TN254
usatn;TN;TN255
usatn;TN;TN256
usatn;TN;TN257
usatn;TN;TN258
usatn;TN;TN259
usatn;TN;TN260
usatn;TN;TN261
usatn;TN;TN262
usatn;TN;TN263
usatn;TN;TN264
usatn;TN;TN265
usatn;TN;TN266
usatn;TN;TN267
usatn;TN;TN268
usatn;TN;TN269
usatn;TN;TN270
usatn;TN;TN271
usatn;TN;TN272
usatn;TN;TN273
usatn;TN;TN274
usatn;TN;TN275
usatn;TN;TN276
usatn;TN;TN277
usatn;TN;TN278
usatn;TN;TN279
usatn;TN;TN280
usatn;TN;TN281
usatn;TN;TN282
usatn;TN;TN283
usatn;TN;TN284
usatn;TN;TN285
usatn;TN;TN286
usatn;TN;TN287
usatn;TN;TN288
usatn;TN;TN289
usatn;TN;TN290
usatn;TN;TN291
usatn;TN;TN292
usatn;TN;TN293
usatn;TN;TN294
usatn;TN;TN295
usatn;TN;TN296
usatn;TN;TN297
usatn;TN;TN298
usatn;TN;TN299
usatn;TN;TN301
usatn;TN;TN302
usatn;TN;TN303
usatn;TN;TN304
usatn;TN;TN305
usatn;TN;TN306
usatn;TN;TN307
usatn;TN;TN308
usatn;TN;TN309
usatn;TN;TN310
usatn;TN;TN312
usatn;TN;TN313
usatn;TN;TN314
usatn;TN;TN315
usatn;TN;TN317
usatn;TN;TN318
usatn;TN;TN319
usatn;TN;TN320
usatn;TN;TN321
usatn;TN;TN322
usatn;TN;TN323
usatn;TN;TN324
usatn;TN;TN325
usatn;TN;TN326
usatn;TN;TN327
usatn;TN;TN328
usatn;TN;TN329
usatn;TN;TN330
usatn;TN;TN331
usatn;TN;TN332
usatn;TN;TN333
usatn;TN;TN334
usatn;TN;TN335
usatn;TN;TN336
usatn;TN;TN338
usatn;TN;TN339
usatn;TN;TN340
usatn;TN;TN341
usatn;TN;TN342
usatn;TN;TN343
usatn;TN;TN344
usatn;TN;TN345
usatn;TN;TN346
usatn;TN;TN347
usatn;TN;TN348
usatn;TN;TN349
usatn;TN;TN350
usatn;TN;TN351
usatn;TN;TN352
usatn;TN;TN353
usatn;TN;TN354
usatn;TN;TN355
usatn;TN;TN356
usatn;TN;TN357
usatn;TN;TN358
usatn;TN;TN359
usatn;TN;TN360
usatn;TN;TN361
usatn;TN;TN362
usatn;TN;TN363
usatn;TN;TN365
usatn;TN;TN367
usatn;TN;TN368
usatn;TN;TN369
usatn;TN;TN370
usatn;TN;TN371
usatn;TN;TN373
usatn;TN;TN374
usatn;TN;TN375
usatn;TN;TN377
usatn;TN;TN378
usatn;TN;TN379
usatn;TN;TN380
usatn;TN;TN381
usatn;TN;TN382
usatn;TN;TN384
usatn;TN;TN385
usatn;TN;TN386
usatn;TN;TN388
usatn;TN;TN390
usatn;TN;TN392
usatn;TN;TN394
usatn;TN;TN395
usatn;TN;TN396
usatn;TN;TN397
usatn;TN;TN399
usatn;TN;TN400
usatn;TN;TN416
usatn;TN;TN417
usatn;TN;TN418
usatn;TN;TN419
usatn;TN;TN420
usatn;TN;TN421
usatn;TN;TN422
usatn;TN;TN423
usatn;TN;TN424
usatn;TN;TN425
usatn;TN;TN431
usatn;TN;TN434
usatn;TN;TN435
usatn;TN;TN436
usatn;TN;TN437
usatn;TN;TN438
usatn;TN;TN441
usatn;TN;TN443
usatn;TN;TN444
usatn;TN;TN445
usatn;TN;TN446
usatn;TN;TN447
usatn;TN;TN448
usatn;TN;TN449
usatn;TN;TN452
usatn;TN;TN454
usatn;TN;TN455
usatn;TN;TN456
usatn;TN;TN457
usatn;TN;TN460
usatn;TN;TN461
usatn;TN;TN462
usatn;TN;TN476
usatn;TN;TN477
usatn;TN;TN690
