systemName;region;route
usai;VA;I-64
usai;VA;I-66
usai;VA;I-77
usai;VA;I-81
usai;VA;I-85
usai;VA;I-95
usai;VA;I-195
usai;VA;I-264
usai;VA;I-295
usai;VA;I-381
usai;VA;I-395
usai;VA;I-464
usai;VA;I-495
usai;VA;I-564
usai;VA;I-581
usai;VA;I-664
usaus;VA;US1
usaus;VA;US11
usaus;VA;US11E
usaus;VA;US11W
usaus;VA;US13
usaus;VA;US15
usaus;VA;US17
usaus;VA;US19
usaus;VA;US21
usaus;VA;US23
usaus;VA;US29
usaus;VA;US33
usaus;VA;US48
usaus;VA;US50
usaus;VA;US52
usaus;VA;US58
usaus;VA;US60
usaus;VA;US121
usaus;VA;US211
usaus;VA;US219
usaus;VA;US220
usaus;VA;US221
usaus;VA;US250
usaus;VA;US258
usaus;VA;US301
usaus;VA;US311
usaus;VA;US340
usaus;VA;US360
usaus;VA;US421
usaus;VA;US460
usaus;VA;US501
usaus;VA;US522
usava;VA;VA2
usava;VA;VA3
usava;VA;VA4
usava;VA;VA5
usava;VA;VA6
usava;VA;VA7
usava;VA;VA8
usava;VA;VA9
usava;VA;VA10
usava;VA;VA13
usava;VA;VA14
usava;VA;VA16
usava;VA;VA18
usava;VA;VA20
usava;VA;VA22
usava;VA;VA24
usava;VA;VA26
usava;VA;VA27
usava;VA;VA28
usava;VA;VA30
usava;VA;VA31
usava;VA;VA32
usava;VA;VA33
usava;VA;VA34
usava;VA;VA35
usava;VA;VA36
usava;VA;VA37
usava;VA;VA38
usava;VA;VA39
usava;VA;VA40
usava;VA;VA41
usava;VA;VA42
usava;VA;VA43
usava;VA;VA45
usava;VA;VA46
usava;VA;VA47
usava;VA;VA49
usava;VA;VA51
usava;VA;VA53
usava;VA;VA54
usava;VA;VA55
usava;VA;VA56
usava;VA;VA57
usava;VA;VA59
usava;VA;VA61
usava;VA;VA62
usava;VA;VA63
usava;VA;VA65
usava;VA;VA67
usava;VA;VA68
usava;VA;VA69
usava;VA;VA70
usava;VA;VA71
usava;VA;VA72
usava;VA;VA73
usava;VA;VA74
usava;VA;VA75
usava;VA;VA76
usava;VA;VA78
usava;VA;VA79
usava;VA;VA80
usava;VA;VA82
usava;VA;VA83
usava;VA;VA84
usava;VA;VA86
usava;VA;VA87
usava;VA;VA89
usava;VA;VA90
usava;VA;VA91
usava;VA;VA92
usava;VA;VA93
usava;VA;VA94
usava;VA;VA96
usava;VA;VA97
usava;VA;VA98
usava;VA;VA99
usava;VA;VA100
usava;VA;VA101
usava;VA;VA102
usava;VA;VA103
usava;VA;VA105
usava;VA;VA106
usava;VA;VA107
usava;VA;VA108
usava;VA;VA109
usava;VA;VA110
usava;VA;VA111
usava;VA;VA112
usava;VA;VA114
usava;VA;VA115
usava;VA;VA116
usava;VA;VA117
usava;VA;VA118
usava;VA;VA119
usava;VA;VA120
usava;VA;VA121
usava;VA;VA122
usava;VA;VA123
usava;VA;VA124
usava;VA;VA125
usava;VA;VA126
usava;VA;VA127
usava;VA;VA128
usava;VA;VA129
usava;VA;VA130
usava;VA;VA131
usava;VA;VA132
usava;VA;VA133
usava;VA;VA134
usava;VA;VA135
usava;VA;VA136
usava;VA;VA137
usava;VA;VA138
usava;VA;VA139
usava;VA;VA140
usava;VA;VA141
usava;VA;VA142
usava;VA;VA143
usava;VA;VA144
usava;VA;VA145
usava;VA;VA146
usava;VA;VA147
usava;VA;VA148
usava;VA;VA149
usava;VA;VA150
usava;VA;VA151
usava;VA;VA152
usava;VA;VA153
usava;VA;VA154
usava;VA;VA155
usava;VA;VA156
usava;VA;VA157
usava;VA;VA158
usava;VA;VA159
usava;VA;VA160
usava;VA;VA161
usava;VA;VA162
usava;VA;VA163
usava;VA;VA164
usava;VA;VA165
usava;VA;VA166
usava;VA;VA167
usava;VA;VA168
usava;VA;VA169
usava;VA;VA170
usava;VA;VA171
usava;VA;VA172
usava;VA;VA173
usava;VA;VA174
usava;VA;VA175
usava;VA;VA176
usava;VA;VA177
usava;VA;VA178
usava;VA;VA179
usava;VA;VA180
usava;VA;VA181
usava;VA;VA182
usava;VA;VA183
usava;VA;VA184
usava;VA;VA185
usava;VA;VA186
usava;VA;VA187
usava;VA;VA188
usava;VA;VA189
usava;VA;VA190
usava;VA;VA191
usava;VA;VA193
usava;VA;VA194
usava;VA;VA195
usava;VA;VA196
usava;VA;VA197
usava;VA;VA198
usava;VA;VA199
usava;VA;VA200
usava;VA;VA201
usava;VA;VA202
usava;VA;VA203
usava;VA;VA204
usava;VA;VA205
usava;VA;VA206
usava;VA;VA207
usava;VA;VA208
usava;VA;VA210
usava;VA;VA211
usava;VA;VA212
usava;VA;VA214
usava;VA;VA215
usava;VA;VA216
usava;VA;VA217
usava;VA;VA218
usava;VA;VA222
usava;VA;VA223
usava;VA;VA224
usava;VA;VA225
usava;VA;VA226
usava;VA;VA227
usava;VA;VA228
usava;VA;VA229
usava;VA;VA230
usava;VA;VA231
usava;VA;VA232
usava;VA;VA233
usava;VA;VA234
usava;VA;VA235
usava;VA;VA236
usava;VA;VA237
usava;VA;VA238
usava;VA;VA239
usava;VA;VA240
usava;VA;VA241
usava;VA;VA242
usava;VA;VA243
usava;VA;VA244
usava;VA;VA245
usava;VA;VA247
usava;VA;VA249
usava;VA;VA251
usava;VA;VA252
usava;VA;VA253
usava;VA;VA254
usava;VA;VA255
usava;VA;VA256
usava;VA;VA257
usava;VA;VA258
usava;VA;VA259
usava;VA;VA262
usava;VA;VA263
usava;VA;VA267
usava;VA;VA269
usava;VA;VA270
usava;VA;VA271
usava;VA;VA272
usava;VA;VA273
usava;VA;VA274
usava;VA;VA276
usava;VA;VA277
usava;VA;VA278
usava;VA;VA279
usava;VA;VA280
usava;VA;VA281
usava;VA;VA285
usava;VA;VA286
usava;VA;VA287
usava;VA;VA288
usava;VA;VA289
usava;VA;VA290
usava;VA;VA292
usava;VA;VA293
usava;VA;VA294
usava;VA;VA296
usava;VA;VA298
usava;VA;VA299
usava;VA;VA300
usava;VA;VA304
usava;VA;VA305
usava;VA;VA306
usava;VA;VA307
usava;VA;VA308
usava;VA;VA309
usava;VA;VA310
usava;VA;VA311
usava;VA;VA312
usava;VA;VA314
usava;VA;VA316
usava;VA;VA319
usava;VA;VA320
usava;VA;VA321
usava;VA;VA322
usava;VA;VA323
usava;VA;VA326
usava;VA;VA330
usava;VA;VA331
usava;VA;VA334
usava;VA;VA336
usava;VA;VA337
usava;VA;VA338
usava;VA;VA341
usava;VA;VA343
usava;VA;VA344
usava;VA;VA346
usava;VA;VA347
usava;VA;VA348
usava;VA;VA351
usava;VA;VA352
usava;VA;VA353
usava;VA;VA354
usava;VA;VA356
usava;VA;VA358
usava;VA;VA359
usava;VA;VA360
usava;VA;VA361
usava;VA;VA362
usava;VA;VA363
usava;VA;VA364
usava;VA;VA365
usava;VA;VA369
usava;VA;VA370
usava;VA;VA371
usava;VA;VA373
usava;VA;VA374
usava;VA;VA375
usava;VA;VA376
usava;VA;VA378
usava;VA;VA379
usava;VA;VA380
usava;VA;VA383
usava;VA;VA385
usava;VA;VA387
usava;VA;VA391
usava;VA;VA393
usava;VA;VA394
usava;VA;VA396
usava;VA;VA397
usava;VA;VA398
usava;VA;VA400
usava;VA;VA401
usava;VA;VA402
usava;VA;VA403
usava;VA;VA406
usava;VA;VA407
usava;VA;VA409
usava;VA;VA412
usava;VA;VA413
usava;VA;VA415
usava;VA;VA419
usava;VA;VA457
usava;VA;VA460
usava;VA;VA598
usava;VA;VA895
