systemName;region;route
usai;WA;I-5
usai;WA;I-82
usai;WA;I-90
usai;WA;I-182
usai;WA;I-205
usai;WA;I-405
usai;WA;I-705
usaus;WA;US2
usaus;WA;US12
usaus;WA;US97
usaus;WA;US101
usaus;WA;US195
usaus;WA;US197
usaus;WA;US395
usaus;WA;US730
usawa;WA;WA3
usawa;WA;WA4
usawa;WA;WA6
usawa;WA;WA7
usawa;WA;WA8
usawa;WA;WA9
usawa;WA;WA10
usawa;WA;WA11
usawa;WA;WA14
usawa;WA;WA16
usawa;WA;WA17
usawa;WA;WA18
usawa;WA;WA19
usawa;WA;WA20
usawa;WA;WA21
usawa;WA;WA22
usawa;WA;WA23
usawa;WA;WA24
usawa;WA;WA25
usawa;WA;WA26
usawa;WA;WA27
usawa;WA;WA28
usawa;WA;WA31
usawa;WA;WA92
usawa;WA;WA96
usawa;WA;WA99
usawa;WA;WA100
usawa;WA;WA102
usawa;WA;WA103
usawa;WA;WA104
usawa;WA;WA105
usawa;WA;WA106
usawa;WA;WA107
usawa;WA;WA108
usawa;WA;WA109
usawa;WA;WA110
usawa;WA;WA112
usawa;WA;WA113
usawa;WA;WA115
usawa;WA;WA116
usawa;WA;WA117
usawa;WA;WA119
usawa;WA;WA121
usawa;WA;WA122
usawa;WA;WA123
usawa;WA;WA124
usawa;WA;WA125
usawa;WA;WA127
usawa;WA;WA128
usawa;WA;WA129
usawa;WA;WA131
usawa;WA;WA141
usawa;WA;WA142
usawa;WA;WA150
usawa;WA;WA153
usawa;WA;WA155
usawa;WA;WA160
usawa;WA;WA161
usawa;WA;WA162
usawa;WA;WA163
usawa;WA;WA164
usawa;WA;WA165
usawa;WA;WA166
usawa;WA;WA167
usawa;WA;WA169
usawa;WA;WA170
usawa;WA;WA171
usawa;WA;WA172
usawa;WA;WA173
usawa;WA;WA174
usawa;WA;WA181
usawa;WA;WA193
usawa;WA;WA194
usawa;WA;WA202
usawa;WA;WA203
usawa;WA;WA204
usawa;WA;WA206
usawa;WA;WA207
usawa;WA;WA211
usawa;WA;WA215
usawa;WA;WA221
usawa;WA;WA223
usawa;WA;WA224
usawa;WA;WA225
usawa;WA;WA231
usawa;WA;WA240
usawa;WA;WA241
usawa;WA;WA243
usawa;WA;WA260
usawa;WA;WA261
usawa;WA;WA262
usawa;WA;WA263
usawa;WA;WA270
usawa;WA;WA271
usawa;WA;WA272
usawa;WA;WA274
usawa;WA;WA278
usawa;WA;WA281
usawa;WA;WA282
usawa;WA;WA283
usawa;WA;WA285
usawa;WA;WA290
usawa;WA;WA291
usawa;WA;WA292
usawa;WA;WA300
usawa;WA;WA302
usawa;WA;WA303
usawa;WA;WA304
usawa;WA;WA305
usawa;WA;WA307
usawa;WA;WA308
usawa;WA;WA310
usawa;WA;WA397
usawa;WA;WA401
usawa;WA;WA409
usawa;WA;WA410
usawa;WA;WA411
usawa;WA;WA432
usawa;WA;WA433
usawa;WA;WA500
usawa;WA;WA501
usawa;WA;WA502
usawa;WA;WA503
usawa;WA;WA504
usawa;WA;WA505
usawa;WA;WA506
usawa;WA;WA507
usawa;WA;WA508
usawa;WA;WA509
usawa;WA;WA510
usawa;WA;WA512
usawa;WA;WA513
usawa;WA;WA515
usawa;WA;WA516
usawa;WA;WA518
usawa;WA;WA519
usawa;WA;WA520
usawa;WA;WA522
usawa;WA;WA523
usawa;WA;WA524
usawa;WA;WA525
usawa;WA;WA526
usawa;WA;WA527
usawa;WA;WA528
usawa;WA;WA529
usawa;WA;WA530
usawa;WA;WA531
usawa;WA;WA532
usawa;WA;WA534
usawa;WA;WA536
usawa;WA;WA538
usawa;WA;WA539
usawa;WA;WA542
usawa;WA;WA543
usawa;WA;WA544
usawa;WA;WA546
usawa;WA;WA547
usawa;WA;WA548
usawa;WA;WA599
usawa;WA;WA702
usawa;WA;WA704
usawa;WA;WA706
usawa;WA;WA821
usawa;WA;WA823
usawa;WA;WA900
usawa;WA;WA902
usawa;WA;WA903
usawa;WA;WA904
usawa;WA;WA906
usawa;WA;WA970
usawa;WA;WA971
