systemName;region;route
canmb;MB;MB1
canmb;MB;MB2
canmb;MB;MB3
canmb;MB;MB4
canmb;MB;MB5
canmb;MB;MB6
canmb;MB;MB7
canmb;MB;MB8
canmb;MB;MB9
canmb;MB;MB10
canmb;MB;MB11
canmb;MB;MB12
canmb;MB;MB13
canmb;MB;MB14
canmb;MB;MB15
canmb;MB;MB16
canmb;MB;MB17
canmb;MB;MB18
canmb;MB;MB19
canmb;MB;MB20
canmb;MB;MB21
canmb;MB;MB22
canmb;MB;MB23
canmb;MB;MB24
canmb;MB;MB25
canmb;MB;MB26
canmb;MB;MB27
canmb;MB;MB30
canmb;MB;MB31
canmb;MB;MB32
canmb;MB;MB34
canmb;MB;MB39
canmb;MB;MB41
canmb;MB;MB42
canmb;MB;MB44
canmb;MB;MB45
canmb;MB;MB49
canmb;MB;MB50
canmb;MB;MB52
canmb;MB;MB57
canmb;MB;MB59
canmb;MB;MB60
canmb;MB;MB67
canmb;MB;MB68
canmb;MB;MB75
canmb;MB;MB77
canmb;MB;MB83
canmb;MB;MB89
canmb;MB;MB100
canmb;MB;MB101
canmb;MB;MB110
canmb;MB;MB190
canmb;MB;MB200
canmb;MB;MB201
canmb;MB;MB202
canmb;MB;MB203
canmb;MB;MB204
canmb;MB;MB205
canmb;MB;MB206
canmb;MB;MB207
canmb;MB;MB209
canmb;MB;MB210
canmb;MB;MB211
canmb;MB;MB212
canmb;MB;MB213
canmb;MB;MB214
canmb;MB;MB215
canmb;MB;MB216
canmb;MB;MB217
canmb;MB;MB218
canmb;MB;MB220
canmb;MB;MB221
canmb;MB;MB222
canmb;MB;MB224
canmb;MB;MB225
canmb;MB;MB227
canmb;MB;MB229
canmb;MB;MB230
canmb;MB;MB231
canmb;MB;MB232
canmb;MB;MB233
canmb;MB;MB234
canmb;MB;MB236
canmb;MB;MB237
canmb;MB;MB238
canmb;MB;MB239
canmb;MB;MB240
canmb;MB;MB241
canmb;MB;MB242
canmb;MB;MB243
canmb;MB;MB244
canmb;MB;MB245
canmb;MB;MB246
canmb;MB;MB247
canmb;MB;MB248
canmb;MB;MB250
canmb;MB;MB252
canmb;MB;MB252
canmb;MB;MB253
canmb;MB;MB254
canmb;MB;MB255
canmb;MB;MB256
canmb;MB;MB257
canmb;MB;MB259
canmb;MB;MB260
canmb;MB;MB261
canmb;MB;MB262
canmb;MB;MB264
canmb;MB;MB265
canmb;MB;MB266
canmb;MB;MB267
canmb;MB;MB268
canmb;MB;MB269
canmb;MB;MB270
canmb;MB;MB271
canmb;MB;MB272
canmb;MB;MB273
canmb;MB;MB274
canmb;MB;MB275
canmb;MB;MB276
canmb;MB;MB278
canmb;MB;MB279
canmb;MB;MB280
canmb;MB;MB282
canmb;MB;MB283
canmb;MB;MB285
canmb;MB;MB287
canmb;MB;MB289
canmb;MB;MB290
canmb;MB;MB291
canmb;MB;MB301
canmb;MB;MB302
canmb;MB;MB303
canmb;MB;MB304
canmb;MB;MB305
canmb;MB;MB306
canmb;MB;MB307
canmb;MB;MB308
canmb;MB;MB309
canmb;MB;MB310
canmb;MB;MB311
canmb;MB;MB312
canmb;MB;MB313
canmb;MB;MB314
