systemName;region;route
canqc;QC;QC101
canqc;QC;QC104
canqc;QC;QC105
canqc;QC;QC107
canqc;QC;QC108
canqc;QC;QC109
canqc;QC;QC111
canqc;QC;QC112
canqc;QC;QC113
canqc;QC;QC116
canqc;QC;QC117
canqc;QC;QC122
canqc;QC;QC125
canqc;QC;QC131
canqc;QC;QC132
canqc;QC;QC133
canqc;QC;QC134
canqc;QC;QC136
canqc;QC;QC137
canqc;QC;QC138
canqc;QC;QC139
canqc;QC;QC141
canqc;QC;QC143
canqc;QC;QC147
canqc;QC;QC148
canqc;QC;QC153
canqc;QC;QC155
canqc;QC;QC157
canqc;QC;QC158
canqc;QC;QC159
canqc;QC;QC161
canqc;QC;QC162
canqc;QC;QC165
canqc;QC;QC167
canqc;QC;QC169
canqc;QC;QC170
canqc;QC;QC171
canqc;QC;QC172
canqc;QC;QC173
canqc;QC;QC175
canqc;QC;QC185
canqc;QC;QC191
canqc;QC;QC195
canqc;QC;QC197
canqc;QC;QC198
canqc;QC;QC199
canqc;QC;QC201
canqc;QC;QC202
canqc;QC;QC203
canqc;QC;QC204
canqc;QC;QC205
canqc;QC;QC206
canqc;QC;QC207
canqc;QC;QC208
canqc;QC;QC209
canqc;QC;QC210
canqc;QC;QC211
canqc;QC;QC212
canqc;QC;QC213
canqc;QC;QC214
canqc;QC;QC215
canqc;QC;QC216
canqc;QC;QC217
canqc;QC;QC218
canqc;QC;QC219
canqc;QC;QC220
canqc;QC;QC221
canqc;QC;QC222
canqc;QC;QC223
canqc;QC;QC224
canqc;QC;QC225
canqc;QC;QC226
canqc;QC;QC227
canqc;QC;QC228
canqc;QC;QC229
canqc;QC;QC230
canqc;QC;QC231
canqc;QC;QC232
canqc;QC;QC233
canqc;QC;QC234
canqc;QC;QC235
canqc;QC;QC236
canqc;QC;QC237
canqc;QC;QC239
canqc;QC;QC241
canqc;QC;QC243
canqc;QC;QC245
canqc;QC;QC247
canqc;QC;QC249
canqc;QC;QC251
canqc;QC;QC253
canqc;QC;QC255
canqc;QC;QC257
canqc;QC;QC259
canqc;QC;QC261
canqc;QC;QC263
canqc;QC;QC265
canqc;QC;QC267
canqc;QC;QC269
canqc;QC;QC271
canqc;QC;QC273
canqc;QC;QC275
canqc;QC;QC276
canqc;QC;QC277
canqc;QC;QC279
canqc;QC;QC281
canqc;QC;QC283
canqc;QC;QC285
canqc;QC;QC287
canqc;QC;QC289
canqc;QC;QC291
canqc;QC;QC293
canqc;QC;QC295
canqc;QC;QC296
canqc;QC;QC297
canqc;QC;QC298
canqc;QC;QC299
canqc;QC;QC301
canqc;QC;QC303
canqc;QC;QC307
canqc;QC;QC309
canqc;QC;QC311
canqc;QC;QC315
canqc;QC;QC317
canqc;QC;QC321
canqc;QC;QC323
canqc;QC;QC325
canqc;QC;QC327
canqc;QC;QC329
canqc;QC;QC333
canqc;QC;QC335
canqc;QC;QC337
canqc;QC;QC338
canqc;QC;QC339
canqc;QC;QC340
canqc;QC;QC341
canqc;QC;QC342
canqc;QC;QC343
canqc;QC;QC344
canqc;QC;QC345
canqc;QC;QC346
canqc;QC;QC347
canqc;QC;QC348
canqc;QC;QC349
canqc;QC;QC350
canqc;QC;QC351
canqc;QC;QC352
canqc;QC;QC354
canqc;QC;QC358
canqc;QC;QC359
canqc;QC;QC360
canqc;QC;QC361
canqc;QC;QC362
canqc;QC;QC363
canqc;QC;QC364
canqc;QC;QC365
canqc;QC;QC366
canqc;QC;QC367
canqc;QC;QC368
canqc;QC;QC369
canqc;QC;QC370
canqc;QC;QC371
canqc;QC;QC372
canqc;QC;QC373
canqc;QC;QC381
canqc;QC;QC382
canqc;QC;QC385
canqc;QC;QC386
canqc;QC;QC388
canqc;QC;QC389
canqc;QC;QC390
canqc;QC;QC391
canqc;QC;QC393
canqc;QC;QC395
canqc;QC;QC397
canqc;QC;QC399
