systemName;region;route
cansk;SK;SK1
cansk;SK;SK2
cansk;SK;SK3
cansk;SK;SK4
cansk;SK;SK5
cansk;SK;SK6
cansk;SK;SK7
cansk;SK;SK8
cansk;SK;SK9
cansk;SK;SK10
cansk;SK;SK11
cansk;SK;SK12
cansk;SK;SK13
cansk;SK;SK14
cansk;SK;SK15
cansk;SK;SK16
cansk;SK;SK17
cansk;SK;SK18
cansk;SK;SK19
cansk;SK;SK20
cansk;SK;SK21
cansk;SK;SK22
cansk;SK;SK23
cansk;SK;SK24
cansk;SK;SK25
cansk;SK;SK26
cansk;SK;SK27
cansk;SK;SK28
cansk;SK;SK29
cansk;SK;SK30
cansk;SK;SK31
cansk;SK;SK32
cansk;SK;SK33
cansk;SK;SK34
cansk;SK;SK35
cansk;SK;SK36
cansk;SK;SK37
cansk;SK;SK38
cansk;SK;SK39
cansk;SK;SK40
cansk;SK;SK41
cansk;SK;SK42
cansk;SK;SK43
cansk;SK;SK44
cansk;SK;SK45
cansk;SK;SK46
cansk;SK;SK47
cansk;SK;SK48
cansk;SK;SK49
cansk;SK;SK51
cansk;SK;SK52
cansk;SK;SK54
cansk;SK;SK55
cansk;SK;SK56
cansk;SK;SK57
cansk;SK;SK58
cansk;SK;SK60
cansk;SK;SK80
cansk;SK;SK99
cansk;SK;SK102
cansk;SK;SK106
cansk;SK;SK120
cansk;SK;SK123
cansk;SK;SK135
cansk;SK;SK155
cansk;SK;SK165
cansk;SK;SK167
cansk;SK;SK201
cansk;SK;SK202
cansk;SK;SK204
cansk;SK;SK209
cansk;SK;SK210
cansk;SK;SK211
cansk;SK;SK212
cansk;SK;SK219
cansk;SK;SK220
cansk;SK;SK224
cansk;SK;SK225
cansk;SK;SK229
cansk;SK;SK240
cansk;SK;SK247
cansk;SK;SK255
cansk;SK;SK263
cansk;SK;SK264
cansk;SK;SK265
cansk;SK;SK271
cansk;SK;SK301
cansk;SK;SK302
cansk;SK;SK303
cansk;SK;SK304
cansk;SK;SK305
cansk;SK;SK306
cansk;SK;SK307
cansk;SK;SK308
cansk;SK;SK309
cansk;SK;SK310
cansk;SK;SK312
cansk;SK;SK316
cansk;SK;SK317
cansk;SK;SK318
cansk;SK;SK320
cansk;SK;SK321
cansk;SK;SK322
cansk;SK;SK324
cansk;SK;SK332
cansk;SK;SK334
cansk;SK;SK335
cansk;SK;SK339
cansk;SK;SK340
cansk;SK;SK342
cansk;SK;SK343
cansk;SK;SK349
cansk;SK;SK350
cansk;SK;SK354
cansk;SK;SK355
cansk;SK;SK357
cansk;SK;SK358
cansk;SK;SK361
cansk;SK;SK363
cansk;SK;SK364
cansk;SK;SK365
cansk;SK;SK367
cansk;SK;SK368
cansk;SK;SK369
cansk;SK;SK371
cansk;SK;SK373
cansk;SK;SK374
cansk;SK;SK376
cansk;SK;SK377
cansk;SK;SK378
cansk;SK;SK379
cansk;SK;SK381
cansk;SK;SK394
cansk;SK;SK397
