systemName;region;route
canskn;SK;SK903
canskn;SK;SK904
canskn;SK;SK905
canskn;SK;SK908
canskn;SK;SK909
canskn;SK;SK910
canskn;SK;SK911
canskn;SK;SK912
canskn;SK;SK913
canskn;SK;SK914
canskn;SK;SK915
canskn;SK;SK916
canskn;SK;SK918
canskn;SK;SK919
canskn;SK;SK920
canskn;SK;SK921
canskn;SK;SK922
canskn;SK;SK924
canskn;SK;SK925
canskn;SK;SK926
canskn;SK;SK929
canskn;SK;SK931
canskn;SK;SK932
canskn;SK;SK933
canskn;SK;SK935
canskn;SK;SK936
canskn;SK;SK940
canskn;SK;SK941
canskn;SK;SK942
canskn;SK;SK943
canskn;SK;SK945
canskn;SK;SK946
canskn;SK;SK950
canskn;SK;SK951
canskn;SK;SK953
canskn;SK;SK954
canskn;SK;SK955
canskn;SK;SK956
canskn;SK;SK964
canskn;SK;SK965
canskn;SK;SK966
canskn;SK;SK969
canskn;SK;SK970
canskn;SK;SK980
canskn;SK;SK982
canskn;SK;SK983
canskn;SK;SK984
