systemName;region;route
usact;CT;CT2
usact;CT;CT3
usact;CT;CT4
usact;CT;CT8
usact;CT;CT9
usact;CT;CT10
usact;CT;CT11
usact;CT;CT12
usact;CT;CT14
usact;CT;CT15
usact;CT;CT16
usact;CT;CT17
usact;CT;CT19
usact;CT;CT20
usact;CT;CT21
usact;CT;CT22
usact;CT;CT25
usact;CT;CT27
usact;CT;CT30
usact;CT;CT31
usact;CT;CT32
usact;CT;CT33
usact;CT;CT34
usact;CT;CT35
usact;CT;CT37
usact;CT;CT39
usact;CT;CT40
usact;CT;CT41
usact;CT;CT42
usact;CT;CT43
usact;CT;CT45
usact;CT;CT47
usact;CT;CT49
usact;CT;CT53
usact;CT;CT55
usact;CT;CT57
usact;CT;CT58
usact;CT;CT59
usact;CT;CT61
usact;CT;CT63
usact;CT;CT64
usact;CT;CT66
usact;CT;CT67
usact;CT;CT68
usact;CT;CT69
usact;CT;CT70
usact;CT;CT71
usact;CT;CT72
usact;CT;CT73
usact;CT;CT74
usact;CT;CT75
usact;CT;CT77
usact;CT;CT78
usact;CT;CT79
usact;CT;CT80
usact;CT;CT81
usact;CT;CT82
usact;CT;CT83
usact;CT;CT85
usact;CT;CT87
usact;CT;CT89
usact;CT;CT94
usact;CT;CT97
usact;CT;CT99
usact;CT;CT100
usact;CT;CT101
usact;CT;CT102
usact;CT;CT103
usact;CT;CT104
usact;CT;CT106
usact;CT;CT107
usact;CT;CT108
usact;CT;CT109
usact;CT;CT110
usact;CT;CT111
usact;CT;CT112
usact;CT;CT113
usact;CT;CT114
usact;CT;CT115
usact;CT;CT116
usact;CT;CT117
usact;CT;CT118
usact;CT;CT120
usact;CT;CT121
usact;CT;CT122
usact;CT;CT123
usact;CT;CT124
usact;CT;CT125
usact;CT;CT126
usact;CT;CT127
usact;CT;CT128
usact;CT;CT130
usact;CT;CT131
usact;CT;CT132
usact;CT;CT133
usact;CT;CT135
usact;CT;CT136
usact;CT;CT137
usact;CT;CT138
usact;CT;CT139
usact;CT;CT140
usact;CT;CT142
usact;CT;CT145
usact;CT;CT146
usact;CT;CT147
usact;CT;CT148
usact;CT;CT149
usact;CT;CT150
usact;CT;CT151
usact;CT;CT152
usact;CT;CT153
usact;CT;CT154
usact;CT;CT155
usact;CT;CT156
usact;CT;CT157
usact;CT;CT159
usact;CT;CT160
usact;CT;CT161
usact;CT;CT162
usact;CT;CT163
usact;CT;CT164
usact;CT;CT165
usact;CT;CT166
usact;CT;CT167
usact;CT;CT168
usact;CT;CT169
usact;CT;CT171
usact;CT;CT172
usact;CT;CT173
usact;CT;CT174
usact;CT;CT175
usact;CT;CT176
usact;CT;CT177
usact;CT;CT178
usact;CT;CT179
usact;CT;CT181
usact;CT;CT182
usact;CT;CT183
usact;CT;CT184
usact;CT;CT185
usact;CT;CT186
usact;CT;CT187
usact;CT;CT188
usact;CT;CT189
usact;CT;CT190
usact;CT;CT191
usact;CT;CT192
usact;CT;CT193
usact;CT;CT194
usact;CT;CT195
usact;CT;CT196
usact;CT;CT197
usact;CT;CT198
usact;CT;CT199
usact;CT;CT200
usact;CT;CT201
usact;CT;CT203
usact;CT;CT205
usact;CT;CT207
usact;CT;CT209
usact;CT;CT213
usact;CT;CT214
usact;CT;CT215
usact;CT;CT216
usact;CT;CT217
usact;CT;CT218
usact;CT;CT219
usact;CT;CT220
usact;CT;CT222
usact;CT;CT229
usact;CT;CT234
usact;CT;CT243
usact;CT;CT244
usact;CT;CT254
usact;CT;CT262
usact;CT;CT263
usact;CT;CT272
usact;CT;CT275
usact;CT;CT286
usact;CT;CT287
usact;CT;CT289
usact;CT;CT302
usact;CT;CT305
usact;CT;CT309
usact;CT;CT313
usact;CT;CT314
usact;CT;CT315
usact;CT;CT316
usact;CT;CT317
usact;CT;CT318
usact;CT;CT319
usact;CT;CT320
usact;CT;CT322
usact;CT;CT334
usact;CT;CT337
usact;CT;CT341
usact;CT;CT343
usact;CT;CT349
usact;CT;CT354
usact;CT;CT361
usact;CT;CT364
usact;CT;CT372
