systemName;region;route
usama;MA;MA1A
usama;MA;MA2
usama;MA;MA2A
usama;MA;MA3
usama;MA;MA3A
usama;MA;MA4
usama;MA;MA6A
usama;MA;MA7A
usama;MA;MA8
usama;MA;MA8A
usama;MA;MA9
usama;MA;MA10
usama;MA;MA12
usama;MA;MA13
usama;MA;MA14
usama;MA;MA15
usama;MA;MA16
usama;MA;MA18
usama;MA;MA19
usama;MA;MA21
usama;MA;MA22
usama;MA;MA23
usama;MA;MA24
usama;MA;MA25
usama;MA;MA27
usama;MA;MA28
usama;MA;MA30
usama;MA;MA31
usama;MA;MA32
usama;MA;MA32A
usama;MA;MA33
usama;MA;MA35
usama;MA;MA36
usama;MA;MA37
usama;MA;MA38
usama;MA;MA39
usama;MA;MA40
usama;MA;MA41
usama;MA;MA43
usama;MA;MA47
usama;MA;MA49
usama;MA;MA53
usama;MA;MA56
usama;MA;MA57
usama;MA;MA58
usama;MA;MA60
usama;MA;MA62
usama;MA;MA63
usama;MA;MA66
usama;MA;MA67
usama;MA;MA68
usama;MA;MA70
usama;MA;MA71
usama;MA;MA75
usama;MA;MA78
usama;MA;MA79
usama;MA;MA80
usama;MA;MA81
usama;MA;MA83
usama;MA;MA85
usama;MA;MA88
usama;MA;MA96
usama;MA;MA97
usama;MA;MA98
usama;MA;MA99
usama;MA;MA101
usama;MA;MA102
usama;MA;MA103
usama;MA;MA104
usama;MA;MA105
usama;MA;MA106
usama;MA;MA107
usama;MA;MA108
usama;MA;MA109
usama;MA;MA110
usama;MA;MA111
usama;MA;MA112
usama;MA;MA113
usama;MA;MA114
usama;MA;MA114A
usama;MA;MA115
usama;MA;MA116
usama;MA;MA117
usama;MA;MA118
usama;MA;MA119
usama;MA;MA120
usama;MA;MA121
usama;MA;MA122
usama;MA;MA122A
usama;MA;MA123
usama;MA;MA124
usama;MA;MA125
usama;MA;MA126
usama;MA;MA127
usama;MA;MA127A
usama;MA;MA128
usama;MA;MA129
usama;MA;MA129A
usama;MA;MA130
usama;MA;MA131
usama;MA;MA132
usama;MA;MA133
usama;MA;MA134
usama;MA;MA135
usama;MA;MA136
usama;MA;MA137
usama;MA;MA138
usama;MA;MA139
usama;MA;MA140
usama;MA;MA141
usama;MA;MA142
usama;MA;MA143
usama;MA;MA145
usama;MA;MA146
usama;MA;MA147
usama;MA;MA148
usama;MA;MA149
usama;MA;MA150
usama;MA;MA151
usama;MA;MA152
usama;MA;MA159
usama;MA;MA168
usama;MA;MA169
usama;MA;MA177
usama;MA;MA181
usama;MA;MA183
usama;MA;MA186
usama;MA;MA187
usama;MA;MA189
usama;MA;MA192
usama;MA;MA193
usama;MA;MA197
usama;MA;MA198
usama;MA;MA203
usama;MA;MA213
usama;MA;MA220
usama;MA;MA225
usama;MA;MA228
usama;MA;MA240
usama;MA;MA286
usama;MA;MA295
