systemName;region;route
usamd;MD;MD2
usamd;MD;MD3
usamd;MD;MD4
usamd;MD;MD5
usamd;MD;MD6
usamd;MD;MD7
usamd;MD;MD8
usamd;MD;MD10
usamd;MD;MD12
usamd;MD;MD14
usamd;MD;MD16
usamd;MD;MD17
usamd;MD;MD18
usamd;MD;MD19
usamd;MD;MD20
usamd;MD;MD21
usamd;MD;MD22
usamd;MD;MD23
usamd;MD;MD24
usamd;MD;MD25
usamd;MD;MD26
usamd;MD;MD27
usamd;MD;MD28
usamd;MD;MD30
usamd;MD;MD31
usamd;MD;MD32
usamd;MD;MD33
usamd;MD;MD34
usamd;MD;MD35
usamd;MD;MD36
usamd;MD;MD38
usamd;MD;MD39
usamd;MD;MD41
usamd;MD;MD42
usamd;MD;MD43
usamd;MD;MD45
usamd;MD;MD47
usamd;MD;MD49
usamd;MD;MD51
usamd;MD;MD53
usamd;MD;MD54
usamd;MD;MD55
usamd;MD;MD56
usamd;MD;MD57
usamd;MD;MD58
usamd;MD;MD60
usamd;MD;MD62
usamd;MD;MD63
usamd;MD;MD64
usamd;MD;MD65
usamd;MD;MD66
usamd;MD;MD67
usamd;MD;MD68
usamd;MD;MD70
usamd;MD;MD75
usamd;MD;MD76
usamd;MD;MD77
usamd;MD;MD79
usamd;MD;MD80
usamd;MD;MD84
usamd;MD;MD85
usamd;MD;MD86
usamd;MD;MD88
usamd;MD;MD90
usamd;MD;MD91
usamd;MD;MD94
usamd;MD;MD97
usamd;MD;MD99
usamd;MD;MD100
usamd;MD;MD103
usamd;MD;MD104
usamd;MD;MD107
usamd;MD;MD108
usamd;MD;MD109
usamd;MD;MD112
usamd;MD;MD115
usamd;MD;MD117
usamd;MD;MD118
usamd;MD;MD119
usamd;MD;MD121
usamd;MD;MD122
usamd;MD;MD124
usamd;MD;MD125
usamd;MD;MD128
usamd;MD;MD129
usamd;MD;MD130
usamd;MD;MD131
usamd;MD;MD132
usamd;MD;MD133
usamd;MD;MD134
usamd;MD;MD135
usamd;MD;MD136
usamd;MD;MD137
usamd;MD;MD138
usamd;MD;MD139
usamd;MD;MD140
usamd;MD;MD144
usamd;MD;MD145
usamd;MD;MD146
usamd;MD;MD147
usamd;MD;MD150
usamd;MD;MD151
usamd;MD;MD152
usamd;MD;MD155
usamd;MD;MD156
usamd;MD;MD157
usamd;MD;MD158
usamd;MD;MD159
usamd;MD;MD161
usamd;MD;MD162
usamd;MD;MD165
usamd;MD;MD166
usamd;MD;MD168
usamd;MD;MD169
usamd;MD;MD170
usamd;MD;MD171
usamd;MD;MD173
usamd;MD;MD174
usamd;MD;MD175
usamd;MD;MD176
usamd;MD;MD177
usamd;MD;MD178
usamd;MD;MD179
usamd;MD;MD180
usamd;MD;MD182
usamd;MD;MD185
usamd;MD;MD186
usamd;MD;MD187
usamd;MD;MD188
usamd;MD;MD189
usamd;MD;MD190
usamd;MD;MD191
usamd;MD;MD192
usamd;MD;MD193
usamd;MD;MD194
usamd;MD;MD195
usamd;MD;MD197
usamd;MD;MD198
usamd;MD;MD200
usamd;MD;MD201
usamd;MD;MD202
usamd;MD;MD206
usamd;MD;MD208
usamd;MD;MD210
usamd;MD;MD212
usamd;MD;MD213
usamd;MD;MD214
usamd;MD;MD216
usamd;MD;MD218
usamd;MD;MD219
usamd;MD;MD222
usamd;MD;MD223
usamd;MD;MD224
usamd;MD;MD225
usamd;MD;MD227
usamd;MD;MD228
usamd;MD;MD229
usamd;MD;MD231
usamd;MD;MD234
usamd;MD;MD235
usamd;MD;MD236
usamd;MD;MD237
usamd;MD;MD238
usamd;MD;MD239
usamd;MD;MD242
usamd;MD;MD243
usamd;MD;MD244
usamd;MD;MD245
usamd;MD;MD246
usamd;MD;MD247
usamd;MD;MD249
usamd;MD;MD253
usamd;MD;MD254
usamd;MD;MD255
usamd;MD;MD256
usamd;MD;MD257
usamd;MD;MD258
usamd;MD;MD259
usamd;MD;MD260
usamd;MD;MD261
usamd;MD;MD262
usamd;MD;MD263
usamd;MD;MD264
usamd;MD;MD265
usamd;MD;MD267
usamd;MD;MD268
usamd;MD;MD270
usamd;MD;MD272
usamd;MD;MD273
usamd;MD;MD274
usamd;MD;MD275
usamd;MD;MD276
usamd;MD;MD277
usamd;MD;MD279
usamd;MD;MD281
usamd;MD;MD282
usamd;MD;MD284
usamd;MD;MD285
usamd;MD;MD286
usamd;MD;MD287
usamd;MD;MD288
usamd;MD;MD289
usamd;MD;MD290
usamd;MD;MD291
usamd;MD;MD292
usamd;MD;MD295
usamd;MD;MD297
usamd;MD;MD298
usamd;MD;MD299
usamd;MD;MD300
usamd;MD;MD302
usamd;MD;MD303
usamd;MD;MD304
usamd;MD;MD305
usamd;MD;MD306
usamd;MD;MD307
usamd;MD;MD309
usamd;MD;MD310
usamd;MD;MD311
usamd;MD;MD312
usamd;MD;MD313
usamd;MD;MD314
usamd;MD;MD315
usamd;MD;MD316
usamd;MD;MD317
usamd;MD;MD318
usamd;MD;MD320
usamd;MD;MD322
usamd;MD;MD327
usamd;MD;MD328
usamd;MD;MD329
usamd;MD;MD330
usamd;MD;MD331
usamd;MD;MD332
usamd;MD;MD333
usamd;MD;MD334
usamd;MD;MD335
usamd;MD;MD336
usamd;MD;MD337
usamd;MD;MD341
usamd;MD;MD342
usamd;MD;MD343
usamd;MD;MD344
usamd;MD;MD346
usamd;MD;MD347
usamd;MD;MD348
usamd;MD;MD349
usamd;MD;MD350
usamd;MD;MD352
usamd;MD;MD353
usamd;MD;MD354
usamd;MD;MD355
usamd;MD;MD358
usamd;MD;MD359
usamd;MD;MD361
usamd;MD;MD362
usamd;MD;MD363
usamd;MD;MD364
usamd;MD;MD365
usamd;MD;MD366
usamd;MD;MD367
usamd;MD;MD368
usamd;MD;MD370
usamd;MD;MD371
usamd;MD;MD372
usamd;MD;MD373
usamd;MD;MD374
usamd;MD;MD376
usamd;MD;MD377
usamd;MD;MD380
usamd;MD;MD381
usamd;MD;MD382
usamd;MD;MD383
usamd;MD;MD384
usamd;MD;MD387
usamd;MD;MD388
usamd;MD;MD390
usamd;MD;MD392
usamd;MD;MD393
usamd;MD;MD396
usamd;MD;MD402
usamd;MD;MD404
usamd;MD;MD405
usamd;MD;MD407
usamd;MD;MD408
usamd;MD;MD410
usamd;MD;MD413
usamd;MD;MD414
usamd;MD;MD418
usamd;MD;MD422
usamd;MD;MD423
usamd;MD;MD424
usamd;MD;MD425
usamd;MD;MD435
usamd;MD;MD436
usamd;MD;MD439
usamd;MD;MD440
usamd;MD;MD444
usamd;MD;MD445
usamd;MD;MD446
usamd;MD;MD450
usamd;MD;MD452
usamd;MD;MD454
usamd;MD;MD456
usamd;MD;MD458
usamd;MD;MD459
usamd;MD;MD460
usamd;MD;MD462
usamd;MD;MD464
usamd;MD;MD468
usamd;MD;MD470
usamd;MD;MD471
usamd;MD;MD472
usamd;MD;MD478
usamd;MD;MD480
usamd;MD;MD481
usamd;MD;MD482
usamd;MD;MD485
usamd;MD;MD488
usamd;MD;MD489
usamd;MD;MD490
usamd;MD;MD491
usamd;MD;MD494
usamd;MD;MD495
usamd;MD;MD496
usamd;MD;MD497
usamd;MD;MD500
usamd;MD;MD501
usamd;MD;MD506
usamd;MD;MD508
usamd;MD;MD509
usamd;MD;MD513
usamd;MD;MD514
usamd;MD;MD520
usamd;MD;MD521
usamd;MD;MD524
usamd;MD;MD528
usamd;MD;MD529
usamd;MD;MD542
usamd;MD;MD543
usamd;MD;MD544
usamd;MD;MD545
usamd;MD;MD546
usamd;MD;MD547
usamd;MD;MD550
usamd;MD;MD552
usamd;MD;MD560
usamd;MD;MD561
usamd;MD;MD562
usamd;MD;MD564
usamd;MD;MD565
usamd;MD;MD566
usamd;MD;MD568
usamd;MD;MD575
usamd;MD;MD577
usamd;MD;MD578
usamd;MD;MD579
usamd;MD;MD586
usamd;MD;MD587
usamd;MD;MD588
usamd;MD;MD589
usamd;MD;MD591
usamd;MD;MD607
usamd;MD;MD610
usamd;MD;MD611
usamd;MD;MD614
usamd;MD;MD615
usamd;MD;MD619
usamd;MD;MD623
usamd;MD;MD624
usamd;MD;MD627
usamd;MD;MD632
usamd;MD;MD636
usamd;MD;MD637
usamd;MD;MD638
usamd;MD;MD639
usamd;MD;MD640
usamd;MD;MD646
usamd;MD;MD648
usamd;MD;MD650
usamd;MD;MD652
usamd;MD;MD656
usamd;MD;MD658
usamd;MD;MD662
usamd;MD;MD665
usamd;MD;MD667
usamd;MD;MD669
usamd;MD;MD670
usamd;MD;MD673
usamd;MD;MD674
usamd;MD;MD675
usamd;MD;MD700
usamd;MD;MD702
usamd;MD;MD704
usamd;MD;MD707
usamd;MD;MD710
usamd;MD;MD712
usamd;MD;MD713
usamd;MD;MD715
usamd;MD;MD717
usamd;MD;MD725
usamd;MD;MD750
usamd;MD;MD755
usamd;MD;MD756
usamd;MD;MD758
usamd;MD;MD760
usamd;MD;MD763
usamd;MD;MD765
usamd;MD;MD778
usamd;MD;MD781
usamd;MD;MD794
usamd;MD;MD800
usamd;MD;MD802
usamd;MD;MD806
usamd;MD;MD808
usamd;MD;MD815
usamd;MD;MD817
usamd;MD;MD818
usamd;MD;MD822
usamd;MD;MD824
usamd;MD;MD832
usamd;MD;MD833
usamd;MD;MD835A
usamd;MD;MD851
usamd;MD;MD852
usamd;MD;MD896
usamd;MD;MD910
usamd;MD;MD924
usamd;MD;MD925
usamd;MD;MD936
usamd;MD;MD940
usamd;MD;MD944
usamd;MD;MD946
usamd;MD;MD953
usamd;MD;MD956
usamd;MD;MD978
