systemName;region;route
usamts;MT;MT201
usamts;MT;MT202
usamts;MT;MT203
usamts;MT;MT204
usamts;MT;MT205
usamts;MT;MT206
usamts;MT;MT207
usamts;MT;MT208
usamts;MT;MT209
usamts;MT;MT210
usamts;MT;MT211
usamts;MT;MT212
usamts;MT;MT213
usamts;MT;MT214
usamts;MT;MT215
usamts;MT;MT218
usamts;MT;MT219
usamts;MT;MT220
usamts;MT;MT221
usamts;MT;MT223
usamts;MT;MT224
usamts;MT;MT225
usamts;MT;MT226
usamts;MT;MT227
usamts;MT;MT228
usamts;MT;MT232
usamts;MT;MT233
usamts;MT;MT234
usamts;MT;MT235
usamts;MT;MT236
usamts;MT;MT237
usamts;MT;MT238
usamts;MT;MT239
usamts;MT;MT240
usamts;MT;MT241
usamts;MT;MT243
usamts;MT;MT244
usamts;MT;MT245
usamts;MT;MT246
usamts;MT;MT248
usamts;MT;MT249
usamts;MT;MT250
usamts;MT;MT251
usamts;MT;MT252
usamts;MT;MT253
usamts;MT;MT254
usamts;MT;MT255
usamts;MT;MT257
usamts;MT;MT258
usamts;MT;MT259
usamts;MT;MT260
usamts;MT;MT261
usamts;MT;MT263
usamts;MT;MT269
usamts;MT;MT271
usamts;MT;MT273
usamts;MT;MT276
usamts;MT;MT278
usamts;MT;MT279
usamts;MT;MT280
usamts;MT;MT282
usamts;MT;MT283
usamts;MT;MT284
usamts;MT;MT285
usamts;MT;MT286
usamts;MT;MT287
usamts;MT;MT288
usamts;MT;MT291
usamts;MT;MT294
usamts;MT;MT297
usamts;MT;MT298
usamts;MT;MT300
usamts;MT;MT302
usamts;MT;MT306
usamts;MT;MT308
usamts;MT;MT310
usamts;MT;MT311
usamts;MT;MT313
usamts;MT;MT314
usamts;MT;MT317
usamts;MT;MT320
usamts;MT;MT322
usamts;MT;MT324
usamts;MT;MT326
usamts;MT;MT327
usamts;MT;MT328
usamts;MT;MT330
usamts;MT;MT331
usamts;MT;MT332
usamts;MT;MT335
usamts;MT;MT336
usamts;MT;MT338
usamts;MT;MT340
usamts;MT;MT342
usamts;MT;MT343
usamts;MT;MT344
usamts;MT;MT345
usamts;MT;MT346
usamts;MT;MT347
usamts;MT;MT348
usamts;MT;MT350
usamts;MT;MT352
usamts;MT;MT354
usamts;MT;MT357
usamts;MT;MT358
usamts;MT;MT359
usamts;MT;MT360
usamts;MT;MT363
usamts;MT;MT365
usamts;MT;MT366
usamts;MT;MT370
usamts;MT;MT373
usamts;MT;MT374
usamts;MT;MT379
usamts;MT;MT381
usamts;MT;MT382
usamts;MT;MT384
usamts;MT;MT386
usamts;MT;MT387
usamts;MT;MT391
usamts;MT;MT393
usamts;MT;MT396
usamts;MT;MT399
usamts;MT;MT400
usamts;MT;MT401
usamts;MT;MT405
usamts;MT;MT408
usamts;MT;MT409
usamts;MT;MT411
usamts;MT;MT412
usamts;MT;MT416
usamts;MT;MT417
usamts;MT;MT419
usamts;MT;MT421
usamts;MT;MT422
usamts;MT;MT424
usamts;MT;MT426
usamts;MT;MT427
usamts;MT;MT430
usamts;MT;MT431
usamts;MT;MT432
usamts;MT;MT434
usamts;MT;MT435
usamts;MT;MT437
usamts;MT;MT438
usamts;MT;MT441
usamts;MT;MT444
usamts;MT;MT446
usamts;MT;MT447
usamts;MT;MT448
usamts;MT;MT449
usamts;MT;MT451
usamts;MT;MT453
usamts;MT;MT457
usamts;MT;MT462
usamts;MT;MT463
usamts;MT;MT464
usamts;MT;MT466
usamts;MT;MT467
usamts;MT;MT470
usamts;MT;MT471
usamts;MT;MT473
usamts;MT;MT474
usamts;MT;MT480
usamts;MT;MT482
usamts;MT;MT484
usamts;MT;MT486
usamts;MT;MT487
usamts;MT;MT489
usamts;MT;MT493
usamts;MT;MT494
usamts;MT;MT500
usamts;MT;MT503
usamts;MT;MT507
usamts;MT;MT508
usamts;MT;MT511
usamts;MT;MT512
usamts;MT;MT513
usamts;MT;MT516
usamts;MT;MT517
usamts;MT;MT518
usamts;MT;MT522
usamts;MT;MT528
usamts;MT;MT529
usamts;MT;MT531
usamts;MT;MT532
usamts;MT;MT534
usamts;MT;MT537
usamts;MT;MT540
usamts;MT;MT541
usamts;MT;MT543
usamts;MT;MT544
usamts;MT;MT547
usamts;MT;MT548
usamts;MT;MT551
usamts;MT;MT552
usamts;MT;MT556
usamts;MT;MT559
usamts;MT;MT565
usamts;MT;MT566
usamts;MT;MT567
usamts;MT;MT568
usamts;MT;MT569
usamts;MT;MT571
usamts;MT;MT573
