systemName;region;route
usane;NE;NE1
usane;NE;NE2
usane;NE;NE4
usane;NE;NE5
usane;NE;NE7
usane;NE;NE8
usane;NE;NE9
usane;NE;NE10
usane;NE;NE11
usane;NE;NE12
usane;NE;NE13
usane;NE;NE14
usane;NE;NE15
usane;NE;NE16
usane;NE;NE17
usane;NE;NE18
usane;NE;NE19
usane;NE;NE21
usane;NE;NE22
usane;NE;NE23
usane;NE;NE24
usane;NE;NE25
usane;NE;NE27
usane;NE;NE29
usane;NE;NE31
usane;NE;NE32
usane;NE;NE33
usane;NE;NE35
usane;NE;NE36
usane;NE;NE39
usane;NE;NE40
usane;NE;NE41
usane;NE;NE43
usane;NE;NE44
usane;NE;NE45
usane;NE;NE46
usane;NE;NE47
usane;NE;NE50
usane;NE;NE51
usane;NE;NE52
usane;NE;NE53
usane;NE;NE56
usane;NE;NE57
usane;NE;NE58
usane;NE;NE59
usane;NE;NE61
usane;NE;NE62
usane;NE;NE63
usane;NE;NE64
usane;NE;NE65
usane;NE;NE66
usane;NE;NE67
usane;NE;NE68
usane;NE;NE69
usane;NE;NE70
usane;NE;NE71
usane;NE;NE74
usane;NE;NE78
usane;NE;NE79
usane;NE;NE84
usane;NE;NE85
usane;NE;NE87
usane;NE;NE88
usane;NE;NE89
usane;NE;NE91
usane;NE;NE92
usane;NE;NE94
usane;NE;NE95
usane;NE;NE96
usane;NE;NE97
usane;NE;NE98
usane;NE;NE99
usane;NE;NE103
usane;NE;NE105
usane;NE;NE109
usane;NE;NE110
usane;NE;NE112
usane;NE;NE116
usane;NE;NE121
usane;NE;NE128
usane;NE;NE133
usane;NE;NE137
usane;NE;NE250
usane;NE;NE370
