systemName;region;route
usapr;PR;PR1
usapr;PR;PR2
usapr;PR;PR3
usapr;PR;PR5
usapr;PR;PR6
usapr;PR;PR8
usapr;PR;PR9
usapr;PR;PR10
usapr;PR;PR12
usapr;PR;PR14
usapr;PR;PR15
usapr;PR;PR16
usapr;PR;PR17
usapr;PR;PR18
usapr;PR;PR19
usapr;PR;PR20
usapr;PR;PR21
usapr;PR;PR22
usapr;PR;PR23
usapr;PR;PR24
usapr;PR;PR25
usapr;PR;PR26
usapr;PR;PR27
usapr;PR;PR28
usapr;PR;PR29
usapr;PR;PR30
usapr;PR;PR31
usapr;PR;PR32
usapr;PR;PR33
usapr;PR;PR34
usapr;PR;PR35
usapr;PR;PR36
usapr;PR;PR37
usapr;PR;PR38
usapr;PR;PR39
usapr;PR;PR40
usapr;PR;PR41
usapr;PR;PR42
usapr;PR;PR47
usapr;PR;PR52
usapr;PR;PR53
usapr;PR;PR54
usapr;PR;PR60
usapr;PR;PR63
usapr;PR;PR64
usapr;PR;PR65
usapr;PR;PR66
usapr;PR;PR100
usapr;PR;PR101
usapr;PR;PR102
usapr;PR;PR103
usapr;PR;PR104
usapr;PR;PR105
usapr;PR;PR106
usapr;PR;PR107
usapr;PR;PR108
usapr;PR;PR109
usapr;PR;PR110
usapr;PR;PR111
usapr;PR;PR112
usapr;PR;PR113
usapr;PR;PR114
usapr;PR;PR115
usapr;PR;PR116
usapr;PR;PR117
usapr;PR;PR118
usapr;PR;PR119
usapr;PR;PR120
usapr;PR;PR121
usapr;PR;PR122
usapr;PR;PR123
usapr;PR;PR124
usapr;PR;PR125
usapr;PR;PR127
usapr;PR;PR128
usapr;PR;PR129
usapr;PR;PR130
usapr;PR;PR131
usapr;PR;PR132
usapr;PR;PR133
usapr;PR;PR134
usapr;PR;PR135
usapr;PR;PR136
usapr;PR;PR137
usapr;PR;PR138
usapr;PR;PR139
usapr;PR;PR140
usapr;PR;PR141
usapr;PR;PR142
usapr;PR;PR143
usapr;PR;PR144
usapr;PR;PR145
usapr;PR;PR146
usapr;PR;PR148
usapr;PR;PR149
usapr;PR;PR150
usapr;PR;PR151
usapr;PR;PR152
usapr;PR;PR153
usapr;PR;PR154
usapr;PR;PR155
usapr;PR;PR156
usapr;PR;PR157
usapr;PR;PR159
usapr;PR;PR160
usapr;PR;PR161
usapr;PR;PR162
usapr;PR;PR163
usapr;PR;PR164
usapr;PR;PR165
usapr;PR;PR166
usapr;PR;PR167
usapr;PR;PR168
usapr;PR;PR169
usapr;PR;PR170
usapr;PR;PR171
usapr;PR;PR172
usapr;PR;PR173
usapr;PR;PR174
usapr;PR;PR175
usapr;PR;PR176
usapr;PR;PR177
usapr;PR;PR178
usapr;PR;PR179
usapr;PR;PR180
usapr;PR;PR181
usapr;PR;PR182
usapr;PR;PR183
usapr;PR;PR184
usapr;PR;PR185
usapr;PR;PR186
usapr;PR;PR187
usapr;PR;PR188
usapr;PR;PR189
usapr;PR;PR190
usapr;PR;PR191
usapr;PR;PR192
usapr;PR;PR193
usapr;PR;PR194
usapr;PR;PR195
usapr;PR;PR196
usapr;PR;PR198
usapr;PR;PR199
usapr;PR;PR200
usapr;PR;PR201
usapr;PR;PR203
usapr;PR;PR204
usapr;PR;PR205
usapr;PR;PR206
usapr;PR;PR212
usapr;PR;PR238
usapr;PR;PR250
usapr;PR;PR251
usapr;PR;PR300
usapr;PR;PR301
usapr;PR;PR303
usapr;PR;PR304
usapr;PR;PR305
usapr;PR;PR306
usapr;PR;PR307
usapr;PR;PR308
usapr;PR;PR309
usapr;PR;PR310
usapr;PR;PR311
usapr;PR;PR312
usapr;PR;PR313
usapr;PR;PR314
usapr;PR;PR315
usapr;PR;PR316
usapr;PR;PR317
usapr;PR;PR318
usapr;PR;PR319
usapr;PR;PR320
usapr;PR;PR321
usapr;PR;PR322
usapr;PR;PR323
usapr;PR;PR324
usapr;PR;PR325
usapr;PR;PR326
usapr;PR;PR327
usapr;PR;PR328
usapr;PR;PR329
usapr;PR;PR330
usapr;PR;PR331
usapr;PR;PR332
usapr;PR;PR333
usapr;PR;PR334
usapr;PR;PR335
usapr;PR;PR336
usapr;PR;PR337
usapr;PR;PR338
usapr;PR;PR339
usapr;PR;PR341
usapr;PR;PR342
usapr;PR;PR343
usapr;PR;PR344
usapr;PR;PR345
usapr;PR;PR346
usapr;PR;PR347
usapr;PR;PR348
usapr;PR;PR349
usapr;PR;PR351
usapr;PR;PR352
usapr;PR;PR353
usapr;PR;PR354
usapr;PR;PR355
usapr;PR;PR356
usapr;PR;PR357
usapr;PR;PR358
usapr;PR;PR359
usapr;PR;PR360
usapr;PR;PR361
usapr;PR;PR362
usapr;PR;PR363
usapr;PR;PR364
usapr;PR;PR365
usapr;PR;PR366
usapr;PR;PR367
usapr;PR;PR368
usapr;PR;PR369
usapr;PR;PR370
usapr;PR;PR371
usapr;PR;PR372
usapr;PR;PR373
usapr;PR;PR374
usapr;PR;PR375
usapr;PR;PR376
usapr;PR;PR377
