systemName;region;route
usatx;TX;TX3
usatx;TX;TX4
usatx;TX;TX5
usatx;TX;TX6
usatx;TX;TX7
usatx;TX;TX8
usatx;TX;TX9
usatx;TX;TX10
usatx;TX;TX11
usatx;TX;TX12
usatx;TX;TX14
usatx;TX;TX15
usatx;TX;TX16
usatx;TX;TX17
usatx;TX;TX18
usatx;TX;TX19
usatx;TX;TX20
usatx;TX;TX21
usatx;TX;TX22
usatx;TX;TX23
usatx;TX;TX24
usatx;TX;TX25
usatx;TX;TX26
usatx;TX;TX27
usatx;TX;TX29
usatx;TX;TX30
usatx;TX;TX31
usatx;TX;TX33
usatx;TX;TX34
usatx;TX;TX35
usatx;TX;TX36
usatx;TX;TX37
usatx;TX;TX39
usatx;TX;TX40
usatx;TX;TX41
usatx;TX;TX42
usatx;TX;TX43
usatx;TX;TX44
usatx;TX;TX45
usatx;TX;TX46
usatx;TX;TX47
usatx;TX;TX48
usatx;TX;TX49
usatx;TX;TX50
usatx;TX;TX51
usatx;TX;TX53
usatx;TX;TX54
usatx;TX;TX55
usatx;TX;TX56
usatx;TX;TX57
usatx;TX;TX59
usatx;TX;TX60
usatx;TX;TX61
usatx;TX;TX62
usatx;TX;TX63
usatx;TX;TX64
usatx;TX;TX65
usatx;TX;TX66
usatx;TX;TX67
usatx;TX;TX70
usatx;TX;TX71
usatx;TX;TX72
usatx;TX;TX73
usatx;TX;TX75
usatx;TX;TX77
usatx;TX;TX78
usatx;TX;TX79
usatx;TX;TX80
usatx;TX;TX81
usatx;TX;TX82
usatx;TX;TX83
usatx;TX;TX85
usatx;TX;TX86
usatx;TX;TX87
usatx;TX;TX89
usatx;TX;TX90
usatx;TX;TX91
usatx;TX;TX92
usatx;TX;TX93
usatx;TX;TX94
usatx;TX;TX95
usatx;TX;TX96
usatx;TX;TX97
usatx;TX;TX98
usatx;TX;TX99
usatx;TX;TX100
usatx;TX;TX101
usatx;TX;TX102
usatx;TX;TX103
usatx;TX;TX105
usatx;TX;TX107
usatx;TX;TX108
usatx;TX;TX110
usatx;TX;TX111
usatx;TX;TX112
usatx;TX;TX114
usatx;TX;TX115
usatx;TX;TX118
usatx;TX;TX119
usatx;TX;TX121
usatx;TX;TX123
usatx;TX;TX124
usatx;TX;TX125
usatx;TX;TX127
usatx;TX;TX128
usatx;TX;TX130
usatx;TX;TX131
usatx;TX;TX132
usatx;TX;TX135
usatx;TX;TX136
usatx;TX;TX137
usatx;TX;TX138
usatx;TX;TX140
usatx;TX;TX141
usatx;TX;TX142
usatx;TX;TX144
usatx;TX;TX146
usatx;TX;TX147
usatx;TX;TX148
usatx;TX;TX149
usatx;TX;TX150
usatx;TX;TX151
usatx;TX;TX152
usatx;TX;TX153
usatx;TX;TX154
usatx;TX;TX155
usatx;TX;TX156
usatx;TX;TX158
usatx;TX;TX159
usatx;TX;TX160
usatx;TX;TX161
usatx;TX;TX163
usatx;TX;TX164
usatx;TX;TX165
usatx;TX;TX166
usatx;TX;TX167
usatx;TX;TX168
usatx;TX;TX170
usatx;TX;TX171
usatx;TX;TX172
usatx;TX;TX173
usatx;TX;TX174
usatx;TX;TX175
usatx;TX;TX176
usatx;TX;TX178
usatx;TX;TX179
usatx;TX;TX180
usatx;TX;TX182
usatx;TX;TX183
usatx;TX;TX184
usatx;TX;TX185
usatx;TX;TX186
usatx;TX;TX188
usatx;TX;TX190
usatx;TX;TX191
usatx;TX;TX193
usatx;TX;TX194
usatx;TX;TX195
usatx;TX;TX198
usatx;TX;TX199
usatx;TX;TX201
usatx;TX;TX202
usatx;TX;TX203
usatx;TX;TX204
usatx;TX;TX205
usatx;TX;TX206
usatx;TX;TX207
usatx;TX;TX208
usatx;TX;TX211
usatx;TX;TX213
usatx;TX;TX214
usatx;TX;TX217
usatx;TX;TX218
usatx;TX;TX220
usatx;TX;TX222
usatx;TX;TX223
usatx;TX;TX224
usatx;TX;TX225
usatx;TX;TX234
usatx;TX;TX236
usatx;TX;TX237
usatx;TX;TX238
usatx;TX;TX239
usatx;TX;TX240
usatx;TX;TX242
usatx;TX;TX243
usatx;TX;TX249
usatx;TX;TX251
usatx;TX;TX254
usatx;TX;TX255
usatx;TX;TX256
usatx;TX;TX258
usatx;TX;TX261
usatx;TX;TX273
usatx;TX;TX274
usatx;TX;TX275
usatx;TX;TX276
usatx;TX;TX279
usatx;TX;TX283
usatx;TX;TX285
usatx;TX;TX286
usatx;TX;TX288
usatx;TX;TX289
usatx;TX;TX290
usatx;TX;TX294
usatx;TX;TX300
usatx;TX;TX302
usatx;TX;TX304
usatx;TX;TX305
usatx;TX;TX308
usatx;TX;TX309
usatx;TX;TX310
usatx;TX;TX315
usatx;TX;TX316
usatx;TX;TX317
usatx;TX;TX320
usatx;TX;TX321
usatx;TX;TX322
usatx;TX;TX323
usatx;TX;TX326
usatx;TX;TX327
usatx;TX;TX329
usatx;TX;TX332
usatx;TX;TX334
usatx;TX;TX336
usatx;TX;TX337
usatx;TX;TX338
usatx;TX;TX339
usatx;TX;TX342
usatx;TX;TX345
usatx;TX;TX347
usatx;TX;TX349
usatx;TX;TX350
usatx;TX;TX351
usatx;TX;TX352
usatx;TX;TX354
usatx;TX;TX356
usatx;TX;TX357
usatx;TX;TX358
usatx;TX;TX359
usatx;TX;TX360
usatx;TX;TX361
usatx;TX;TX364
usatx;TX;TX495
usatx;TX;TX550
usatx;TX;NASA1
usatx;TX;TXOSR
usatx;TX;PA1502
