systemName;region;route
usatxl;TX;Lp1
usatxl;TX;Lp2
usatxl;TX;Lp7
usatxl;TX;Lp8
usatxl;TX;Lp9
usatxl;TX;Lp11
usatxl;TX;Lp12
usatxl;TX;Lp13
usatxl;TX;Lp14
usatxl;TX;Lp15
usatxl;TX;Lp19
usatxl;TX;Lp20
usatxl;TX;Lp21
usatxl;TX;Lp25
usatxl;TX;Lp34
usatxl;TX;Lp36
usatxl;TX;Lp40
usatxl;TX;Lp42
usatxl;TX;Lp43
usatxl;TX;Lp46
usatxl;TX;Lp47
usatxl;TX;Lp49
usatxl;TX;Lp60
usatxl;TX;Lp62
usatxl;TX;Lp70
usatxl;TX;Lp71
usatxl;TX;Lp75
usatxl;TX;Lp76
usatxl;TX;Lp79
usatxl;TX;Lp82
usatxl;TX;Lp83
usatxl;TX;Lp84
usatxl;TX;Lp90
usatxl;TX;Lp96
usatxl;TX;Lp98
usatxl;TX;Lp105
usatxl;TX;Lp106
usatxl;TX;Lp107
usatxl;TX;Lp108
usatxl;TX;Lp109
usatxl;TX;Lp110
usatxl;TX;Lp111
usatxl;TX;Lp116
usatxl;TX;Lp118
usatxl;TX;Lp120
usatxl;TX;Lp121
usatxl;TX;Lp123
usatxl;TX;Lp124
usatxl;TX;Lp127
usatxl;TX;Lp128
usatxl;TX;Lp130
usatxl;TX;Lp132
usatxl;TX;Lp142
usatxl;TX;Lp143
usatxl;TX;Lp145
usatxl;TX;Lp149
usatxl;TX;Lp150
usatxl;TX;Lp151
usatxl;TX;Lp155
usatxl;TX;Lp157
usatxl;TX;Lp160
usatxl;TX;Lp163
usatxl;TX;Lp166
usatxl;TX;Lp168
usatxl;TX;Lp170
usatxl;TX;Lp171
usatxl;TX;Lp173
usatxl;TX;Lp177
usatxl;TX;Lp178
usatxl;TX;Lp179
usatxl;TX;Lp181
usatxl;TX;Lp182
usatxl;TX;Lp187
usatxl;TX;Lp193
usatxl;TX;Lp204
usatxl;TX;Lp205
usatxl;TX;Lp207
usatxl;TX;Lp208
usatxl;TX;Lp210
usatxl;TX;Lp211
usatxl;TX;Lp212
usatxl;TX;Lp220
usatxl;TX;Lp222
usatxl;TX;Lp223
usatxl;TX;Lp224
usatxl;TX;Lp225
usatxl;TX;Lp227
usatxl;TX;Lp229
usatxl;TX;Lp230
usatxl;TX;Lp235
usatxl;TX;Lp236
usatxl;TX;Lp250
usatxl;TX;Lp252
usatxl;TX;Lp254
usatxl;TX;Lp255
usatxl;TX;Lp256
usatxl;TX;Lp257
usatxl;TX;Lp262
usatxl;TX;Lp265
usatxl;TX;Lp267
usatxl;TX;Lp268
usatxl;TX;Lp271
usatxl;TX;Lp274
usatxl;TX;Lp275
usatxl;TX;Lp279
usatxl;TX;Lp281
usatxl;TX;Lp282
usatxl;TX;Lp284
usatxl;TX;Lp285
usatxl;TX;Lp286
usatxl;TX;Lp287
usatxl;TX;Lp288
usatxl;TX;Lp289
usatxl;TX;Lp291
usatxl;TX;Lp292
usatxl;TX;Lp293
usatxl;TX;Lp301
usatxl;TX;Lp304
usatxl;TX;Lp305
usatxl;TX;Lp306
usatxl;TX;Lp308
usatxl;TX;Lp321
usatxl;TX;Lp322
usatxl;TX;Lp323
usatxl;TX;Lp328
usatxl;TX;Lp335
usatxl;TX;Lp336
usatxl;TX;Lp337
usatxl;TX;Lp338
usatxl;TX;Lp340
usatxl;TX;Lp343
usatxl;TX;Lp344
usatxl;TX;Lp345
usatxl;TX;Lp350
usatxl;TX;Lp353
usatxl;TX;Lp360
usatxl;TX;Lp361
usatxl;TX;Lp362
usatxl;TX;Lp363
usatxl;TX;Lp368
usatxl;TX;Lp369
usatxl;TX;Lp373
usatxl;TX;Lp375
usatxl;TX;Lp378
usatxl;TX;Lp385
usatxl;TX;Lp388
usatxl;TX;Lp389
usatxl;TX;Lp390
usatxl;TX;Lp391
usatxl;TX;Lp393
usatxl;TX;Lp395
usatxl;TX;Lp396
usatxl;TX;Lp403
usatxl;TX;Lp404
usatxl;TX;Lp424
usatxl;TX;Lp429
usatxl;TX;Lp430
usatxl;TX;Lp434
usatxl;TX;Lp438
usatxl;TX;Lp442
usatxl;TX;Lp444
usatxl;TX;Lp456
usatxl;TX;Lp461
usatxl;TX;Lp463
usatxl;TX;Lp464
usatxl;TX;Lp466
usatxl;TX;Lp467
usatxl;TX;Lp472
usatxl;TX;Lp473
usatxl;TX;Lp478
usatxl;TX;Lp480
usatxl;TX;Lp481
usatxl;TX;Lp484
usatxl;TX;Lp485
usatxl;TX;Lp488
usatxl;TX;Lp493
usatxl;TX;Lp494
usatxl;TX;Lp497
usatxl;TX;Lp499
usatxl;TX;Lp500
usatxl;TX;Lp505
usatxl;TX;Lp517
usatxl;TX;Lp521
usatxl;TX;Lp522
usatxl;TX;Lp523
usatxl;TX;Lp524
usatxl;TX;Lp526
usatxl;TX;Lp533
usatxl;TX;Lp534
usatxl;TX;Lp540
usatxl;TX;Lp541
usatxl;TX;Lp543
usatxl;TX;Lp547
usatxl;TX;Lp561
usatxl;TX;Lp564
usatxl;TX;Lp567
usatxl;TX;Lp570
usatxl;TX;Lp571
usatxl;TX;Lp573
usatxl;TX;Lp574
usatxl;TX;Lp577
usatxl;TX;Lp1604
usatxl;TX;Lp1910
