systemName;region;route
usatxp;TX;PR1
usatxp;TX;PR1A
usatxp;TX;PR1B
usatxp;TX;PR1C
usatxp;TX;PR1D
usatxp;TX;PR1E
usatxp;TX;PR2
usatxp;TX;PR3
usatxp;TX;PR3A
usatxp;TX;PR4
usatxp;TX;PR5
usatxp;TX;PR6
usatxp;TX;PR7
usatxp;TX;PR8
usatxp;TX;PR10
usatxp;TX;PR11
usatxp;TX;PR12
usatxp;TX;PR13
usatxp;TX;PR14
usatxp;TX;PR15
usatxp;TX;PR16
usatxp;TX;PR17
usatxp;TX;PR20
usatxp;TX;PR21
usatxp;TX;PR22
usatxp;TX;PR23
usatxp;TX;PR24
usatxp;TX;PR25
usatxp;TX;PR27
usatxp;TX;PR28
usatxp;TX;PR29
usatxp;TX;PR30
usatxp;TX;PR31
usatxp;TX;PR32
usatxp;TX;PR33
usatxp;TX;PR34
usatxp;TX;PR35
usatxp;TX;PR36
usatxp;TX;PR37
usatxp;TX;PR38
usatxp;TX;PR40
usatxp;TX;PR41
usatxp;TX;PR42
usatxp;TX;PR43
usatxp;TX;PR44
usatxp;TX;PR46
usatxp;TX;PR47
usatxp;TX;PR48
usatxp;TX;PR49
usatxp;TX;PR50
usatxp;TX;PR51
usatxp;TX;PR52
usatxp;TX;PR54
usatxp;TX;PR55
usatxp;TX;PR56
usatxp;TX;PR57
usatxp;TX;PR58
usatxp;TX;PR59
usatxp;TX;PR60
usatxp;TX;PR61
usatxp;TX;PR62
usatxp;TX;PR63
usatxp;TX;PR64
usatxp;TX;PR65
usatxp;TX;PR66
usatxp;TX;PR67
usatxp;TX;PR68
usatxp;TX;PR69
usatxp;TX;PR70
usatxp;TX;PR71
usatxp;TX;PR72
usatxp;TX;PR73
usatxp;TX;PR74
usatxp;TX;PR76
usatxp;TX;PR77
usatxp;TX;PR100
usatxp;TX;PR138
usatxp;TX;PR1836
